cip_id,cip_label,cip_header,cip_category,cip_subclass,cip_level,qid,qid_label,qid_description,P31_qids,P31_labels,P279_qids,P279_labels,P361_qids,P361_labels,P101_qids,P101_labels,P2579_qids,P2579_labels,P921_qids,P921_labels,P527_qids,P527_labels,P2283_qids,P2283_labels,P366_qids,P366_labels,P1889_qids,P1889_labels,P1343_qids,P1343_labels,P1269_qids,P1269_labels,P1268_qids,P1268_labels,P2578_qids,P2578_labels,P228_qids,P228_labels,P155_qids,P155_labels,P156_qids,P156_labels,P170_qids,P170_labels,P176_qids,P176_labels,P178_qids,P178_labels,P138_qids,P138_labels,P2348_qids,P2348_labels,P580_qids,P580_labels,P582_qids,P582_labels,P585_qids,P585_labels,P793_qids,P793_labels,P276_qids,P276_labels,P17_qids,P17_labels,P131_qids,P131_labels,P625_qids,P625_labels,P2043_qids,P2043_labels,P2048_qids,P2048_labels,P2049_qids,P2049_labels,P2054_qids,P2054_labels,P2068_qids,P2068_labels,P2101_qids,P2101_labels,P2102_qids,P2102_labels,P2325_qids,P2325_labels,P2326_qids,P2326_labels,P2327_qids,P2327_labels,P4511_qids,P4511_labels,P4512_qids,P4512_labels,P4513_qids,P4513_labels,P215_qids,P215_labels,P2114_qids,P2114_labels,P2115_qids,P2115_labels,P2120_qids,P2120_labels,P1538_qids,P1538_labels,P1539_qids,P1539_labels,P1540_qids,P1540_labels,P2669_qids,P2669_labels,P1419_qids,P1419_labels,P1880_qids,P1880_labels,node_type,subject_type,broader_than,broader_than_label,narrower_than,narrower_than_label,P31_status,P279_status,description_excludes,recommendation
38.0205,Islamic Studies.,38,02,05,6-digit,Q843909,Islamic studies,study of Islam,Q1047113,field of study,Q476294,oriental studies,,,,,,,,,Q757248,papyrology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q476294,oriental studies,Q642379,history of Islam,keep,unknown,False,KEEP - disciplinary concept
39.0606,Talmudic Studies.,39,06,06,6-digit,Q26830783,Talmudic studies,academic discipline,Q4671286,academic major,Q42002,Jewish studies,,,,,,,,,,,,,,,,,,,,,,,Q43290,Talmud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q42002,Jewish studies,Q2910405,talmudical hermeneutics,keep,unknown,False,KEEP - disciplinary concept
39.0701,Pastoral Studies/Counseling.,39,07,01,6-digit,Q104469512,pastoral studies,,Q11862829,academic discipline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,,,,,keep,unknown,False,KEEP - disciplinary concept
40.0404,Meteorology.,40,04,04,6-digit,Q25261,meteorology,"branch of science dealing with the study of atmospheric phenomena and the short term variation of weather conditions including wind, precipitation, temperature, humidity, cloud cover, and air pressure",Q2465832,branch of science,Q8008,Earth science,,,,,,,,,Q130304502,branch of meteorology,,,,,Q52139,climatology,Q602358,Brockhaus and Efron Encyclopedic Dictionary,,,,,Q2615451,atmospheric circulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q757520,atmospheric sciences,Q338346,microscale meteorology,keep,keep,False,KEEP - disciplinary concept
40.1001,Materials Science.,40,10,01,6-digit,Q228736,materials science,"research, discovery and design of physical materials (especially solids)",Q2465832,branch of science,Q1665984,interdisciplinary science,,,,,,,,,,,,,,,Q1710723,materials engineering,,,,,,,Q112225193,material property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q1665984,interdisciplinary science,Q11467,metallurgy,keep,keep,False,KEEP - disciplinary concept
45.0101,"Social Sciences, General.",45,01,01,6-digit,Q34749,social science,academic disciplines concerned with society and the relationships between individuals in society,Q15831325,class used in Universal Decimal Classification,Q33122512,social sciences and humanities,,,,,,,,,Q1071,geography,,,,,,,Q602358,Brockhaus and Efron Encyclopedic Dictionary,Q1186078,democratic competence,,,Q8425,society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q97929320,"humanities, arts and social sciences",Q8162,linguistics,unknown,keep,False,KEEP - domain subclass
45.0605,International Economics.,45,06,05,6-digit,Q47417,international economics,academic discipline,Q4671286,academic major,Q8134,economics,Q8134,economics,,,,,,,,,,,,,,,,,,,,,Q178803,international trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q8134,economics,,,keep,unknown,False,KEEP - disciplinary concept
45.0902,National Security Policy Studies.,45,09,02,6-digit,Q104761613,national security policy studies,study of national security policy,Q11862829,academic discipline,,,,,,,,,Q11450364,national security policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,,,,,keep,unknown,False,KEEP - disciplinary concept
45.1201,Urban Studies/Affairs.,45,12,01,6-digit,Q23578769,urban studies,field within the social sciences,Q2267705,field of study,Q12831143,human geography,,,,,,,,,,,,,,,,,,,,,,,Q515,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q12831143,human geography,Q112947524,urban analysis and development,keep,keep,False,KEEP - disciplinary concept
49.0309,Marine Science/Merchant Marine Officer.,49,03,09,6-digit,Q4782809,aquatic science,multidisciplinary study of freshwater and marine ecosystems,Q11862829,academic discipline,Q336,science,,,,,,,,,Q43518,oceanography,,,,,,,,,,,,,Q102192,fresh water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q864928,life sciences,Q5728861,aquatic biology,keep,keep,False,KEEP - disciplinary concept
50.0912,Music Pedagogy.,50,09,12,6-digit,Q27908,music education,field of study associated with the teaching and learning of music,Q2267705,field of study,Q7922,pedagogy,,,,,,,,,,,,,,,,,Q16082057,The New Student's Reference Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q7922,pedagogy,Q3901985,piano pedagogy,keep,unknown,False,KEEP - disciplinary concept
51.2010,Pharmaceutical Sciences.,51,20,10,6-digit,Q7180763,pharmaceutical sciences,"area of study concerned with drugs at every stage, from design to disposition",Q4671286,academic major,Q7991,natural science,,,,,,,,,,,,,,,Q3494359,pharmaceutical specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q7991,natural science,Q7218,toxicology,keep,keep,False,KEEP - disciplinary concept
51.2314,Rehabilitation Science.,51,23,14,6-digit,Q99485422,rehabilitation science,interdisciplinary field that focuses on human function and disability,Q11862829,academic discipline,Q336,science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q336,science,,,keep,keep,False,KEEP - disciplinary concept
52.0201,"Business Administration and Management, General.",52,02,01,6-digit,Q8188423,business administration and management,academic discipline,Q11862829,academic discipline,Q18564125,business management,Q189533,academic degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q18564125,business management,Q5159047,Concrete Industry Management,keep,unknown,False,KEEP - disciplinary concept
52.1004,Labor Studies.,52,10,04,6-digit,Q629350,labor studies,interdisciplinary science that considers the work of people from different aspects,Q1665984,interdisciplinary science,,,Q9418,psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,,,,,keep,unknown,False,KEEP - disciplinary concept
