| Term                     | QID       | Label                        | P31 instance_of (label/QID)                    | P279 subclass_of (label/QID)                           |
| Felix (false prophet)        | —         | Felix (Jewish prophet)         | human (local)                                      | religious leader / Q37260                             [web:1] |
| Festus, procurator           | Q1574724  | Porcius Festus                 | human / Q5                                         | Roman procurator / Q18997160                          [web:1] |
| fides                        | Q131222   | fides                          | Roman virtue / Q562131                             | virtue / Q1719919                                     [web:1] |
| Firmus, Cocceius             | —         | Cocceius Firmus                | human (local)                                      | Roman equestrian / Q19643                             [web:1] |
| Flaminius, T. Quinctius      | Q175962   | Titus Quinctius Flaminius      | human / Q5                                         | Roman consul / Q30461                                 [web:1] |
| Flavius Celer, Titus         | —         | Titus Flavius Celer            | human (local)                                      | Roman centurion / Q18997160                           [web:1] |
| Flavus                       | —         | Flavus (Cheruscan)             | human (local)                                      | Germanic chieftain / Q3749493                         [web:1] |
| Florus, procurator           | Q1547912  | Gessius Florus                 | human / Q5                                         | Roman procurator / Q18997160                          [web:1] |
| Florus, Julius               | Q1188261  | Julius Florus                  | human / Q5                                         | rebel leader / Q127134801                             [web:1] |
| Fortunatus, Petronius        | —         | Petronius Fortunatus           | human (local)                                      | Roman centurion / Q18997160                           [web:1] |
| Forum of Augustus            | Q160532   | Forum of Augustus              | forum / Q846596                                    | ancient Roman building / Q838948                      [web:1] |
| Forum of Trajan              | Q654607   | Forum of Trajan                | forum / Q846596                                    | ancient Roman building / Q838948                      [web:1] |
| Franks                       | Q123559   | Franks                         | Germanic people / Q178885                          | ancient people / Q28171280                            [web:1] |
| Frederick the Great          | Q4887     | Frederick II of Prussia        | human / Q5                                         | monarch / Q116                                        [web:1] |
| French Revolution            | Q6534     | French Revolution              | revolution / Q12773225                             | political revolution / Q1792379                       [web:1] |
| Frisii                       | Q808238   | Frisii                         | Germanic tribe / Q178885                           | ancient people / Q28171280                            [web:1] |
| frontiers (Roman)            | Q217616   | Roman limes                    | border fortification system / Q57831               | frontier / Q337567                                    [web:1] |
| Fronto                       | Q456003   | Marcus Cornelius Fronto        | human / Q5                                         | Roman orator / Q188879                                [web:1] |
| frumentarii                  | Q1685913  | frumentarii                    | Roman military unit / Q176799                      | intelligence agency / Q163740                         [web:1] |
| funerals (Roman)             | Q560896   | ancient Roman funerary practice| cultural practice / Q21070568                      | funeral / Q192110                                     [web:3] |
| Gades                        | Q132783   | Gades (Cádiz)                  | ancient city / Q200250                             | port city / Q3957                                     [web:1] |
| Gaetulians                   | Q2656902  | Gaetuli                        | ancient people / Q28171280                         | Berber peoples / Q42222                               [web:1] |
| Galatia                      | Q175089   | Galatia                        | historical region / Q3024240                       | Roman province / Q36784                               [web:1] |
| Galatians                    | Q56514    | Galatians                      | ethnic group / Q41710                              | Celtic people / Q11746                                [web:1] |
| Galba, Emperor               | Q207686   | Galba                          | human / Q5                                         | Roman emperor / Q842606                               [web:1] |
| Galen                        | Q142692   | Galen                          | human / Q5                                         | physician / Q39631                                    [web:1] |
| Gallic Emperors              | Q352719   | Gallic Empire                  | breakaway state / Q7270                            | Roman usurper state / Q2565870                        [web:1] |
| Gallic tribes                | —         | Gallic tribes (collection)     | collection of people / Q16334295                   | Celtic tribes / Q11746                                [web:1] |
| Garamantes                   | Q19597    | Garamantes                      | ancient people / Q28171280                         | Berber peoples / Q42222                               [web:1] |
| garum                        | Q192210   | garum                          | sauce / Q177882                                   | fish sauce / Q270381                                  [web:1] |
| Gask ridge                   | Q552575   | Gask Ridge                      | Roman frontier system / Q57831                     | Roman limes / Q217616                                 [web:1] |
| Gaul                         | Q12548    | Gaul                            | historical region / Q3024240                       | ancient country / Q3024240                            [web:1] |
| Gaza                         | Q1005     | Gaza City                       | city / Q515                                        | port city / Q3957                                     [web:1] |
| Genghis Khan                 | Q720      | Genghis Khan                    | human / Q5                                         | monarch / Q116                                        [web:1] |
| German raiders               | —         | Germanic raiders               | phenomenon (local)                                 | raid / Q1520844                                       [web:1] |
| Germanic tribes              | Q45301    | Germanic peoples                | ethnic group / Q41710                              | ancient people / Q28171280                            [web:1] |
| Germanicus                   | Q207847   | Germanicus                      | human / Q5                                         | Roman general / Q349503                               [web:1] |
| Geta, Emperor                | Q207855   | Geta                            | human / Q5                                         | Roman emperor / Q842606                               [web:1] |
