qid,primary_facet,related_facets
Q4390239,SCIENTIFIC,SOCIAL:0.7
Q4394526,POLITICAL,DIPLOMATIC:0.8
Q441,SCIENTIFIC,
Q44497,TECHNOLOGICAL,ECONOMIC:0.7|ENVIRONMENTAL:0.6
Q4530312,ENVIRONMENTAL,SCIENTIFIC:0.8
Q459381,INTELLECTUAL,LINGUISTIC:0.7|ARTISTIC:0.4
Q460162,ARTISTIC,CULTURAL:0.7|INTELLECTUAL:0.5
Q46255,SCIENTIFIC,ENVIRONMENTAL:0.6
Q463923,ARCHAEOLOGICAL,
Q4676302,CULTURAL,LINGUISTIC:0.7|SOCIAL:0.6|INTELLECTUAL:0.6
Q470125,CULTURAL,SOCIAL:0.8|POLITICAL:0.7|INTELLECTUAL:0.6
Q471857,SCIENTIFIC,TECHNOLOGICAL:0.7
Q4738155,ECONOMIC,
Q47417,ECONOMIC,DIPLOMATIC:0.7
Q47491145,LINGUISTIC,
Q476294,CULTURAL,LINGUISTIC:0.7|RELIGIOUS:0.5|INTELLECTUAL:0.5
Q4782809,SCIENTIFIC,ENVIRONMENTAL:0.8
Q47844,ARTISTIC,ENVIRONMENTAL:0.6|GEOGRAPHIC:0.5
Q482,ARTISTIC,CULTURAL:0.7|LINGUISTIC:0.5
Q482752,POLITICAL,RELIGIOUS:0.8
Q484181,RELIGIOUS,POLITICAL:0.6
Q484591,SCIENTIFIC,ENVIRONMENTAL:0.7
Q485669,TECHNOLOGICAL,COMMUNICATION:0.8
Q488059,INTELLECTUAL,SOCIAL:0.7
Q4932206,POLITICAL,INTELLECTUAL:0.7|SOCIAL:0.6
Q495304,SCIENTIFIC,POLITICAL:0.8
Q495527,LINGUISTIC,INTELLECTUAL:0.7
Q4994861,ARTISTIC,INTELLECTUAL:0.5
Q50056,SCIENTIFIC,INTELLECTUAL:0.7
Q502159,SCIENTIFIC,
Q50637,ARTISTIC,
Q50675,INTELLECTUAL,
Q508069,RELIGIOUS,INTELLECTUAL:0.6|LINGUISTIC:0.4
Q515601,CULTURAL,LINGUISTIC:0.8
Q521,SCIENTIFIC,
Q52107,GEOGRAPHIC,ENVIRONMENTAL:0.8
Q52109,GEOGRAPHIC,SCIENTIFIC:0.8|ENVIRONMENTAL:0.7
Q52139,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q5215311,ARTISTIC,INTELLECTUAL:0.6|CULTURAL:0.5
Q523256,ARTISTIC,ENVIRONMENTAL:0.8|TECHNOLOGICAL:0.6
Q5264064,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.4
Q5268834,COMMUNICATION,TECHNOLOGICAL:0.9|SCIENTIFIC:0.4
Q5283295,POLITICAL,SOCIAL:0.6
Q5334416,SCIENTIFIC,ENVIRONMENTAL:0.7
Q5341272,INTELLECTUAL,SOCIAL:0.8|CULTURAL:0.7
Q538904,SOCIAL,SCIENTIFIC:0.7
Q5442878,SOCIAL,CULTURAL:0.7
Q5454658,SCIENTIFIC,
Q5454893,ENVIRONMENTAL,ECONOMIC:0.7
Q546113,POLITICAL,SOCIAL:0.7|ECONOMIC:0.6
Q55022436,DIPLOMATIC,POLITICAL:0.8
Q55693890,LINGUISTIC,CULTURAL:0.6
Q5570874,POLITICAL,DIPLOMATIC:0.7
Q567716,TECHNOLOGICAL,ENVIRONMENTAL:0.6
Q570018,INTELLECTUAL,
Q57204579,SOCIAL,ENVIRONMENTAL:0.8
Q5728861,SCIENTIFIC,ENVIRONMENTAL:0.8
Q579488,COMMUNICATION,TECHNOLOGICAL:0.6
Q580689,TECHNOLOGICAL,SCIENTIFIC:0.8
Q582577,ECONOMIC,POLITICAL:0.8
Q586060,ARTISTIC,COMMUNICATION:0.6
Q5891,INTELLECTUAL,
Q59115,INTELLECTUAL,SCIENTIFIC:0.8
Q596086,SCIENTIFIC,ARCHAEOLOGICAL:0.7|ENVIRONMENTAL:0.5
Q6057206,ENVIRONMENTAL,SCIENTIFIC:0.7|GEOGRAPHIC:0.5
Q614221,RELIGIOUS,GEOGRAPHIC:0.8|CULTURAL:0.6
Q618211,SCIENTIFIC,TECHNOLOGICAL:0.4
Q619798,TECHNOLOGICAL,GEOGRAPHIC:0.8|SCIENTIFIC:0.7
Q620462,SCIENTIFIC,SOCIAL:0.6
Q623006,ECONOMIC,SOCIAL:0.7
Q623313,CULTURAL,POLITICAL:0.7|LINGUISTIC:0.6
Q625648,SCIENTIFIC,
Q631286,ARCHAEOLOGICAL,ECONOMIC:0.7|ARTISTIC:0.5|CULTURAL:0.4
Q635374,INTELLECTUAL,ARTISTIC:0.8
Q6457238,CULTURAL,POLITICAL:0.6|SOCIAL:0.6|ECONOMIC:0.5
Q645938,SOCIAL,POLITICAL:0.5
Q646206,POLITICAL,SOCIAL:0.8|CULTURAL:0.7|MILITARY:0.6
Q647525,ECONOMIC,SCIENTIFIC:0.6
Q64809639,ECONOMIC,SOCIAL:0.5
Q655362,SCIENTIFIC,
Q657632,SCIENTIFIC,SOCIAL:0.5
Q6656244,SCIENTIFIC,SOCIAL:0.6
Q6745636,SCIENTIFIC,TECHNOLOGICAL:0.8|ECONOMIC:0.5
Q679789,INTELLECTUAL,COMMUNICATION:0.8
Q680004,POLITICAL,SOCIAL:0.6|INTELLECTUAL:0.5
Q682496,TECHNOLOGICAL,SCIENTIFIC:0.6
Q683794,COMMUNICATION,TECHNOLOGICAL:0.6|ARTISTIC:0.4
Q690200,SCIENTIFIC,TECHNOLOGICAL:0.6
Q695742,POLITICAL,CULTURAL:0.4
Q700919,ENVIRONMENTAL,SCIENTIFIC:0.8
Q7094,SCIENTIFIC,
Q7100,SCIENTIFIC,
Q7108,TECHNOLOGICAL,SCIENTIFIC:0.7
Q7141,SCIENTIFIC,
Q7150,ENVIRONMENTAL,SCIENTIFIC:0.9
Q7155,SCIENTIFIC,
Q7162,SCIENTIFIC,
Q7163,POLITICAL,SOCIAL:0.6
Q7173,SCIENTIFIC,ENVIRONMENTAL:0.8
Q7175,SCIENTIFIC,
Q7193,SCIENTIFIC,
Q7205,SCIENTIFIC,ARCHAEOLOGICAL:0.7|ENVIRONMENTAL:0.6
Q7206,ARCHAEOLOGICAL,SCIENTIFIC:0.8|ENVIRONMENTAL:0.5
Q7208,SCIENTIFIC,
Q720858,ENVIRONMENTAL,SOCIAL:0.8|SCIENTIFIC:0.7
Q7278933,SOCIAL,POLITICAL:0.7
Q735,ARTISTIC,CULTURAL:0.7
Q739465,LINGUISTIC,RELIGIOUS:0.7|CULTURAL:0.6
Q74128869,SOCIAL,ENVIRONMENTAL:0.6|CULTURAL:0.7
Q74130636,SOCIAL,SCIENTIFIC:0.8
Q741338,POLITICAL,INTELLECTUAL:0.6
Q741939,SOCIAL,SCIENTIFIC:0.4
Q747534,ECONOMIC,SCIENTIFIC:0.8
Q751439,SCIENTIFIC,
Q751611,SCIENTIFIC,
Q754590,SCIENTIFIC,ENVIRONMENTAL:0.8
Q757520,SCIENTIFIC,ENVIRONMENTAL:0.8
Q766328,ENVIRONMENTAL,
Q76996465,LINGUISTIC,CULTURAL:0.6
Q770723,INTELLECTUAL,ARCHAEOLOGICAL:0.5|LINGUISTIC:0.4
Q7748,POLITICAL,SOCIAL:0.6
Q775325,TECHNOLOGICAL,ECONOMIC:0.6|SOCIAL:0.5
Q7754,SCIENTIFIC,
Q77590,TECHNOLOGICAL,SCIENTIFIC:0.5
Q7778,POLITICAL,SOCIAL:0.8|CULTURAL:0.7|ECONOMIC:0.6
Q7781,POLITICAL,SOCIAL:0.8|CULTURAL:0.7|ECONOMIC:0.6
Q7787,POLITICAL,SOCIAL:0.8|CULTURAL:0.7|ECONOMIC:0.6
Q7790,POLITICAL,SOCIAL:0.8|CULTURAL:0.7|ECONOMIC:0.6
Q7791,POLITICAL,SOCIAL:0.8|CULTURAL:0.7|ECONOMIC:0.6
Q7794,POLITICAL,SOCIAL:0.8|CULTURAL:0.7|ECONOMIC:0.6
Q7832334,ENVIRONMENTAL,CULTURAL:0.8|SOCIAL:0.6
Q7867,SCIENTIFIC,SOCIAL:0.6
Q789784,LINGUISTIC,CULTURAL:0.6
Q7922,INTELLECTUAL,SOCIAL:0.6
Q7923729,SCIENTIFIC,SOCIAL:0.6
Q794611,SCIENTIFIC,COMMUNICATION:0.4
Q7990118,ENVIRONMENTAL,
Q7991,SCIENTIFIC,
Q8001344,SCIENTIFIC,ENVIRONMENTAL:0.7
Q8008,SCIENTIFIC,ENVIRONMENTAL:0.8
Q8031191,SCIENTIFIC,SOCIAL:0.7
Q8091,LINGUISTIC,
Q80962,ECONOMIC,SCIENTIFIC:0.7
Q80993,TECHNOLOGICAL,SCIENTIFIC:0.7
Q81009,COMMUNICATION,INTELLECTUAL:0.7|LINGUISTIC:0.6
Q8134,ECONOMIC,SOCIAL:0.6
Q8162,LINGUISTIC,SOCIAL:0.6|CULTURAL:0.5
Q8236,INTELLECTUAL,SOCIAL:0.7|LINGUISTIC:0.6
Q82604,ARTISTIC,TECHNOLOGICAL:0.6
Q82811,SCIENTIFIC,TECHNOLOGICAL:0.6
Q828395,POLITICAL,SOCIAL:0.8
Q83042,SCIENTIFIC,
Q8328350,SCIENTIFIC,
Q833495,ECONOMIC,SOCIAL:0.5
Q83353,SCIENTIFIC,ENVIRONMENTAL:0.5
Q834933,INTELLECTUAL,SOCIAL:0.7|POLITICAL:0.5
Q835023,INTELLECTUAL,ARTISTIC:0.6
Q83588,TECHNOLOGICAL,SCIENTIFIC:0.6
Q837313,POLITICAL,SOCIAL:0.6
Q83944,SCIENTIFIC,ARCHAEOLOGICAL:0.8
Q840545,SCIENTIFIC,
Q841408,CULTURAL,SCIENTIFIC:0.7|ENVIRONMENTAL:0.6
Q8424,SCIENTIFIC,TECHNOLOGICAL:0.7
Q8427,CULTURAL,LINGUISTIC:0.8
Q843601,SCIENTIFIC,SOCIAL:0.5
Q843909,RELIGIOUS,CULTURAL:0.8|INTELLECTUAL:0.7
Q846742,RELIGIOUS,
Q847808,SOCIAL,TECHNOLOGICAL:0.7
Q84861608,ENVIRONMENTAL,SCIENTIFIC:0.6
Q853085,LINGUISTIC,CULTURAL:0.8
Q853915,ECONOMIC,SCIENTIFIC:0.8|ENVIRONMENTAL:0.6
Q855159,INTELLECTUAL,CULTURAL:0.8|LINGUISTIC:0.6
Q85791890,ENVIRONMENTAL,SCIENTIFIC:0.8|ARCHAEOLOGICAL:0.5
Q860746,INTELLECTUAL,
Q864191,SCIENTIFIC,COMMUNICATION:0.4
Q864928,SCIENTIFIC,ENVIRONMENTAL:0.6
Q870449,SCIENTIFIC,SOCIAL:0.7
Q870895,TECHNOLOGICAL,SCIENTIFIC:0.9|COMMUNICATION:0.6
Q875592,CULTURAL,LINGUISTIC:0.7|SOCIAL:0.6
Q878226,LINGUISTIC,
Q898674,SCIENTIFIC,
Q899719,SCIENTIFIC,
Q901704,GEOGRAPHIC,SCIENTIFIC:0.7|ENVIRONMENTAL:0.5
Q910067,SCIENTIFIC,TECHNOLOGICAL:0.4
Q911772,TECHNOLOGICAL,SCIENTIFIC:0.7
Q912065,SCIENTIFIC,ENVIRONMENTAL:0.8
Q912169,SCIENTIFIC,TECHNOLOGICAL:0.9
Q9161265,SCIENTIFIC,ENVIRONMENTAL:0.8
Q919526,POLITICAL,ENVIRONMENTAL:0.9
Q920939,RELIGIOUS,ENVIRONMENTAL:0.7
Q928786,CULTURAL,GEOGRAPHIC:0.7|SOCIAL:0.6
Q929380,ENVIRONMENTAL,ECONOMIC:0.6|POLITICAL:0.5
Q9418,SCIENTIFIC,SOCIAL:0.7
Q944537,INTELLECTUAL,CULTURAL:0.6
Q9465,INTELLECTUAL,RELIGIOUS:0.5
Q948647,SCIENTIFIC,
Q948732,INTELLECTUAL,ENVIRONMENTAL:0.8
Q95989990,SCIENTIFIC,ARCHAEOLOGICAL:0.6
Q967177,INTELLECTUAL,RELIGIOUS:0.6|SOCIAL:0.5
Q972132,LINGUISTIC,ARCHAEOLOGICAL:0.8|CULTURAL:0.6
Q98247633,SCIENTIFIC,
Q98929208,SOCIAL,CULTURAL:0.7|POLITICAL:0.6
