qid,label,description,instance_of,instance_of_label,part_of,part_of_label,subclass_of,subclass_of_label
Q122935277,fish pathology,study of diseases affecting fishes,Q11862829,academic discipline,,,Q7208,pathology
Q5454658,fish physiology,scientific study of the physiology of fish,Q11862829,academic discipline,,,Q2432331,zoophysiology
Q110297482,fish physiology and genetics,field of research,Q11862829,academic discipline,,,Q110310405,animal genetics
Q17013672,fish reproduction,reproductive physiology of fishes,Q11862829,academic discipline,,,Q5454658,fish physiology
Q8248157,fisheries biology,study of the biological aspects of fisheries,Q28598684,branch of biology,,,Q1772875,wildlife biology
Q30594891,floral biology,area of biological and ecological research,Q17002728,branch of botany,,,Q441,botany
Q107708708,flower morphology,morphology of flowers,Q11862829,academic discipline,,,Q655362,plant morphology
Q172145,fluid mechanics,"branch of physics concerned with the mechanics of fluids (liquids, gases, and plasmas) and the forces on them; branch of continuum mechanics",Q137582043,branch of mechanics,Q113210559,fluid mechanics and thermal engineering,Q193463,continuum mechanics
Q106148879,flute performance,performance of music on the flute,Q11862829,academic discipline,,,Q6942562,musical performance
Q132116,folkloristics,branch of anthropology devoted to the study of folklore,Q106720965,branch of anthropology,,,Q28598,cultural anthropology
Q28065,forensic anthropology,application of the science of anthropology in a legal setting,Q106720965,branch of anthropology,,,Q495304,forensic science
Q108570409,forensic forestry,subfield within forensic sciences,Q11862829,academic discipline,,,Q495304,forensic science
Q2249329,forest ecology,scientific study and subfield of ecology around forest ecosystems,Q104193250,branch of ecology,,,Q19924411,forestry science
Q105552831,forest hydrology,field within hydrology,Q11862829,academic discipline,,,Q19924411,forestry science
Q3333928,forest meteorology,"the study and applications of weather and climate data to the reproduction, growth, and harvesting of forests",Q130304502,branch of meteorology,,,,
Q38112,forestry,"science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits",Q11862829,academic discipline,Q1801887,agriculture and forestry,Q1801887,agriculture and forestry
Q19924411,forestry science,academic discipline,Q11862829,academic discipline,,,Q110231626,"agricultural, veterinary and food sciences"
Q112815132,format migration,the practice of converting an electronic file to a different standard file type to circumvent obsolescence,Q123759964,preservation action,,,,
Q120969775,foundational ontology,area of research,Q11862829,academic discipline,,,,
Q3306816,freshwater biology,scientific study of freshwater ecosystems and biology,Q28598684,branch of biology,,,Q5728861,aquatic biology
Q20417087,freshwater ecology,"study of freshwater ecosystems that thrive in habitats, mainly lakes, rivers and streams",Q104193250,branch of ecology,,,Q104196941,aquatic ecology
Q3839507,functional programming language,programming language that uses functional programming principles,Q116481801,type of programming language,,,Q9143,programming language
Q111679581,fungal physiology,study of the physiology of fungi,Q11862829,academic discipline,,,Q7175,mycology
Q58908,galactic astronomy,study of the Milky Way galaxy and its contents,Q131565179,branch of astronomy,Q333,astronomy,Q333,astronomy
Q1124169,genetic counseling,advising those affected by or at risk of genetic disorders,Q11862829,academic discipline,,,Q4390239,counseling
Q213891,geochronology,"science of determining the age of rocks, sediments and fossils",Q87058424,branch of geology,Q1069,geology,Q130788,chronology
Q3537694,geographic information science,"scientific discipline that studies the techniques to capture, represent, process, and analyze geographic information",Q11862829,academic discipline,,,Q124468378,geoinformation science
Q483130,geographic information system,spatial data information systems,Q11862829,academic discipline,,,Q2695280,technique
Q124468378,geoinformation science,scientific discipline about geoinformation; for GIS Science use Q124624042,Q11862829,academic discipline,,,Q64811452,geospatial science
Q1069,geology,"study of the composition, structure, physical properties, and history of Earth's components, and the processes by which they are shaped",Q11862829,academic discipline,,,Q8008,Earth science
Q1648514,geology of the Moon,structure and composition of the Moon,Q87058424,branch of geology,,,Q126181255,selenology
Q3123544,geophysiology,"the geological, chemical, and other processes of the Earth regarded as interdependent and analogous to the physiological processes of a living organism",Q11862829,academic discipline,,,Q8008,Earth science
Q124471792,geospatial information science,scientific subdiscipline about geospatial information,Q11862829,academic discipline,,,Q137918437,spatial information science
Q64811452,geospatial science,scientific discipline about geospatial,Q11862829,academic discipline,,,Q1071,geography
Q2405851,geriatric dentistry,"delivery of dental care to older adults involving diagnosis, prevention, management and treatment of problems associated with age related diseases",Q11862829,academic discipline,,,Q12128,dentistry
Q2725393,global health,collaborative trans-national research and action for promoting health for all,Q11862829,academic discipline,,,Q189603,public health
Q129254777,government studies,"academic field that focuses on the study of government structures, political institutions, public policy, and the administration of public affairs",Q11862829,academic discipline,,,Q34749,social science
Q131476,graph theory,"study of graphs, which are mathematical structures used to model pairwise relations between objects",Q11862829,academic discipline,Q121416,discrete mathematics,Q17737,theory
Q120969797,graph topology,area of research,Q11862829,academic discipline,,,,
Q105107179,guitar performance,performance of music on the guitar,Q11862829,academic discipline,,,Q6942562,musical performance
Q106163201,harp performance,performance of music on the harp,Q11862829,academic discipline,,,Q6942562,musical performance
Q12147,health,desirable level of functional or metabolic efficiency of a living being,Q11862829,academic discipline,,,Q19829125,absence
Q870895,health informatics,"discipline at the intersection of information science, computer science, and health care",Q11862829,academic discipline,Q113168608,health informatics and information systems research,Q21198,computer science
Q1519812,health policy,"policy area, which deals with the planning, organization, management and financing of the health system",Q96251375,type of policy,Q11000047,health system,Q843601,health sciences
Q843601,health sciences,applied sciences in healthcare,Q11862829,academic discipline,,,Q864928,life sciences
Q105771305,health workforce policy,subdiscipline of health policy,Q11862829,academic discipline,,,Q1519812,health policy
Q160289,hearing,sensory perception of sound by living organisms,Q11862829,academic discipline,Q1051623,five wits,Q14908172,sensory perception of mechanical stimulus
Q103884376,hearing science,"interdisciplinary study of the biological, physical, and cognitive processes involved in human hearing and sound perception",Q11862829,academic discipline,,,Q336,science
Q1976068,helminthology,study of parasitic worms (helminths),Q99397804,branch of zoology,Q12744095,invertebrate zoology,Q124650805,vermeology
Q13405601,higher geodesy,subdiscipline of geodesy,Q11862829,academic discipline,,,Q131089,geodesy
Q120969790,historical research data interoperability,area of research,Q11862829,academic discipline,,,,
Q1344860,historically informed performance,approach to the performance of classical music,Q11862829,academic discipline,,,Q6942562,musical performance
Q9293033,historiology,the study or knowledge of history,Q11862829,academic discipline,,,Q1066186,study of history
Q3136952,history of anthropology,18th- and 19th-century study of man,Q106720965,branch of anthropology,,,Q5076869,history of the social sciences
Q201486,history of science,study of the historical development of science and scientific knowledge,Q17524420,aspect of history,Q1066186,study of history,Q1066186,study of history
Q2183341,history of science and technology,aspect of history regarding the socio-methodical interactions of matter,Q17524420,aspect of history,,,Q200325,human history
Q83944,human evolution,evolutionary process leading up to the appearance of anatomically modern humans,Q11862829,academic discipline,,,Q7206,paleoanthropology
Q113884025,human morphology,study of human form and shape,Q106720965,branch of anthropology,,,Q183252,morphology
Q16669122,human pathology,study of disease in humans,Q11862829,academic discipline,,,Q7208,pathology
Q80083,humanities,study of human culture and society,Q16889133,class,,,Q33122512,social sciences and humanities
Q912065,hydrochemistry,branch of chemistry,Q11862829,academic discipline,,,Q161764,geochemistry
Q179509,hydrogeology,branch of science that studies distribution and movement of groundwater,Q1047113,field of study,,,Q42250,hydrology
Q131382012,ichneumonology,the study of ichneumon wasps,Q99397804,branch of zoology,,,Q4138441,hymenopterology
Q16000119,igneous petrology,study of igneous rocks,Q87058424,branch of geology,Q112971034,igneous and metamorphic petrology,Q163082,petrology
Q122763702,illuminating engineering,"branch of engineering that deals with planning the lighting systems of new buildings and outdoor areas (as streets, parking lots) and the study and correction of old lighting installations",Q12015335,branch of engineering,,,Q11023,engineering
Q126867967,immunoengineering,discipline that helps to create engineering tools to both investigate and change the immune system,Q12015335,branch of engineering,,,Q3523861,molecular engineering
Q113533807,immunohematology,branch of immunology that deals with the immunologic properties of blood,Q28598684,branch of biology,,,Q103824,hematology
Q6027873,industrial engineering and operations research,academic discipline,Q12015335,branch of engineering,,,Q11023,engineering
Q60740481,industrial internet of things,"interconnected sensors, instruments, and other devices networked together with computers' industrial applications, including manufacturing and energy management",Q117356127,driver of Industry 4.0,,,Q251212,Internet of things
Q130304836,industrial meteorology,"the application of meteorological data and techniques to industrial, business, or commercial problems",Q130304502,branch of meteorology,,,Q25261,meteorology
Q456632,information privacy,"appropriate collection, use and dissemination of personal data in products and services, as well as their protection and related legal and political issues",Q11862829,academic discipline,Q113208012,cybersecurity and privacy,Q59157175,information protection
Q2684571,insect anatomy,structure and major workings inside the insect bodies,Q11862829,academic discipline,,,Q8198634,animal anatomy
Q105898109,integrative biology,cross-disciplinary and multitaxon biological research and study,Q28598684,branch of biology,,,Q420,biology
Q131257,intellectual property,intangible asset consisting of ownership of ideas and processes,Q116460050,asset type,,,Q1400881,property
Q105310982,interdisciplinary humanities,academic major allowing student to design their own degree around the many fields in the humanities,Q11862829,academic discipline,,,Q80083,humanities
Q122820072,interfacial engineering,engineering of nanotechnologic products,Q12015335,branch of engineering,,,Q1710723,materials engineering
Q130427619,international health,international cooperation actions to address regional health problems,Q11862829,academic discipline,,,Q9378718,international cooperation
Q749647,interoperability,ability of systems to work with each other,Q100195948,relative quality,,,Q937228,property
Q115999414,interoperability,FAIR data principle,Q11862829,academic discipline,Q29032644,FAIR Data Principles,Q749647,interoperability
Q105094378,invasion ecology,branch of ecology,Q104193250,branch of ecology,,,Q113050263,invasion science
Q6060491,invertebrate paleontology,scientific discipline,Q104415895,branch of paleontology,,,Q12744095,invertebrate zoology
Q122934780,invertebrate pathology,"study of diseases affecting invertebrate animals, including etiology, pathogenesis, symptomatology, pathology, histopathology, physiopathology, and epizootiology",Q11862829,academic discipline,,,Q7208,pathology
Q136290941,invertebrate physiology,physiology of invertebrate animals,Q28598684,branch of biology,,,Q2432331,zoophysiology
Q12744095,invertebrate zoology,"subdiscipline of zoology that consists of the study of invertebrates, animals without a backbone",Q99397804,branch of zoology,,,Q431,zoology
Q114778863,irrigation engineering,subdiscipline within civil engineering and water resources engineering,Q12015335,branch of engineering,,,Q1130265,hydraulic engineering
Q99691757,jazz studies,academic discipline,Q11862829,academic discipline,,,Q164204,musicology
Q109871250,kelp ecology,ecology of kelp,Q104193250,branch of ecology,,,Q105208008,algal ecology
Q109984173,kelp forest ecology,ecology of kelp forests,Q104193250,branch of ecology,,,Q4530312,marine ecology
Q115160929,keyboard instrument performance,performance of music on keyboard instruments,Q11862829,academic discipline,,,Q6942562,musical performance
Q12029211,kinanthropology,"interdisciplinary study of human movement, with respect to physical education, sport, recreation, rehabilitation and physiotherapy",Q106720965,branch of anthropology,,,Q657632,kinesiology
Q120969828,knowledge exploration,area of research,Q11862829,academic discipline,,,,
Q1582085,knowledge extraction,creation of knowledge from structured and unstructured sources,Q11862829,academic discipline,Q172491,data mining,Q172491,data mining
Q114570397,lake conservation,academic discipline and human activity,Q61788060,human activity,,,Q20113959,nature conservation
Q295354,law and economics,application of economic theory to analysis of legal systems,Q11862829,academic discipline,,,Q4932206,jurisprudence
Q2845208,learning analytics,"measurement, collection, analysis and reporting of data about learners and their contexts, for purposes of understanding and optimizing learning and the environments in which it occurs",Q11862829,academic discipline,,,Q13442563,methodology of pedagogy
Q4330127,learning to rank,application of machine learning,Q11862829,academic discipline,,,,
Q1195662,legal anthropology,"anthropological study of law with legal systems, courts and law enforcements",Q106720965,branch of anthropology,,,Q4932206,jurisprudence
Q120969825,lexical information,area of research,Q11862829,academic discipline,,,,
Q124366260,liberal arts and sciences,field of study,Q11862829,academic discipline,,,,
Q864928,life sciences,branch of science about life,Q11862829,academic discipline,,,Q7991,natural science
Q11756836,limacology,branch of zoology that deals with slugs,Q99397804,branch of zoology,,,Q190993,malacology
Q772835,linguistic anthropology,interdisciplinary study of how language influences social life,Q135892289,branch of linguistics,,,Q23404,anthropology
Q8162,linguistics,scientific study of language,Q11862829,academic discipline,Q64810203,language stud­ies,Q80083,humanities
Q120910053,link discovery,area of research,Q11862829,academic discipline,,,,
Q120910073,link integrity,area of research,Q11862829,academic discipline,,,,
Q120969793,link maintenance,area of research,Q11862829,academic discipline,,,,
Q515701,linked data,structured data and method for its publication,Q11862829,academic discipline,,,Q26813700,structured data
Q120969823,linked data for Africa,area of research,Q11862829,academic discipline,,,,
Q1333743,literary composing,the way a writer assembles words and sentences to create a coherent and meaningful work,Q109551317,branch of literature,,,Q116751803,composing
Q126366522,lumbricology,branch of zoology dealing with earthworms,Q99397804,branch of zoology,,,Q126366484,oligochaetology
Q2539,machine learning,scientific study of algorithms and statistical models that computer systems use to perform tasks without explicit instructions,Q130609847,learning approach,Q11660,artificial intelligence,Q11660,artificial intelligence
Q113884220,magnetorheology,the study of the changes in flow properties that occur in certain fluids exposed to magnetic fields,Q11862829,academic discipline,,,Q271707,rheology
Q3615129,mammal anatomy,scientific discipline,Q11862829,academic discipline,Q220384,zootomy,Q10818163,vertebrate anatomy
Q104856238,mammalian ecology,ecology of mammals,Q104193250,branch of ecology,,,Q73403730,vertebrate ecology
Q111680424,mammalian genetics,study of the genetics of mammals,Q11862829,academic discipline,,,Q110310405,animal genetics
Q7173,marine biology,scientific study of organisms in the ocean or other marine or brackish bodies of water,Q28598684,branch of biology,,,Q5728861,aquatic biology
Q104258221,marine chemical ecology,chemical ecology of marine environments,Q104193250,branch of ecology,,,Q4530312,marine ecology
Q4530312,marine ecology,"branch of ecology concerning marine-life habitats, populations, and interactions among organisms and the surrounding environment",Q104193250,branch of ecology,Q112939592,marine and estuarine ecology,Q7173,marine biology
Q105497504,marine education,field of education,Q11862829,academic discipline,,,Q2485457,science education
Q106321083,marine genomics,genome biology applied to marine organisms,Q11862829,academic discipline,,,Q222046,genomics
Q109534974,marine geophysics,"scientific discipline that employs methods of geophysics to study the world's ocean basins and continental margins, particularly the solid earth beneath the ocean",Q87058424,branch of geology,,,Q1337681,physical oceanography
Q107267429,marine mammalogy,study of marine mammals,Q11862829,academic discipline,,,Q183904,mammalogy
Q109363650,marine meteorology,"subfield of meteorology which deals with the weather and climate as well as the associated oceanographic conditions in marine, island, and coastal environments",Q130304502,branch of meteorology,,,Q3349060,oceanology
Q111680382,marine ornithology,study of marine birds,Q11862829,academic discipline,,,Q44703,ornithology
Q74128869,maritime anthropology,anthropology of cultures and people in the maritime environment,Q106720965,branch of anthropology,,,Q23404,anthropology
Q11944354,material chemistry,branch of chemistry and materials science,Q11862829,academic discipline,,,Q228736,materials science
Q1908242,materials physics,use of physics to describe the physical properties of materials,Q11862829,academic discipline,Q413,physics,Q228736,materials science
Q74130636,mathematical anthropology,branch of anthropology,Q106720965,branch of anthropology,,,Q23404,anthropology
Q110660336,mechanics and constructive mechanical engineering,subject area in the DFG Classification of Subject Areas and Review Boards (2020-2024),Q12015335,branch of engineering,,,,
Q1916458,media economy,field of study as well as a part of media science,Q11862829,academic discipline,Q165650,media studies,,
Q1779521,medical anthropology,sub-field of anthropology focusing on human health issues,Q106720965,branch of anthropology,,,Q23404,anthropology
Q11790210,medical sciences,branch of science,Q11862829,academic discipline,,,Q864928,life sciences
Q11190,medicine,"field of study for diagnosing, treating and preventing disease",Q11862829,academic discipline,Q864928,life sciences,Q843601,health sciences
Q27992545,medieval history,history during the Middle Ages,Q11862829,academic discipline,,,Q1066186,study of history
Q1919954,membrane biophysics,subfield of biophysics,Q11862829,academic discipline,,,Q7100,biophysics
Q104712717,membranology,the study of the membranes of cells and cell structures,Q28598684,branch of biology,,,Q7141,cell biology
Q120969804,metadata enrichment,area of research,Q11862829,academic discipline,,,,
Q59163916,metadata mapping,an expression of rules to convert structured data from one format or model to another,Q11862829,academic discipline,,,,
Q111968621,metamorphic petrology,study of metamorphic rocks,Q87058424,branch of geology,Q112971034,igneous and metamorphic petrology,Q163082,petrology
Q1933849,microdata,statistics term; information at the level of individual respondents,Q59772171,statistical term,Q59772185,statistical terminology,Q42848,data
Q338346,microscale meteorology,study of atmospheric phenomena smaller than mesoscale,Q130304502,branch of meteorology,Q25261,meteorology,Q25261,meteorology
Q127467486,microseismology,the scientific study of microseismic activity,Q11862829,academic discipline,,,Q83371,seismology
Q83353,mineralogy,scientific study of minerals,Q87058424,branch of geology,,,Q1069,geology
Q1941909,model-driven engineering,software development methodology that focus on use of high-level abstract models to represent a system which is automatically transformed into executable code,Q11862829,academic discipline,,,Q682496,systems engineering
Q3848331,molecular anthropology,field within anthropology,Q106720965,branch of anthropology,,,Q23404,anthropology
Q3523861,molecular engineering,field of study in molecular properties,Q12015335,branch of engineering,,,Q580689,bioengineering
Q10881532,molecular oncology,interdisciplinary medical specialty,Q11862829,academic discipline,,,Q162555,oncology
Q122933041,monsoon meteorology,study of the structure and behavior of the atmosphere in those areas of the world that have monsoon climates,Q11862829,academic discipline,,,Q25261,meteorology
Q120910077,multi-query optimization,area of research,Q11862829,academic discipline,,,,
Q120969824,multilingual web,area of research,Q11862829,academic discipline,,,,
Q638,music,art using sound,Q56055944,type of arts,,,Q2018526,arts
Q27908,music education,field of study associated with the teaching and learning of music,Q108161738,branch of education,,,Q136076495,musicking
Q107331442,music therapy,field of musical study,Q11862829,academic discipline,,,,
Q7175,mycology,branch of biology concerned with the study of fungi,Q28598684,branch of biology,,,Q420,biology
Q127478574,mycoplasmology,study of mycoplasmas,Q28598684,branch of biology,,,Q243748,bacteriology
Q912169,nanoscience,"study of the properties of matter at the nanoscale; in particular, it focuses on the unique, size-dependent properties of solid-state materials",Q11862829,academic discipline,,,Q336,science
Q1513879,natural language generation,automatic text generation using a computer algorithm,Q11862829,academic discipline,,,Q30642,natural language processing
Q30642,natural language processing,field of computer science and linguistics,Q135892289,branch of linguistics,,,Q11862829,academic discipline
Q105575840,natural resources,field of study,Q11862829,academic discipline,,,Q8134,economics
Q102066,navigation,"process of monitoring and directing the movement of a person, craft or vehicle from one place to another",Q11862829,academic discipline,,,Q451967,intentional human activity
Q129090673,neossology,branch of ornithology dealing with the incubation of eggs and rearing of young birds,Q99397804,branch of zoology,,,Q44703,ornithology
Q129092748,neurocytology,the study of the nervous system at the cellular (neuronal) level,Q28598684,branch of biology,,,Q3009579,cytology
Q6041275,neuroembryology,branch of embryology dealing with the development of the nervous system,Q28598684,branch of biology,,,Q2728012,neurobiology
Q1335366,neuroendocrinology,branch of biology (specifically of physiology) which studies the interaction between the nervous system and the endocrine system,Q28598684,branch of biology,Q2728012,neurobiology,,
Q1336265,neuroethology,study of animal behavior and its underlying mechanistic control by the nervous system,Q11862829,academic discipline,,,,
Q3338668,neurogastroenterology,"neurology of the gastrointestinal tract, liver, gallbladder, and pancreas",Q11862829,academic discipline,,,Q120569,gastroenterology
Q129093219,neurohistology,branch of histology concerned with the nervous system,Q28598684,branch of biology,,,Q2728012,neurobiology
Q25048059,nomology,"the theoretical study of metaphysical, logical, divine, or human laws",Q11862829,academic discipline,,,Q5891,philosophy
Q106859820,numerical ecology,"field of quantitative ecology devoted to the numerical analysis of data, mostly multivariate, with emphasis on community composition data",Q104193250,branch of ecology,,,Q7268923,quantitative ecology
Q121176,nursing,caring for people who are sick or injured,Q30109942,paramedical speciality,,,Q2421951,care
Q120969835,objects social networks,area of research,Q11862829,academic discipline,,,,
Q104853682,oboe performance,performance of music on the oboe,Q11862829,academic discipline,,,Q6942562,musical performance
Q135937938,observational epidemiology,"the application of epidemiological reasoning, knowledge, and methods in studies that are nonexperimental (i.e., in observational studies)",Q135937959,branch of epidemiology,,,Q133805,epidemiology
Q108703418,ocean circulation,circulation of water throughout the ocean,Q11862829,academic discipline,,,Q1337681,physical oceanography
Q3349060,oceanology,multidisciplinary field of study and research of ocean life and physics,Q11862829,academic discipline,,,Q8008,Earth science
Q297672,oenology,science of wine production,Q11862829,academic discipline,Q1039642,food technology,Q110735073,oenology and viticulture
Q110735073,oenology and viticulture,field of study and research,Q11862829,academic discipline,,,Q3606845,agricultural science
Q126366484,oligochaetology,branch of zoology that deals with the oligochaete worms,Q99397804,branch of zoology,,,Q118323427,annelidology
Q127220291,ombrology,branch of meteorology that deals with rain,Q11862829,academic discipline,,,Q25261,meteorology
Q108535712,ontology comparison,the process of determining semantical differences between ontologies of the same domain to evaluate or select ontologies,Q11862829,academic discipline,,,Q1720648,comparison
Q120910071,ontology design patterns,area of research,Q11862829,academic discipline,,,,
Q99196766,ontology development,systematic structuring of concepts and their relationships,Q11862829,academic discipline,,,Q17008777,conceptualization
Q124413593,ontology evaluation,evaluation (in an engineering sense) of ontology representations,Q11862829,academic discipline,,,Q124614077,knowledge graph development
Q3620938,ontology learning,automatic creation of ontologies,Q11862829,academic discipline,,,,
Q107183471,opera production,"production, direction, staging, performance, etc. of operas",Q11862829,academic discipline,,,Q36492844,planned production
Q577555,ophiology,branch of herpetology that studies snakes,Q99397804,branch of zoology,,,Q9307400,reptiliology
Q127522898,oral biology,"area of knowledge that deals with the structure, development, and function of the oral tissues, their interrelationships, and their relation to other organ systems in both health and disease",Q28598684,branch of biology,,,Q864601,biomedicine
Q121363877,oral epidemiology,dental health discipline,Q11862829,academic discipline,,,Q133805,epidemiology
Q70359543,oral health,state of the mouth and normal functioning of its organs of the mouth,Q11862829,academic discipline,,,Q12147,health
Q107268129,oratory,art of speaking in public eloquently or effectively,Q11862829,academic discipline,,,Q861911,oration
Q105339166,organ performance,performance of music on the organ,Q11862829,academic discipline,,,Q6942562,musical performance
Q110406476,organizational development,interdisciplinary field of scholars and practitioners who work collaboratively with organizations and communities to develop their system-wide capacity for effectiveness and vitality,Q11862829,academic discipline,,,Q7562091,development
Q118301,orthodontics,"specialty of dentistry that deals with the diagnosis, prevention, and correction of malpositioned teeth and jaws, and misaligned bite patterns",Q11862829,academic discipline,,,Q12128,dentistry
Q130239031,osphresiology,the study of odors and the sense of smell,Q11862829,academic discipline,,,Q2728012,neurobiology
Q7206,paleoanthropology,study of ancient humans,Q106720965,branch of anthropology,,,Q23404,anthropology
Q192694,paleobotany,branch of botany and paleontology,Q104415895,branch of paleontology,,,Q1578310,paleobiology
Q108941726,paleoethnology,"the study of ancient and prehistoric human societies and their development, especially from an ethnological perspective",Q106720965,branch of anthropology,,,Q43455,ethnology
Q125994414,paleogeomorphology,branch of geomorphology concerned with the study of ancient topographic features now either concealed beneath the surface or removed by erosion,Q87058424,branch of geology,,,Q52109,geomorphology
Q106099227,paleoherpetology,study of fossil amphibians and reptiles,Q104415895,branch of paleontology,,,Q3634677,vertebrate paleontology
Q27808133,paleoichthyology,branch of paleozoology devoted to the study of prehistoric fish,Q104415895,branch of paleontology,,,Q210369,paleozoology
Q107154480,paleomalacology,study of fossil mollusks,Q104415895,branch of paleontology,,,Q210369,paleozoology
Q106139468,paleomammalogy,branch of zoology studying of fossil mammals,Q104415895,branch of paleontology,,,Q3634677,vertebrate paleontology
Q455928,paleornithology,scientific study of bird evolution and fossil birds,Q104415895,branch of paleontology,Q44703,ornithology,Q3634677,vertebrate paleontology
Q131575631,paleozoogeography,study of the geographical distribution of extinct or fossil animal species and populations,Q104415895,branch of paleontology,,,Q5413464,paleobiogeography
Q7143049,pastoral counseling,psychotherapy practiced by communally-recognized religious leaders,Q11862829,academic discipline,,,Q4390239,counseling
Q127676320,pathematology,the psychological study of the passions or emotions,Q60680430,branch of psychology,,,Q9418,psychology
Q7208,pathology,study and diagnosis of disease,Q11862829,academic discipline,,,Q113129019,clinical sciences
Q127656487,patronomatology,the study of the origin of surnames,Q11862829,academic discipline,,,Q175156,onomastics
Q127675913,personology,the scientific study of personality; the study of the way behaviour is related to personality,Q60680430,branch of psychology,,,Q9418,psychology
Q127676088,pestology,the branch of science that deals with pests and methods of controlling and eradicating them,Q11862829,academic discipline,,,Q336,science
Q1273174,petroleum engineering,"field of engineering concerned with the activities related to the production of hydrocarbons, which can be either crude oil or natural gas",Q12015335,branch of engineering,Q3353193,energy engineering,,
Q163082,petrology,"branch of geology that studies the origin, composition, distribution and structure of rocks",Q87058424,branch of geology,,,Q1069,geology
Q272737,phenology,study of periodic events in biological life cycles,Q28598684,branch of biology,,,Q420,biology
Q488059,philosophical anthropology,branch of anthropology and philosophy that studies human nature and ideologies,Q106720965,branch of anthropology,,,Q23404,anthropology
Q59115,philosophy of science,"branch of philosophy concerned with the foundations, methods, and implications of science",Q22811234,branch of philosophy,,,Q5891,philosophy
Q128893816,photogeology,field of study that deals with the geological interpretation of aerial or satellite photographs,Q87058424,branch of geology,,,Q1069,geology
Q128894857,physical geology,branch of geology made up of structural geology and dynamic geology,Q87058424,branch of geology,,,Q1069,geology
Q130304842,physical meteorology,subfield of meteorology generally restricted to that part of meteorology not explicitly devoted to atmospheric motions,Q130304502,branch of meteorology,,,Q25261,meteorology
Q7189811,phytopharmacology,the study of the influences of drugs on the physiological processes of plants,Q11862829,academic discipline,,,Q128406,pharmacology
Q130253639,phytophenology,the phenology of plants,Q17002728,branch of botany,,,Q272737,phenology
Q130253346,phytoserology,"branch of serology that deals with plants and plant products especially in respect to identification, determination of relationships, and study of plant viruses",Q11862829,academic discipline,,,Q502159,serology
Q1138244,phytosociology,branch of ecology studying plant communities,Q17002728,branch of botany,Q441,botany,Q1387972,plant ecology
Q130253279,phytoteratology,the branch of biology concerned with congenital defects and abnormal formations of plants,Q17002728,branch of botany,,,Q631521,teratology
Q104998020,piano performance,performance of music on the piano,Q1047113,field of study,,,Q115160929,keyboard instrument performance
Q104499,planetary science,science of planets and other astronomical objects apparently in orbit around one or more stellar objects,Q11862829,academic discipline,Q180046,space exploration,Q1195766,space sciences
Q107616960,plant cell biology,the study of plant cells,Q11862829,academic discipline,Q113133333,plant cell and molecular biology,Q7141,cell biology
Q100913396,plant ecophysiology,ecophysiology of plants,Q104193250,branch of ecology,,,Q1387972,plant ecology
Q106604818,plant evolutionary biology,academic discipline,Q17002728,branch of botany,,,Q840400,evolutionary biology
Q116251723,plant microbiology,academic discipline; study of microscopic organisms in or on plants,Q28598684,branch of biology,,,Q7193,microbiology
Q27778,political anthropology,"branch of anthropology that explores, examines, and compares diverse systems of social control and power structures of societies",Q106720965,branch of anthropology,,,Q29051,social anthropology
Q7229751,popular culture studies,academic discipline; study of popular culture from a critical theory perspective combining communication studies and cultural studies,Q11862829,academic discipline,,,,
Q107286734,positive computing,Technological design approach that embraces ethical practice and supports psychological well-being,Q11862829,academic discipline,,,,
Q7234391,postmodernist anthropology,sub-field of anthropology,Q106720965,branch of anthropology,,,Q23404,anthropology
Q114000009,predictive microbiology,"a discipline that combines microbiology, mathematics and statistics with the objective of creating models to describe and predict the growth or inactivation of microorganisms under a series of environmental conditions",Q28598684,branch of biology,,,Q7193,microbiology
Q18619,priming,implicit memory effect whereby exposure to a stimulus unconsciously influences a response to another stimulus,Q11862829,academic discipline,Q77468620,psychological terminology,,
Q7246002,privacy-enhancing technologies,method used to protect an online user's personally identifiable information (PII),Q11862829,academic discipline,,,Q21198,computer science
Q25312607,programming model,area of research,Q11862829,academic discipline,,,,
Q169525,protein engineering,"biochemical and genetic engineering processes involved in the synthesis, modification, and production of protein products for various applications",Q12015335,branch of engineering,Q7094,biochemistry,Q580689,bioengineering
Q120910093,provenance,area of research,Q11862829,academic discipline,,,,
Q69886737,psychiatric social work,use of all social work processes in the treatment of patients in a psychiatric or mental health setting.,Q11862829,academic discipline,Q205398,social work,,
Q2116028,psychological anthropology,subdiscipline of anthropology,Q106720965,branch of anthropology,,,Q12572036,ethnopsychology
Q11830794,pteridology,scientific field of ferns,Q17002728,branch of botany,,,Q441,botany
Q122751959,public health microbiology,branch of microbiology,Q11862829,academic discipline,,,Q189603,public health
Q120969783,quality metrics,area of research,Q11862829,academic discipline,,,,
Q110257133,queer musicology,field dedicated to the study of sexual and gender diversity as it relates to music,Q11862829,academic discipline,,,Q164204,musicology
Q120910066,query answering,area of research,Q11862829,academic discipline,,,,
Q12717855,radar meteorology,the study of the atmosphere and weather using radar as the means of observation and measurement,Q130304502,branch of meteorology,,,Q25508248,radio meteorology
Q25508248,radio meteorology,"branch of meteorology embracing the propagation of radio waves in the atmosphere and the use of such waves for the remote sensing of clouds, storms, precipitation, turbulence, winds, and various physical properties of the atmosphere",Q130304502,branch of meteorology,,,Q25261,meteorology
