qid,label,fast_id,gnd_id,lcsh_id,ddc,aat_id,lcc
Q7163,politics,1919741,4046514-7,sh2002011436,320|324,300055537,
Q31151,population genetics,,4046804-5,sh85104920,576.58,,
Q141212,postgraduate education,,4277297-7,,,,
Q1803786,power engineering,,4113411-4,,621.31,,
Q2310752,prehistory and early history,,4121886-3,,,,
Q975085,primary education,903204,4158406-5,sh85041077|sh99005768,372,300054366,
Q271588,printmaking,,,,,300131119,
Q1733207,private international law,,4027446-9,sh85030965,340.9,,
Q4122235,private law,,4047304-1,,346,,
Q2144042,process engineering,,4062781-0,sh85107212,,,
Q121594,professor,,,sh85028378,,300025533,
Q834933,progressive education,,,sh85107319,,,
Q179012,project management,,4047441-0,sh85065919,658.404,,
Q852732,proof theory,,4145177-6,sh85107437,511.36,,QA9.54
Q557399,psychoacoustics,1081233,4176198-4,sh85108410,,,
Q2642975,psychopedagogy,,,,370.15,,
Q1428943,psychophysiology,,,sh85108484,612.8,,
Q31728,public administration,1081976,,sh85108611,350,300254069,
Q274490,public finance,,4121273-3,sh85048270,336,,
Q207892,public law,,4043181-2,sh85108696,342,300054444,
Q294199,public order,,4276243-1,,,,
Q133080,public relations,,4043188-5,sh85108753,659,300054685,HM1221
Q3972943,publishing,1083463,4187925-9,sh85108871,002|801.959,300054686,
Q203337,pulmonology,,4122323-8,,,,
Q7260944,purchasing manager,,,,,300252561,
Q1144457,quantum physics,,4047992-4|4266670-3,,530.12|539,,
Q872,radio,1087053,,sh85110385,791.4,300249989,PN1991-1991.9|TK
Q77604,radiology,,4048213-3,sh85110774,616.0757,300229401,
Q4260703,railway engineering,,4151498-1,sh85110872,,,
Q482379,regional development,,4076605-6,,,,
Q9174,religion,1093763,4049396-9,sh85112549|sh2002007663,200,300054300,
Q670732,religious law,,4030746-3,,,,
Q653838,rescue archaeology,,4172069-6,,,300263442|300379376,
Q327657,rheumatology,,4128646-7,sh88000877,616.723,,
Q2349677,road construction,1098548|1098394,4057887-2,sh85114491|sh85114461,,,
Q1446961,rocket science,,1180403177,,,,
Q3045473,rural development,,4034450-2,sh85115899,,300055435,
Q2116549,science of journalism,,4126878-7,,,,
Q1332231,science studies,,4129377-0,,,,
Q103076,screenplay,1726675,4127976-1,sh85088064,791.437,300026491,
Q13006147,secondary education,903252,4077347-4,sh85041082,373,300054368,
Q652122,sewing,,4171095-2,sh85120542,646,300053658|300261537,
Q482752,sharia,979949,1151921939,sh85068454,340.59,,
Q1363492,single-entry bookkeeping system,,4163148-1,,,,
Q524273,social geography,,4055768-6,,304.2,,
Q908604,social history,1122498,4055772-8,sh85123948,306.09,300054403,
Q1572493,social pedagogy,,4055864-2,,,,
Q14565700,social studies,,4055852-6,sh85124019,,,
Q205398,social work,,4055676-1,,,,
Q846636,software architecture,,4121677-5,,,,
Q9161265,soil science,,4007379-8,sh85124376,,300054557,S590-S599.9
Q1080293,solid mechanics,,4129367-8,,531,,
Q1937950,sound design,,7693207-2,,,,
Q149013,spatial planning,,4048590-0,,,,
Q212105,special education,,4077513-6,sh85046212,371|371.9,300185659,
Q739465,study of the Hebrew language,,4159338-8,,492.4|892.4,,
Q492886,supply chain management,,4684051-5,sh85018306,658.5|658.7,,
Q756449,supramolecular chemistry,,4306141-2,sh00000385,541.226,,
Q816425,surveying,,,sh85130857,333.08,300054691,
Q3510806,symptomatology,,4078106-9,,616.0754,,
Q3643037,systematic botany,,,,580.12,,
Q942569,systems analyst,,,,003.092,300025822,
Q335414,tafsir,2016565,4184345-9,sh85072967,,,BP130.4
Q856251,tax law,,4116614-0,sh85132851,343,,
Q1964442,taxation,,,sh99005245,,,
Q37226,teacher,1144248,4035088-5|4035097-6,sh85132964,371.1,300025529,
Q350453,teaching methodology,,4123176-4,,,,
Q3931801,television direction,,,,791.450233,,
Q1407228,television production,,4127335-7,,,,
Q2065951,television studies,,4154055-4,,,,
Q1725664,terminology,,4059501-8,sh85134029,401.4|4--014|1--014,,
Q28823,textile,,4135786-3|4059615-1,,677|620.197|687,300231565|300014063,
Q763631,textile design,,7506104-1,,,,
Q20825773,textile engineering,,4059643-6,,,,
Q275456,textual criticism,883762,4059657-6,sh85034152|sh99005388,801.959,,P47|PA47
Q2416230,theatre criticism,,4059714-3,sh85039340,792.015,,
Q3387717,theatrical director,,4185053-1|4469908-6,sh85134614,792.0233092,,
Q351625,theoretical linguistics,,,,,300054256,
Q18362,theoretical physics,,4117202-4,,530.1,,
Q2419397,therapist,,4194046-5|4405182-7,,,300025598,
Q134435,topography,,4133697-5,sh85136077,910,,
Q1350203,tourism geography,,4122150-3,,,,
Q976962,tourism studies,,4218983-4,,,,
Q601401,trade,,4023222-0,sh85028901,381,300061886,
Q200253,traditional Chinese medicine,,,sh85083125,,,
Q7553,translation,1154795,4061418-9,sh85136958,418.02,300069831,P306-P310
Q501778,translation studies,,4438228-5,,,,
Q1365243,tropical medicine,1157469,4127753-3,sh85138061,,,RC960-RC962
Q1667633,university history,,7504326-9,,,,
Q1569011,urban history,,,,,300054404,
Q69883,urban planning,862177,4056754-0,sh85026282,710,300054427,HT165.5-HT169.9|K3534
Q597680,urban sociology,,,sh85124233,307.76,300054460,
Q105650,urology,,4062158-3,sh85141451,616.6,,
Q645938,victimology,,4078906-8,,362.88,,
Q8355,violin,1167350,4019791-8,sh85143544,787.2,300042215,
Q1899679,visual communication,,4131112-7,sh85143917,,,
Q386275,web development,,,sh98004795,,,
Q836328,welder,1173564,4126530-0,sh85146011,671.520  92,300025311,
Q131172,welding,,4053870-9,sh85146012,671.52,300053958,
Q213376,winemaking,,4189467-4,,641.872|663.2,300265204,
Q35069,women's studies,,,,,300194262,
Q1609891,wood processing,,4025684-4,,,,
Q6457238,world history,,4079158-0,sh85148201,909,,
