qid,label,description,instance_of,instance_of_label,part_of,part_of_label,subclass_of,subclass_of_label
Q55033061,applied metrology,field of metrology concerned with the application of measurement to manufacturing and other processes,Q11862829,,Q394,,,
Q538904,applied psychology,application of psychological theories or findings,Q11862829,,Q113043917,,Q28797,
Q28797,applied science,discipline that applies existing scientific knowledge to develop more practical applications,Q11862829,,,,Q336,
Q1967088,applied statistics,application of statistics to a given domain,Q11862829,,,,Q33521,
Q5728861,aquatic biology,branch of biology that studies aquatic life,Q28598684,,,,Q4782809,
Q104196941,aquatic ecology,ecology of aquatic environments,Q104193250,,,,Q5728861,
Q4782809,aquatic science,multidisciplinary study of freshwater and marine ecosystems,Q11862829,,,,Q864928,
Q4117900,aquatic toxicology,study of manufactured products on aquatic organisms,Q11862829,,,,,
Q18352840,aqueous geochemistry,study of elements in watersheds,Q11862829,,,,Q161764,
Q136026858,arbovirology,a branch of virology that deals with the arboviruses,Q28598684,,,,Q7215,
Q463923,archaeoastronomy,archaeological sub-discipline,Q131565179,,Q333,,Q23498,
Q23498,archaeology,study of the past via material culture,Q11862829,,Q113077601,,Q1066186,
Q116192812,archaeology of childhood,the study of childhood through material culture,Q11862829,,,,Q23498,
Q2860621,archeothanatology,,Q11862829,,,,Q7206,
Q55619696,architectonics,sub-discipline of architecture,Q11862829,,,,Q12271,
Q2305951,architectural acoustics,science and engineering of achieving a good sound within a building,Q11862829,,Q31837581,,Q82811,
Q831154,architectural analytics,academic discipline; field of study that focuses on the discovery and identification of meaningful patterns in architecture,Q11862829,,,,,
Q635313,architectural computer science,,Q11862829,,,,Q4787070,
Q3922674,architectural design,design of buildings and their environments,Q11862829,,,,Q82604,
Q635374,architectural education,teaching of and training in architecture,Q108161738,,,,Q352842,
Q112939606,architectural heritage and conservation,field of research,Q11862829,,,,Q25101906,
Q108366569,architectural studies,academic discipline,Q11862829,,,,,
Q4787070,architectural technology,application of technology to the design of buildings,Q112057532,,,,Q2695280,
Q47537,architectural theory,"the act of thinking, discussing, and writing about architecture",Q11862829,,,,Q17737,
Q12271,architecture,"process of planning, designing and construction",Q56055944,,Q113129241,,Q82604,
Q380313,archival science,science of storage and registration of historic data,Q11862829,,Q4027615,,Q770723,
Q11122383,archives management,maintenance and use of archives,Q11862829,,,,Q5283295,
Q10855175,archivistics,,Q11862829,,,,,
Q776528,archontology,,Q11862829,,,,Q770723,
Q928786,area studies,"interdisciplinary fields of research in geography, history, culture, politics, economy, ethnology, languages and sociology, within a national, regional, or local context, in order to describe or explain its specificities",Q11862829,,,,Q23010558,
Q23010558,"area, ethnic, cultural, gender, and group studies","instructional program that focus on the defined areas, regions, and countries of the world; defined minority groups within and across societies; and issues relevant to collective gender and group experience",Q11862829,,,,Q34749,
Q128621,areography,study of the physical features of Mars,Q11862829,,,,Q104499,
Q126733835,areology,branch of astronomy which studies the planet Mars in all of its aspects,Q11862829,,,,Q333,
Q110528767,argumentation support,subfield of natural language processing,Q11862829,,,,Q182557,
Q105375725,arid regions ecology,ecology of arid regions,Q104193250,,,,Q7150,
Q704030,ars dictaminis,art of composition and style; manual of composition,Q107478770,,,,Q15699657,
Q735,art,"general concept that creates expressive work for its beauty or emotional power (use Q838948 for the resulting work, use Q2018526 for the group of creative disciplines)",Q26256810,,Q2018526,,Q17537576,
Q55336315,art,the academic study of art,Q11862829,,,,Q80083,
Q107616480,art appreciation,education to develop the aesthetic appreciation of works of art,Q11862829,,,,Q1757598,
Q45741429,art geography,Discipline.,Q11862829,,,,Q50637,
Q50637,art history,academic study of objects of art in their historical development,Q11862829,,Q113296040,,Q1757598,
Q113209460,"art history, theory and criticism",field of research,Q11862829,,,,Q2018526,
Q2921001,art of drawing,artistic technique and discipline of drawing,Q11862829,,,,Q115654911,
Q6406167,art of tropes,,Q11862829,,,,,
Q62302889,art practice,academic discipline,Q11862829,,,,,
Q119003028,art studies,"academic humanities studying language, performance, and visual arts",Q11862829,,,,Q80083,
Q928865,art therapy,therapeutic technique that incorporates creative methods of expression through visual art media,Q130699387,,,,Q838202,
Q707818,arteriography,medical imaging technique,Q11862829,,,,Q468414,
Q2845653,arthropod anatomy,anatomy of arthropods,Q11862829,,,,Q25570959,
Q3520855,arthropodology,study of arthropods,Q99397804,,Q12744095,,Q12744095,
Q4801095,artificial psychology,theoretical discipline proposed by Dan Curtis,Q11862829,,,,,
Q102357321,arts,scientific discipline,Q11862829,,,,,
Q3285163,arts administration,field in the arts sector that facilitates programming within cultural organizations,Q11862829,,,,Q48785284,
Q2865876,arts and letters,"literary arts (""letters"") together with the fine arts and/or the performing arts",Q11862829,,,,,
Q4801516,arts criticism,"process of describing, analyzing, interpreting, and judging works of art",Q61788060,,,,Q17955,
Q137318343,arts in medicine,field that applies the arts within clinical and healthcare,Q11862829,,,,Q137303847,
Q134725737,ascidiology,branch of zoology that deals with the ascidians or broadly the tunicates,Q99397804,,,,Q12744095,
Q110512905,asexual studies,academic discipline that studies asexuality and asexual people,Q11862829,,,,Q98929208,
Q113104586,assistive robots and technology,field of research,Q11862829,,,,Q113104535,
Q4809578,association law,branch of law,Q11862829,,,,Q7748,
Q125760026,asthma genetics,subfield of genetics concerned with asthma,Q62722214,,,,,
Q127608456,astroarchaeology,discipline created by Erich von Däniken which aims to search in the remains of past civilizations for “evidence” of extraterrestrial visits to our planet,Q11862829,,,,,
Q411,astrobiology,study of the formation of life on Earth and elsewhere on other planets in outer space,Q131565179,,,,Q420,
Q30587747,astrobotany,applied sub-discipline of botany that is the study of plants in space environments,Q11862829,,,,Q441,
Q11680018,astrochemistry,study of the abundance and reactions of chemical elements and molecules in the universe,Q131565179,,,,Q11491273,
Q98072944,astrogeophysics,"branch of geophysics dealing with material found in space, and the surface and internal processes of celestial bodies",Q11862829,,,,Q14632398,
Q28130028,astrolinguistics,hypothetical scientific study of alien language,Q11862829,,,,Q8162,
Q181505,astrometry,branch of astronomy that covers star positions and their movements,Q131565179,,,,Q333,
Q333,astronomy,natural science studying celestial objects and phenomena in the cosmos,Q11862829,,,,Q14632398,
Q113209255,astroparticle physics and particle cosmology,field of research,Q11862829,,,,Q18334,
Q124834963,astrophysical and planetary sciences,academic discipline combining astrophysics and planetary science,Q11862829,,,,Q104499,
Q37547,astrophysics,science that employs the methods and principles of physics and chemistry in the study of astronomical objects and phenomena,Q131565179,,,,Q25508843,
Q4811716,astrostatistics,"branch of statistics combining astrophysics, statistical analysis and data mining",Q131565189,,,,Q12483,
Q64689290,athletic therapy and training,"Academic discipline - focuses specifically on musculoskeletal injuries and their prevention, assessment, treatment and rehabilitation",Q11862829,,,,,
Q124611981,atlas cartography,subdiscipline of cartography,Q124749729,,,,Q42515,
Q124622436,atlas semiotics,Subclass of semiotics,Q11862829,,,,Q957366,
Q1367365,atmospheric optics,academic discipline,Q11862829,,,,Q14620,
Q5334416,atmospheric physics,application of physics to the study of the atmosphere,Q11862829,,,,Q14632398,
Q757520,atmospheric sciences,umbrella term for the study of the atmosphere,Q11862829,,,,Q188847,
Q4817130,atmospherics,discipline of designing commercial spaces,Q11862829,,,,,
Q113041763,atomic and molecular physics,field of research,Q11862829,,Q1151533,,Q1151533,
Q11853325,atthidography,"ancient literary genre, history and customs of Attica and Athens",Q11862829,,,,Q50675,
Q121842147,attribution research,research field,Q11862829,,,,,
Q85744100,audience studies,,Q11862829,,,,,
Q3755147,audiovisual communication,,Q11862829,,,,Q11024,
Q181487,audit,"systematic and independent examination of books, accounts, documents and vouchers of an organization",Q64588497,,Q189447,,Q1379672,
Q131339872,auditory ecology,"auditory environments in which humans live and function, the tasks to be undertaken by humans in these complex acoustic environments, and the importance of these tasks in daily life and daily routines",Q11862829,,,,Q110933862,
Q107345988,auditory neuroscience,research field studying neurobiological and neuropathological aspects of sound perception,Q11862829,,,,Q55604472,
Q55604472,auditory science,,Q11862829,,,,Q864928,
Q130257029,auto-psychology,"psychological discipline that deals with individual psychology techniques applied by an individual, in order to affirm and achieve individual goals such as happiness and self-affirmation",Q60680430,,,,Q9418,
Q214526,automata theory,study of abstract machines and automata,Q11862829,,Q2878974,,,
Q2555318,automated reasoning,subfield of computer science and logic,Q126723190,,Q2878974,,,
Q184199,automation,control systems using technology such that a process or procedure is performed with minimal human assistance,Q11862829,,,,Q10843872,
Q12526674,automation,academic discipline,Q11862829,,,,,
Q64853820,automation and electrical engineering,,Q11862829,,,,,
Q64800641,automation and information technology,,Q11862829,,,,,
Q113161355,automotive combustion and fuel engineering,field of research,Q11862829,,,,Q124192,
Q124192,automotive engineering,discipline of engineering,Q12015335,,Q101333,,Q101333,
Q110093993,automotive safety engineering,field of engineering,Q12015335,,,,Q2090494,
Q770723,auxiliary science of history,scholarly disciplines which help evaluate and use historical sources and are seen as auxiliary for historical research,Q11862829,,Q1066186,,Q11790198,
Q104825629,avian ecology,ecology of birds and their interaction with environment,Q104193250,,,,Q73403730,
Q122951657,avian pathology,study of the diseases of birds,Q11862829,,,,Q7208,
Q64686934,aviation management,"Academic discipline - structures, operations and management of the aviation industry",Q11862829,,,,Q765633,
Q12227777,aviation science,academic discipline for the scientific study of aviation and aircraft,Q11862829,,Q336,,Q2516517,
Q103450882,aviation systems,academic discipline,Q11862829,,,,,
Q104825451,bacterial ecology,ecology of bacteria,Q104193250,,,,Q3054637,
Q64811482,bakery and patisserie,,Q11862829,,,,,
Q4076591,ballet studies,discipline of dance studies,Q11862829,,,,Q2393450,
Q463604,baltistics,multidisciplinary study of the language and culture of the Baltic nations,Q11862829,,,,Q1377029,
Q136799183,bandura performance,performance of music on the bandura,Q11862829,,,,Q6942562,
Q21573880,bank security,Security discipline that is responsible for the evaluation and management of security in financial institutions,Q26710929,,,,,
Q3435731,banking,industry for financial institutions such as banks and credit unions,Q11862829,,,,Q837171,
Q113141571,"banking, finance and investment studies",field of research,Q11862829,,,,Q113043123,
Q106148843,baroque flute performance,performance of music on the Baroque flute,Q11862829,,,,Q6942562,
Q105236738,barrier island ecology,ecology of barrier islands,Q104193250,,,,Q104200509,
Q106421780,bassoon performance,performance of music on the bassoon,Q11862829,,,,Q6942562,
Q20730570,batology,the study of brambles,Q17002728,,,,Q441,
Q4869597,batrachology,branch of herpetology that studies amphibians,Q99397804,,,,Q174416,
Q647525,behavioral economics,"discipline of economy studying the effects of psychological, cognitive, emotional, cultural and social factors on decisions",Q11862829,,,,Q9418,
Q3919817,behavioral sciences,exploration of the cognitive processes within organisms and the behavioral interactions between organisms in the natural world,Q11862829,,,,Q33122512,
Q3450906,behavioural biology,subdiscipline of biology,Q28598684,,Q420,,Q420,
Q1204375,behavioural genetics,research investigating genetic-environment interactions influencing human behaviour,Q11862829,,,,Q9418,
Q3578569,benthic ecology,"study of organisms that make up bottom communities (sediments, seagrass communities and rock outcrops) in lakes, streams, estuaries and oceans",Q104193250,,,,Q104196941,
Q110297449,beverage chemistry and beverage sensory science,field of research,Q11862829,,,,Q910172,
Q508069,biblical hermeneutics,study of the principles of interpretation concerning the books of the Bible,Q11862829,,Q794605,,Q102686,
Q97174359,biblical manuscriptology,,Q11862829,,,,Q6753211,
Q794605,biblical studies,set of scientific disciplines studying Bible texts,Q11862829,,,,Q42002,
Q134995,bibliography,academic discipline that studies books,Q11862829,,Q199655,,Q1799072,
Q4086340,bibliography,academic discipline that studies the theory of bibliography,Q11862829,,,,Q134995,
Q2901245,bibliology,study of books or of writings,Q11862829,,,,Q16387,
Q20059765,bibliology,the study of the theological doctrine of the Bible,Q11862829,,,,Q794605,
Q603441,bibliometrics,"statistical analysis of written publications, such as books or articles",Q11862829,,,,Q355654,
Q794611,bibliotherapy,form of supportive psychotherapy in which the patient is given selected material to read,Q130699387,,,,Q838202,
Q110715633,bicultural studies,academic discipline focused on the sociocultural approach to the learning of languages and literacies,Q11862829,,,,Q1143546,
Q4903806,bicycle transportation engineering,"disciplines related to transportation engineering and transportation planning concerning bicycles as a mode of transport and the concomitant study, design and implementation of cycling infrastructure",Q11862829,,,,Q1034047,
Q1920418,big history,academic discipline which examines history from the Big Bang to the present,Q11862829,,,,Q1066186,
Q4914591,bio-geoengineering,Form of climate engineering,Q11862829,,,,Q921851,
Q864191,bioacoustics,biological subdiscipline,Q28598684,,,,Q82811,
Q98247633,bioanalytical chemistry,"subdiscipline of analytical chemistry that involves the separation, detection, identification and quantification of biological samples in different settings",Q11862829,,,,Q7094,
Q3567622,bioastronautics,academic discipline,Q11862829,,,,Q22719,
Q113114761,bioavailability and ecotoxicology,field of research,Q11862829,,,,Q113114755,
Q4086949,biocenology,branch of biology concerned with the study of natural communities and the interaction of the members of such a community,Q28598684,,,,Q7150,
Q7094,biochemistry,study of chemical processes in living organisms,Q28598684,,Q2329,,Q11351,
Q113042237,biochemistry and cell biology,field of research,Q11862829,,,,Q420,
Q134892016,biochemorphology,the study of the relationship between the chemical structure of a compound and its biological action,Q28598684,,,,Q73326083,
Q1898366,bioclimatology,branch of climatology that deals with the effects of the physical environment on living organisms over an extended period of time,Q11862829,,,,Q52139,
Q3324096,biocomplexity,academic discipline,Q11862829,,,,,
Q4914735,biocultural anthropology,scientific exploration of the relationships between human biology and culture,Q11862829,,,,Q23404,
Q4914754,biodemography,aspect of demography,Q11862829,,,,Q37732,
Q4914752,biodemography of human longevity,field of research,Q11862829,,,,Q37732,
Q136483261,biodiversity discovery,biological discipline,Q11862829,,,,Q420,
Q864269,biodiversity informatics,scholarly discipline,Q11862829,,,,Q21198,
Q111325032,biodiversity science,scientific discipline studying all aspects of biodiversity,Q28598684,,,,,
Q12535586,bioecology,the ecology of organisms and their interactions with each other; the branch of science concerned with this,Q28598684,,,,Q7150,
Q580689,bioengineering,application of biology and engineering to create useful products,Q12015335,,,,Q11023,
Q194294,bioethics,study of ethical issues in biology and medicine,Q11862829,,,,Q538733,
Q9171867,biographistics,"writing biographies, biographic literature, literary science about biographies",Q11862829,,,,Q208217,
Q27172,biological anthropology,branch of anthropology that studies the physical development of the human species,Q106720965,,Q23404,,Q23404,
Q119585104,biological fluid mechanics,the study of both gas and liquid fluid flows in or around biological organisms,Q11862829,,,,Q172145,
Q18378619,biological oceanography,"study of how organisms affect and are affected by the physics, chemistry, and geology of the oceanographic system",Q11862829,,,,Q43518,
Q113071905,biologically active molecules,field of research,Q11862829,,,,Q9189409,
Q420,biology,"scientific study of living things, especially their structure, function, growth, evolution, and distribution",Q11862829,,,,Q864928,
Q105582462,biology of colour,subdiscipline of biology that studies color in living organisms and its mediations,Q11862829,,,,Q420,
Q64853831,biomass refining,,Q11862829,,,,,
Q864576,biomechatronics,term,Q11862829,,,,Q180165,
Q85708797,biomedical computation,science of biomedical research using computational methods,Q11862829,,,,Q864601,
Q327092,biomedical engineering,application of engineering principles and design concepts to medicine and biology,Q11862829,,,,Q864601,
Q110745305,biomedical fluid mechanics,field of research,Q11862829,,,,Q216320,
Q1048526,biomedical informatics,the science of information as applied to or studied in the context of biomedicine,Q11862829,,,,Q4027615,
Q13439429,biomedical sciences,"set of applied sciences applying portions of natural science or formal science, or both, to knowledge, interventions, or technology that are of use in healthcare or public health",Q11862829,,Q843601,,Q28598684,
Q67364833,biometry,use of statistical and mathematical methods to analyze biological observations and phenomena,Q11862829,,,,Q351682,
Q130320558,biomolecular archaeology,"subfield of archaeometry: the study of ancient molecules (especially nucleic acids, proteins, lipids, and carbohydrates) produced by past living organisms",Q11862829,,,,Q637284,
Q4915151,biomolecular engineering,application of engineering principles and practices to the purposeful manipulation of molecules of biological origin,Q12015335,,,,,
Q189131,bionics,application of biological methods and systems found in nature to the study and design of engineering systems and modern technology,Q11862829,,,,Q11023,
Q1521926,biopharmacology,academic discipline,Q11862829,,Q128406,,,
Q803860,biopharmacy,"study of the physical and chemical properties of a drug and its dosage form as related to the onset, duration and intensity of its action",Q11862829,,Q11190,,Q7180763,
Q7100,biophysics,study of biological systems using methods from the physical sciences,Q28598684,,,,Q113212772,
Q3657270,biorobotics,"interdisciplinary science that combines the fields of biomedical engineering, cybernetics, and robotics",Q11862829,,,,Q170978,
Q12535564,biospherology,science,Q28598684,,,,Q7150,
Q214746,biostatistics,study of statistics application in biology,Q11862829,,,,Q67364833,
Q7108,biotechnology,technologies directly involving biology; formerly or more narrowly the use of living systems and organisms to develop or make useful products,Q112057532,,Q11016,,Q11016,
Q864896,biotypology,the study of biotypes,Q28598684,,,,Q27214933,
Q136352,bird anatomy,anatomy of birds,Q11862829,,,,Q10818163,
Q111680421,bird genetics,study of the genetics of birds,Q11862829,,,,Q110310405,
Q111680396,bird physiology,study of the physiology of birds,Q11862829,,,,Q2432331,
Q133847525,black engineering,type of engineering,Q11862829,,,,Q11023,
Q20514253,blockchain,distributed data store for digital transactions,Q11862829,,,,Q25110971,
Q130236442,blood physiology,the study of the physiology of blood,Q28598684,,,,Q521,
Q135915149,blue humanities,humanities discipline focusing on human relationship with the ocean,Q11862829,,,,Q6765895,
Q1416259,body psychotherapy,academic discipline,Q130699387,,,,Q183257,
Q104373905,bog ecology,ecology of bogs,Q104193250,,,,Q104373908,
Q135873358,book sociology,"the application of sociological principles, concepts, and theories to the study of books and the publishing industry",Q105760881,,,,Q21201,
Q3707847,bookkeeping,recording and picking up business transactions,Q11862829,,,,Q4116214,
Q63368312,botanical historiography,,Q17002728,,,,Q2495041,
Q441,botany,science of plant life,Q28598684,,,,Q420,
Q104373884,brackish water ecology,ecology of brackish waters,Q104193250,,,,Q104196941,
Q108226334,braided river ecology,ecology of braided rivers,Q104193250,,,,Q104780697,
Q11612278,brain science,scientific study of the brain,Q11862829,,,,,
Q127601778,branch of economics,subdivision in the field of economics,Q5962346,,Q8134,,Q11862829,
Q22811234,branch of philosophy,subdivision of the field of philosophy,Q109542218,,Q5891,,Q11862829,
Q135923219,brewing science,academic discipline regarding the brewing of beer,Q11862829,,,,Q6631525,
Q12962335,broadcast communication,,Q11862829,,Q11024,,,
Q899719,bryology,branch of botany concerned with the scientific study of bryophytes,Q17002728,,,,Q441,
Q113135108,building industry studies,field of research,Q11862829,,,,Q385378,
Q3741966,building science,academic discipline and scientific study of buildings,Q124222085,,,,Q3958441,
Q113129241,built environment and design studies,field of research,Q11862829,,,,,
Q109727983,burn surgery,field within surgery,Q11862829,,,,Q40821,
Q11418769,business (subject area),academic discipline in Japan,Q11862829,,Q624671,,Q4086500,
Q2043282,business administration,administration of the business transactions of a profit-oriented enterprise,Q11862829,,Q24208053,,Q19862406,
Q8188423,business administration and management,academic discipline,Q11862829,,Q189533,,Q18564125,
Q101802668,business administration and personnel management,,Q11862829,,,,,
Q5001829,business analytics,developing new insights and understanding of business performance based on data and statistical methods,Q11862829,,,,Q1988917,
Q64688008,business and Irish,"Academic discipline - studies in business, management and information technology, taught through the Irish language",Q11862829,,,,,
Q64945533,business and information technology,Academic discipline,Q11862829,,,,,
Q113077118,business and labour history,field of research,Q11862829,,,,Q110407373,
Q111843526,business anthropology,branch of anthropology focused on the study of business organizations,Q106720965,,Q21505779,,Q177304,
Q3643219,business architecture,"business discipline bridging an enterprise strategy with business functionality, converting ""strategy to execution""",Q11862829,,,,,
Q4115749,business communication,process of sharing information between employees within and outside a company,Q11862829,,,,Q11024,
Q1017569,business development,tasks and processes to develop and implement growth opportunities within and between organizations,Q11862829,,,,Q5001951,
Q24208053,business economics,field in applied economics which uses economic theory and quantitative methods to analyze business enterprises,Q11862829,,,,Q5001951,
Q104093595,business finance,,Q11862829,,Q43015,,,
Q126552,business informatics,science that deals with development and application of information and communication systems in business enterprises,Q11862829,,Q2043282,,,
Q3353185,business intelligence,techniques and tools for acquisition and transformation of raw data into meaningful and useful information for business analysis purposes,Q125161275,,,,Q7102024,
Q18564125,business management,academic discipline,Q96247293,,Q101802668,,Q2920921,
Q55659910,business management for business manager,,Q11862829,,,,,
Q350884,business marketing,Marketing practice,Q11862829,,,,Q39809,
Q8346141,business science,scientifically based study of economic and management sciences,Q11862829,,,,Q5001951,
Q17992487,business strategy,type of strategy,Q11862829,,,,Q19862406,
Q113146197,business systems research,field of research,Q11862829,,,,Q113043123,
Q12874773,byzantine archaeology,,Q11862829,,,,Q80083,
Q5018754,calceology,"study of footwear, especially historical footwear whether as archaeology, shoe fashion history",Q11862829,,,,,
Q113208892,"calculus of variations, systems theory and control theory",field of research,Q11862829,,,,Q33521,
Q62689,cameralism,former German science of administration,Q11862829,,,,,
Q168058,campanology,scientific and musical study of bells,Q11862829,,,,Q208365,
Q107278510,canal ecology,ecology of canals,Q104193250,,,,Q104196941,
Q85709956,cancer biology,study of the biological aspects of cancer,Q11862829,,,,Q11190,
Q110324059,cancer diagnosis,determination of cancer from clinical data,Q11862829,,,,Q177719,
Q110093561,cancer genetics,field of research,Q11862829,,,,Q1071953,
Q3421914,cancer research,"research into cancer to identify causes and develop strategies for prevention, diagnosis, treatment, and cure",Q11862829,,,,Q42240,
Q63455747,candidate program in history,,Q11862829,,Q28695,,,
Q188462,canon law,ordinances and regulations made by Church leadership for the government of a Christian organization or church and its members,Q11862829,,Q1577380,,Q670732,
Q811590,canopy research,field of scientific research,Q11862829,,,,,
Q5396690,cantus,"term for singing polyphonic compositions of the Middle Ages and the Renaissance. In ancient music, it also meant instrumental music",Q11862829,,,,Q27939,
Q5034471,capability management,management function aiming to balance economy in meeting current operational requirements sustainably and develop future capabilities,Q11862829,,,,,
Q1637543,carcinogenesis,process of formation of cancer,Q87075524,,Q113066539,,Q18554796,
Q235007,cardiac surgery,surgery on the heart or great vessels,Q11862829,,Q2964004,,Q2964004,
Q10379,cardiology,branch of medicine dealing with disorders of the heart as well as parts of the circulatory system,Q11862829,,Q11180,,Q113129005,
Q389735,cardiovascular disease,class of diseases that involve the heart or blood vessels,Q112193867,,,,Q18557436,
Q113129005,cardiovascular medicine and haematology,field of research,Q11862829,,,,Q864601,
Q741939,career counseling,counseling focused on career-related issues,Q11862829,,,,Q4390239,
Q124622318,carto semiotics,Aspect of cartography and semiotics,Q11862829,,,,Q957366,
Q104642147,cartographic design,aspect of cartography,Q11862829,,Q124633716,,Q1519454,
Q124635338,cartographic education,type of education,Q11862829,,,,Q8434,
Q42515,cartography,branch of science regarding maps and cartographic work,Q11862829,,,,Q8008,
Q112269680,cartooning,study and practice of drawing cartoons and comics,Q11862829,,,,Q21550668,
Q2941393,castellology,study of castles,Q11862829,,,,Q8180985,
Q24260742,catalanistics,academic discipline,Q11862829,,Q40634,,Q1277348,
Q113141551,catalysis and mechanisms of reactions,field of research,Q11862829,,,,Q11372,
Q5051759,catchment hydrology,"hydrology of catchments, areas where water is collected by the natural landscape",Q11862829,,,,Q42250,
Q1735721,catechetics,scientific reflection about catechesis,Q11862829,,,,Q1383443,
Q104416694,cave ecology,ecology of caves,Q104193250,,,,Q104800917,
Q135189433,cave geology,,Q11862829,,,,Q1069,
Q126368867,cecidiology,"branch of biology that is concerned with the galls produced on plants by insects, mites, and fungi",Q28598684,,,,Q420,
Q7141,cell biology,scientific discipline that studies cells,Q28598684,,Q420,,Q420,
Q25631226,cell cycle studies,scientific discipline that studies the cell life cycle,Q28598684,,,,Q7141,
Q113042499,"cell development, proliferation and death",field of research,Q11862829,,,,Q113042237,
Q10472873,cell engineering,methods for growing cells for biosynthetic production of molecules,Q12015335,,,,Q580689,
Q113132905,cell neurochemistry,field of research,Q11862829,,,,Q113042237,
Q105279359,cello music performance,performance of music on the cello,Q11862829,,,,Q6942562,
Q110495051,cellular immunology,subfield of cell biology and immunology,Q28598684,,,,,
Q75135440,cellular physiology,scientific discipline,Q11862829,,,,,
Q1936199,ceramic engineering,"branch of engineering concerned with the development, production, and application of ceramic and ceramic products",Q11862829,,,,Q10843872,
Q137424867,ceramics technology,type of technology for ceramics,Q112057532,,,,Q16930522,
Q3010315,ceramology,scientific discipline that studies ceramics,Q11862829,,,,Q23498,
Q128994649,cestodology,,Q99397804,,,,Q1976068,
Q57629717,chaos engineering,subfield of engineering,Q11862829,,,,Q2193887,
Q64808643,chaplaincy studies & pastoral work,"Academic discipline - academic, pastoral, spiritual, personal and professional development for those already working or wishing to work and seek to enrich their skills in the areas of Faith Development, Chaplaincy and Chaplaincy Coordination",Q11862829,,,,,
Q113077033,characterisation of biological macromolecules,field of research,Q11862829,,,,Q9189409,
Q1726359,chasmology,,Q11862829,,,,,
Q24002214,cheloniology,branch of herpetology devoted to the study of turtles and tortoises,Q99397804,,,,Q9307400,
Q108366378,chemical and environmental toxicology,academic discipline,Q11862829,,,,Q7218,
Q64689283,chemical and pharmaceutical sciences,"Academic discipline - design and develop new drugs, pharmaceuticals and materials, and devise cleaner",Q11862829,,,,,
Q65043023,chemical and process engineering,academic discipline,Q11862829,,,,Q11023,
Q700919,chemical ecology,study of chemicals involved in the interactions of living organisms,Q104193250,,,,Q7150,
Q83588,chemical engineering,"branch of science that applies physical sciences and life sciences together with applied mathematics and economics to produce, transform, transport, and properly use chemicals, materials and energy",Q12015335,,,,Q11023,
Q1069192,chemical reaction network theory,Area of applied mathematics,Q11862829,,,,Q2329,
Q911772,chemical technology,technology that processes or produces chemicals,Q11862829,,,,Q11491273,
Q2329,chemistry,"branch of physical science concerned with the composition, structure and properties of matter",Q11862829,,,,Q14632398,
Q64809521,chemistry and molecular sciences,,Q11862829,,,,,
Q910067,chemometrics,science of extracting information from chemical systems by data-driven means,Q11862829,,,,Q12483,
Q64814361,child and adolescent health care practice,"Academic discipline - educational framework to deliver optimum care to individuals, families and communities, as well as improving the quality of healthcare practice in the healthcare system.",Q11862829,,,,Q2518253,
Q64814360,child and adolescent nursing practice,"Academic discipline - educational framework to deliver optimum care to individuals, families and communities, as well as improving the quality of healthcare practice in the healthcare system.",Q11862829,,,,,
Q407784,child development,"biological, psychological and emotional changes in humans from birth to the end of adolescence",Q11862829,,Q9418,,Q2347178,
Q138315812,child health,"area of health focused on the promotion, prevention and care of children's health",Q11862829,,Q189603,,,
Q69956337,child nutrition sciences,"study of nutrition and the components of food, in relation to health and disease of children, infants or adolescents",Q11862829,,,,Q17652193,
Q1029430,child protection,"protecting children from violence, exploitation and abuse",Q11862829,,,,Q66305973,
Q108352501,childhood and youth studies,academic discipline,Q11862829,,,,,
Q6067965,childhood pedagogy,academic discipline,Q108161738,,,,Q7922,
Q64814365,children's and young adult literature,"Academic discipline - reading, writing and researching children's and young adult literature",Q11862829,,,,,
Q11163999,children's and young adult literature,literary genre,Q109551565,,,,Q8242,
Q131539,children's literature,"stories, books, magazines, and poems that are primarily written for children",Q109551565,,Q11163999,,Q11163999,
Q64804768,children's nursing,Academic discipline - students get equipped with the tools necessary to practice as a competent and professional registered children's nurse,Q11862829,,,,,
Q11581610,chinese cataloging,the discipline that deals with the catalogs of Chinese libraries,Q11862829,,,,,
Q131344592,chondrology,branch of anatomy concerned with cartilage,Q99397804,,,,Q514,
Q64814371,choral studies,Academic discipline - interpretation of choral repertoire from historical and contemporary contexts,Q11862829,,,,,
Q9190331,choreology,the study and description of the movements of dancing,Q11862829,,,,,
Q128284215,chromosomology,the branch of cytology devoted to study of the chromosomes,Q28598684,,,,Q3009579,
Q973297,chronostratigraphy,study of relative time relations and ages of rock layers,Q11862829,,Q1069,,Q134783,
Q1800439,church history,academic discipline studying the history of Christianity,Q81517619,,,,Q846742,
Q124625929,cinematic cartography,subdiscipline of cartography,Q124749729,,Q124625812,,Q42515,
Q60965006,cinematographic heritage,physical artifact or intangible attribute of a society inherited from past generations related to cinematography,Q11862829,,,,Q210272,
Q2089905,circuit theory,scientific theory describing the behavior of electrical networks/circuits,Q11862829,,Q11406,,Q17737,
Q137263244,circular design,"the planning of products, services, and systems that maximize use and minimize waste to create value across life cycles",Q11862829,,,,Q795082,
Q206276,citation analysis,mathematical and statistical bibliometric method used to explore scientific communication,Q11862829,,,,Q217602,
Q1093434,citizen science,collaborative approach that involves members of the public in scientific research,Q11862829,,,,Q112666376,
