qid,label,in_discipline_taxonomy,in_majors,fast_id,gnd_id,lcsh_id,ddc,aat_id,lcc
Q4915151,biomolecular engineering,no,yes,,,,,,
Q3381576,black-and-white photography,no,yes,,4121634-9,sh99002613,778.62|771,300162056,
Q29585658,book publishing,no,yes,,,,,,
Q814385,bounded rationality,no,yes,,,,,,
Q12015335,branch of engineering,no,yes,,,,,,
Q15078788,broadcasting,no,yes,839187,4050963-1,sh85017004,,300054351,
Q3741966,building science,no,yes,,,,,,
Q4986607,building services engineering,no,yes,,4188027-4,,,,
Q811338,buildings archaeology,no,yes,,4144149-7,sh85017757,,300266711,
Q4830453,business,no,yes,842519,4061963-1,sh85018260,338.7,300025971|300160084,
Q8188423,business administration and management,no,yes,,,,,,
Q5001829,business analytics,no,yes,,,,,,
Q1017569,business development,no,yes,,,,,,
Q24208053,business economics,no,yes,,4507951-1,,330,,
Q623100,business engineering,no,yes,,,,,,
Q126552,business informatics,no,yes,,4112736-5,,,,
Q18564125,business management,no,yes,,,,,,
Q55659958,business management for business manager,no,yes,,,,,,
Q350884,business marketing,no,yes,,,,,,
Q8346141,business science,no,yes,,,,,,
Q5001951,business studies,no,yes,,,,,,
Q107429599,business studies for engineers,no,yes,,,,,,
Q113146197,business systems research,no,yes,,,,,,
Q12874773,byzantine archaeology,no,yes,,,,,,
Q62689,cameralism,no,yes,,4163148-1,,,,
Q2012719,cancer immunotherapy,no,yes,,,sh87002642,,,
Q188462,canon law,no,yes,,4073199-6,sh85019646,262.9,300235953,
Q235007,cardiac surgery,no,yes,,4024641-3,sh85059711,617.412,,
Q3264451,cardiologist,no,yes,,7627836-0|4202582-5,sh85020211,616.120092,,
Q203605,carpentry,no,yes,,,sh85020435,694,300054085,
Q112269680,cartooning,no,yes,,,,,,
Q5051759,catchment hydrology,no,yes,,,,,,
Q1735729,catechesis,no,yes,,4073302-6,,268,,
Q25413142,catedrático,no,yes,,,,,,
Q105279359,cello music performance,no,yes,,,,,,
Q13464614,ceramic art,no,yes,,,,738,300151343|300386879,
Q1062896,character animation,no,yes,,,,,,
Q138297634,chemical and biological engineering,no,yes,,,,,,
Q911772,chemical technology,no,yes,,4078178-1,sh85023029,,,
Q1455871,child care,no,yes,,4278357-4,,,,
Q1029430,child protection,no,yes,,4028935-7,sh85023396,,,
Q108352501,childhood and youth studies,no,yes,,,,,,
Q6067965,childhood pedagogy,no,yes,,,,,,
Q1741945,childhood studies,no,yes,,,,,,
Q8812109,church music,no,yes,,4030736-0,sh85025650,,,
Q16144339,cinema,no,yes,,,,,300054141,
Q590870,cinematography,no,yes,861484,,sh85026014,777,300054227,
Q2089905,circuit theory,no,yes,,4171531-7,,,,
Q206276,citation analysis,no,yes,,,,,,
Q136580777,civil and environmental engineering,no,yes,,,,,,
Q191600,civil and political rights,no,yes,,,sh85026371,323,300068783,JC571
Q13582652,civil engineer,no,yes,,4004812-3|1024171515,sh85026338,,300025070,
Q106372013,civil engineering studies,no,yes,,,,,,
Q222249,civil law,no,yes,,,sh85026344,,300054414,K623
Q106991653,clarinet performance,no,yes,,,,,,
Q15983985,classical archaeologist,no,yes,,,,,,
Q1669589,classical archaeology,no,yes,,4164039-1,,,300054331,
Q9730,classical music,no,yes,,4164043-3,,781.68,,
Q16267607,classical philologist,no,yes,,4199241-6|7626721-0,,,,
Q65007494,classical studies and ancient history,no,yes,,,,,,
Q65096488,clinical education,no,yes,,,,,,
Q499500,clinical pathology,no,yes,,4073931-4,sh85037496,,,
Q155491,clinical pharmacy,no,yes,,4164215-6,,,,
Q63346654,clockmaking,no,yes,,,,,300053600,
Q11626612,clothing studies,no,yes,,,,,,
Q5141229,cognitive phonology,no,yes,,,,,,
Q1333872,combinatorial optimization,no,yes,,,,,,
Q1114490,comics studies,no,yes,,,,,,
Q26643,commerce,no,yes,,,,380,,
Q219186,commercial law,no,yes,,4023249-9,sh85028940,343,,
Q3039727,commercial law in Morocco,no,yes,,,,,,
Q2327751,commercial sciences,no,yes,,,,,,
Q65007508,communication,no,yes,,,,,,
Q16769609,communication arts,no,yes,,,,,,
Q132816556,communication chimique,no,yes,,,,,,
Q333657,communication design,no,yes,,,,,,
Q1078351,communication science,no,yes,,4120588-1,,302.2,,
Q4120586,communications management,no,yes,,,,,,
Q3473024,community health,no,yes,,,,,,
Q878226,comparative linguistics,no,yes,,4187739-1,sh85029301,410,,P143-P143.3
Q834903,comparative literature,no,yes,,4062843-7,sh85077534,809,300054274,
Q1075827,comparative religion,no,yes,1093898,,sh85112599,,,
Q207628,composed musical work,no,yes,,4133320-2,,781.3,300417577,
Q5157307,computational criminology,no,yes,,,,,,
Q362601,computational engineering,no,yes,,,,,,
Q5157316,computational geophysics,no,yes,,,,,,
Q5157299,computational sustainability,no,yes,,,,,,
Q5157344,computational transportation science,no,yes,,,,,,
Q1122625,computational visualistics,no,yes,,7535806-2,,,,
Q68,computer,no,yes,872776,4070083-5,sh85029552,004|621.39|004.1,300024521,
Q2670846,computer algebra,no,yes,,4010449-7,,,,
Q111681249,computer applications,no,yes,,,,,,
Q428691,computer engineering,no,yes,,4196734-3,sh85029495,004|621.39,,
Q15841889,computer engineering,no,yes,,,,,,
Q11492827,computer science and engineering,no,yes,,,,,,
Q82594,computer scientist,no,yes,,4139395-8|4219059-9,sh85029497,004.092,300236481,
Q1461602,computer-supported cooperative work,no,yes,,4288972-8,sh92006326,,,
Q5158531,concert production,no,yes,,,,,,
Q55659895,conflict analysis & resolution,no,yes,,,,,,
Q1194317,conflict resolution,no,yes,,,,,,
Q2515460,constitutional history,no,yes,,7504377-4,sh85031326,,,
Q11206,constitutional law,no,yes,,4062801-2,sh85031329,342,,
Q385378,construction,no,yes,840551,,,624|690,300054608,TH
Q2674423,construction engineering,no,yes,,,,,,
Q811501,construction management,no,yes,,,,,,
Q833495,consumer choice,no,yes,876441,4132976-4,sh85031496,,,
Q186035,contemporary dance,no,yes,,,,,,
Q3137989,contemporary history,no,yes,,,,,,
Q186075,contemporary history,no,yes,,,,,,
Q12778074,control systems,no,yes,,,,,,
Q3674740,coordination chemistry,no,yes,,4133952-6,,,,
Q2609670,corporate law,no,yes,,,sh85032912,,,
Q2474068,cosmetology,no,yes,,,sh85012726,613.488|646.72,,
Q631942,cosmography,no,yes,,,sh85033167,,300054287,
Q17537576,creative work,no,yes,,,,,,
Q586060,creative writing,no,yes,882489,4165550-3,sh85033847,808.02|808.3,,
Q106597211,criminal justice,no,yes,,,,,,
Q117488,criminal justice,no,yes,,4057789-2,sh85034049,345.01,,
Q146491,criminal law,no,yes,,4057795-8,sh85034058,345,300054415,
Q1141276,crisis management,no,yes,,4127374-6,sh85034122,658.4056,,HD49-HD49.6
Q108352437,critical race studies,no,yes,,,,,,
Q42417332,critical university studies,no,yes,,,,,,
Q672832,cryobiology,no,yes,,,,,,
Q3151005,cultural engineering,no,yes,,,,,,
Q858517,cultural history,no,yes,,7503708-7,,,,
Q997515,cultural institutions studies,no,yes,,4309943-9,,,,
Q48785284,cultural management,no,yes,,,,,,
Q157416,curriculum and instruction,no,yes,,,,,,
Q182290,customs agency,no,yes,,4263956-6,sh85034969,382.7,,
Q123637,cybernetics,no,yes,,4033888-5,sh85035046,003.5,300054473,Q300-Q390
Q17233037,cybersecurity,no,yes,,,,,,
Q100326540,cybersecurity engineering,no,yes,,,,,,
Q11639,dance,no,yes,,4059028-8,sh85035659,792.8,300054144,
Q638422,data architecture,no,yes,,,,,,
Q104659521,data engineering,no,yes,,,,,,
Q21572113,data entry and microcomputer applications,no,yes,,,,,,
Q2374463,data science,no,yes,,,,,,
Q389772,data transmission,no,yes,,4011150-7,sh85037972,,,
Q108509507,deaconess studies,no,yes,,,,,,
Q50351536,deep-sea biology,no,yes,,,,,,
Q11657089,defense studies,no,yes,,,,,,
Q26234216,demotics,no,yes,,,,,,
Q489933,dental assistant,no,yes,890382,4706766-4|4673587-2|4067294-3|4270011-5,sh85036862,,,
Q302542,deontic logic,no,yes,,4133538-7,sh85037000,160,,
Q18281409,design culture,no,yes,,,,,,
Q5264373,design research,no,yes,,,,,,
Q41607440,design studies,no,yes,,,,,,
Q5266736,development communication,no,yes,,,,,,
Q120207900,development finance,no,yes,,4454600-2,,,,
Q134293,dharma,no,yes,,4135700-0,,,300264384,
Q119950618,diatomology,no,yes,,,,,,
Q860372,digital art,no,yes,,4010453-9,sh00007354,776,300386810,
Q107392206,digital arts,no,yes,,,,,,
Q336387,digital history,no,yes,,,,,,
Q1055825,digital journalism,no,yes,,,sh2004000803,,,
Q12308624,digital systems and design,no,yes,,,,,,
Q694134,diplôme d'études approfondies,no,yes,,,,,,
Q108409856,dirección audiovisual,no,yes,,,,,,
Q93438884,directing,no,yes,1149278,,sh85134542,,,
Q108586224,directing for film and television,no,yes,,,,,,
Q2137554,direction,no,yes,,4177403-6,sh85099826,,,
Q627208,disability studies,no,yes,,,,,,
Q3153007,distributed artificial intelligence,no,yes,,4281805-9,sh88004324,,,
Q17002247,divinity,no,yes,,,,,,
Q849697,doctorate,no,yes,,4150376-4,,,300312081,
Q1235146,documentary filmmaker,no,yes,,1175958913|1175959111,,,,
Q615498,documentary photography,no,yes,,4142019-6,sh85101277,,300134547,
Q105237946,double bass performance,no,yes,,,,,,
Q64689164,double major,no,yes,,,,,,
Q25372,drama,no,yes,,,sh85039316,792.12,300417554|300054152,
Q21010853,drama fiction,no,yes,,,,,,
Q116380623,dramatic literature,no,yes,,,,,,
Q1255706,dramatic theory,no,yes,,,,,,
Q492537,dramaturgy,no,yes,,4124796-6,sh85039386,792.0233|791.430233,,
Q93184,drawing,no,yes,,4127900-1,sh85039408,741,300033973,
Q18424298,drzewnictwo,no,yes,,,,,,
Q1472055,early childhood education,no,yes,,,,,,
Q1472221,early childhood education,no,yes,900596,,sh87007854,,300054362,
Q5308718,early modern period,no,yes,,7503866-3,,909.08,,
Q116845132,early performance,no,yes,,,,,,
Q106387954,earth science studies,no,yes,,,,,,
Q1577380,ecclesiastical law,no,yes,,4056656-0,sh85040680,262.9,,
Q795082,ecodesign,no,yes,,,,,,
Q55693877,ecoeconomics and business,no,yes,,,,,,
Q5333289,ecology and evolutionary biology,no,yes,,,,,,
Q3475802,economic and social sciences,no,yes,,,,,,
Q5333460,economic entomology,no,yes,,,,,,
Q187097,economic geography,no,yes,,4066446-6,sh85054016,330.9,,
Q582577,economic policy,no,yes,902025,4066493-4,sh85040837|sh99005752,338.9,,HD87-HD87.55
Q806718,economics of banking,no,yes,,4129045-8,sh85011609,332.1,,
Q5333597,economics of scientific knowledge,no,yes,,,,,,
Q11857274,ecu­men­ics,no,yes,,,,,,
Q5341291,educational leadership,no,yes,,,,,,
Q861455,educational management,no,yes,,,,,,
Q59157,educational psychology,no,yes,,4044321-8,sh85041141,,,LB1050.9-LB1091
Q861641,educational sciences,no,yes,,,,,,
Q1068473,educational technology,no,yes,,,,,,
Q8772471,educommunication,no,yes,,,,,,
Q1656208,ego psychology,no,yes,903891,4123407-8,sh85041254,,,
Q28950261,electrical and computer engineering,no,yes,,,,,,
Q2717892,electrical installations,no,yes,,,,,,
Q2474620,electrochemical engineering,no,yes,,,,,,
Q533188,electromechanics,no,yes,,,,,,
Q126095,electronic engineering,no,yes,,,,,300253978,
Q211830,emeritus,no,yes,,4152069-5,,,,
Q5374252,empirical psychology,no,yes,,,,,,
Q1346207,encyclopaedistics,no,yes,,,,,,
Q24963174,energy and environmental engineering,no,yes,,,,,,
Q380170,energy conservation,no,yes,,4014700-9,,333.7916,300073222,
Q108375738,engineering,no,yes,,,,,,
Q2235851,engineering mathematics,no,yes,,,,,,
Q770766,engineering physics,no,yes,,,,,,
Q24962856,engineering studies,no,yes,,,,,,
Q1048431,enterprise architecture,no,yes,,7856257-0,,,,
Q3908516,entrepreneurship,no,yes,,7588126-3,,338.04,,HB615
Q55586156,environmental and natural resources,no,yes,,,,,,
Q16000091,environmental design,no,yes,,,,,300251190,
Q932068,environmental health,no,yes,,,,,,
Q5333239,environmental humanities,no,yes,,,,,,
Q929380,environmental resource management,no,yes,,4201709-9,sh95010683,,,
Q5381367,environmental studies,no,yes,,,,,,
Q883112,enzyme kinetics,no,yes,,,,,,
Q12765408,epidemiologist,no,yes,,1028597347|1130736415,,,,
Q41870,ethnic studies,no,yes,,,,,300197770,
Q2375831,ethnobiology,no,yes,,,,,,
Q2555854,ethnochoreology,no,yes,,,,,,
Q1601482,ethnology of religion,no,yes,,,,,,
Q1371415,ethnopharmacology,no,yes,,,,,,
Q55714018,exercise science and coaching,no,yes,,,,,,
Q3508531,experience design,no,yes,,,,,,
Q18366,experimental physics,no,yes,,4132579-5,,530.078,,
Q7884093,family and consumer science,no,yes,,4023828-3,,,,
Q623006,family economics,no,yes,,4123185-5,sh95007409,,,
Q29583,fashion design,no,yes,,7510814-8,,,300138708,
Q8253,fiction,no,yes,,4192723-0,sh85048050,,300055918,
Q16323527,filigranology,no,yes,,,,,,
Q116845672,film composition,no,yes,,,,,,
Q12765827,film direction,no,yes,,4129888-3,,,,
Q932586,film production,no,yes,,4124971-9,,,300263841,
Q1660187,film studies,no,yes,,4154385-3,,,,
Q28793,film theory,no,yes,,4071216-3,sh2008108033,,,
Q20871691,film- en televisiewetenschappen,no,yes,,,,,,
Q12238348,financial and banking science,no,yes,,,,,,
Q2294553,financial economics,no,yes,,,,332,,
Q4738155,financial management,no,yes,,4139075-1,sh85018286,,,
Q219625,fine art,no,yes,,,,,300054195,
Q106371273,fine arts,no,yes,,,,,,
Q1066582,fine-art photography,no,yes,,,sh85101269,,,
Q484181,fiqh,no,yes,979949,4409409-7,sh85068454,,,
Q107711,firefighter,no,yes,,4154284-8|7521348-5,sh2002006171,363.37023|363.37092,300025862,
Q635139,fishing industry,no,yes,,4017345-8,sh85048666,,,
Q106148879,flute performance,no,yes,,,,,,
Q134452785,folk crafts,no,yes,,,,,,
Q36192,folklore,no,yes,,4063849-2,sh85050104,390|398,300055920,GR1-GR950
Q6631525,food engineering,no,yes,,,,,,
Q104033189,food processing equipment,no,yes,,,,,,
Q1039642,food technology,no,yes,,4034901-9,,664,,
Q3082422,francology,no,yes,,,,,,
Q1004343,fundamental theology,no,yes,,4018877-2,sh85006028,230.01,,
Q1957816,furniture design,no,yes,,,,,300435227,
Q1995140,galaxy formation and evolution,no,yes,,,sh94008658|sh85052765,,,
Q1144718,gas kinetics,no,yes,,4019339-1,sh85053291,533.2,,
Q83437,gemstone,no,yes,,4052949-6,sh85053712,553.8,300201964,
Q1517835,gender history,no,yes,,4547810-7,,,,
Q6163243,gender violence,no,yes,,,,,,
Q12041895,general biology,no,yes,,,,,,
Q10660901,general economics,no,yes,,4078943-3,,,,
Q113361193,general science,no,yes,,,,,,
Q932510,general surgery,no,yes,,,,,,
Q913584,genetic genealogy,no,yes,,,,,,
Q3508604,genology,no,yes,,,,,,
Q96379173,genome informatics,no,yes,,,,,,
Q5533546,genre studies,no,yes,,,,,,
Q86619995,genre theory,no,yes,,,,,,
Q1456948,geobotany,no,yes,,4132141-8,,581.7,,
Q5533986,geodesign,no,yes,,,,,,
Q751404,geodetic astronomy,no,yes,,4139787-3,,,,
Q1265151,geoecology,no,yes,,4137703-5,,,,
Q3537694,geographic information science,no,yes,,,,,,
Q23314441,geography and cartography,no,yes,,,,,,
Q47452440,geography and history,no,yes,,,,,,
Q3123464,geohistory,no,yes,,,,,,
Q918779,geoinformatics,no,yes,1930737,7571300-7,sh2015002292,,,
Q124468378,geoinformation science,no,yes,,,,,,
Q159385,geopolitics,no,yes,,4156741-9,sh85054192,320.12,300255147,JC319
Q57721430,geosciences,no,yes,,,,,,
Q5548545,geospatial engineering,no,yes,,,,,,
Q124471792,geospatial information science,no,yes,,,,,,
Q64811452,geospatial science,no,yes,,,,,,
Q127993,geothermal energy,no,yes,,4020285-9,sh85054271,333.88,300055221,
Q52120,glaciology,no,yes,942986,4205614-7,sh85055077,551.31,,
Q121084857,global security,no,yes,,,,,,
Q1048140,global studies,no,yes,,,,,,
Q7181,globalization,no,yes,,4557997-0,sh99010179,303.4|337,300379578,JZ1317.5-JZ1324
Q87593377,globalization studies,no,yes,,,,,,
Q12096833,goniometry,no,yes,,,,,,
Q1553864,governance,no,yes,,,,,,
Q7188,government,no,yes,,4049012-9,sh00005941,321,300055499|300386741,
Q20665717,government procurement,no,yes,,,sh85056099,,,
Q129254777,government studies,no,yes,,,,,,
Q185925,graphic design,no,yes,,,,760,300054181,
Q1027879,graphics,no,yes,,4021845-4,sh85056474,,,
Q131782974,green biotechnology,no,yes,,,,,,
Q65007799,green chemical science,no,yes,,,,,,
Q107432112,guidance and counseling,no,yes,,,,,,
Q105107179,guitar performance,no,yes,,,,,,
Q1221899,gynaecology,no,yes,949684,4018225-3,sh85058092,618,,
Q234343,hadith,no,yes,950112,1153832267,sh85058192,,,KBP450
Q2522419,hard science,no,yes,,,,,,
Q106163201,harp performance,no,yes,,,,,,
Q106293524,harpsichord performance,no,yes,,,,,,
Q1137608,health administration,no,yes,,,sh85059600,,,
Q103884376,hearing science,no,yes,,,,,,
Q1798773,"heating, ventilation, and air conditioning",no,yes,,4031177-6,,697,,
Q2740627,heliophysics,no,yes,,,,,,
Q5712543,hemorheology,no,yes,,4123326-8,sh88007874,,,
Q861699,herbalism,no,yes,,4774268-9,,636.0895321|615.53|615.321,,
Q9826,high school,no,yes,,4159840-4,,373,300343452,
Q29973037,highway engineer,no,yes,,,,,,
Q1109432,hispanism,no,yes,,,sh85126190,,,
Q201788,historian,no,yes,957686,4025098-2|4333423-4|4155430-9|7538693-8,sh85061091,907.202,300025539,
Q914856,historic preservation,no,yes,957821,4011455-7,sh92002913,,300054166,
Q12766879,historical astronomy,no,yes,,,,,,
Q47491145,historical phonology,no,yes,,,sh2002006230,,,
Q109311746,historical sciences,no,yes,,,,,,
Q50675,historiography,no,yes,958221,4020531-9,sh85061211|sh00006046,907.2,300055926,D13-D15
Q73672877,history & literature,no,yes,,,,,,
Q5774812,history and philosophy of science,no,yes,,,,,,
Q1638627,history of Brittany,no,yes,,,,,,
Q235329,history of Christianity,no,yes,,4030720-7,,,,BR140-BR1510
Q831198,history of East Asia,no,yes,,,,,,
Q1641744,history of Eastern Europe,no,yes,,,,,,
Q28926,history of Iran,no,yes,,,sh85067895,955,,
Q642379,history of Islam,no,yes,,,sh87000556,,,
Q556079,history of Palestine,no,yes,,,sh85097166,900|933,,
Q50641,history of art,no,yes,,7503709-9,,,,
Q2495041,history of botany,no,yes,,,,,,
Q9292847,history of cinema,no,yes,,,,,,
Q2501507,history of costume,no,yes,,,,,,
Q107478,history of film,no,yes,,,sh87002438,,,
Q570018,history of ideas,no,yes,,4138031-9,sh85067166,001.09,,
Q1478235,history of linguistics,no,yes,,,,,,
Q6497044,history of literature,no,yes,,7503748-8,sh85077519,809,300174173,
Q27654,history of philosophy,no,yes,,,,109,,
Q3137572,history of science,no,yes,,,,,,
Q2183341,history of science and technology,no,yes,,,,,,
Q1444687,history of statistics,no,yes,,,,,,
Q48258816,history of textiles,no,yes,,,,,,
Q51615,history of the Middle East,no,yes,,,sh85090506,956,,
Q15873402,history of the book,no,yes,,,,,,
Q425694,home economics,no,yes,,4159290-6,sh85061673,640,300054406,
Q33487,homophobia,no,yes,959727,,sh88006552,306.766,,
Q48803,horticulture,no,yes,,4019294-5,sh85062204,635,300054512,
Q15816013,hospitality management studies,no,yes,,,,,,
Q64809639,hotel management,no,yes,,,sh85062482,,,
Q177626,human migration,no,yes,,4120730-0,,325,300263931,
Q2602563,human nutrition,no,yes,,4015332-0,,,,
Q1056396,human resource management,no,yes,,4076000-5,sh85100143|sh00006939,023,,
Q118189177,human resources development,no,yes,,,,,,
Q8458,human rights,no,yes,,4074725-6,sh85026379,323,300404862,K3236-K3268.5
Q108352534,human rights and social justice,no,yes,,,,,,
Q17027869,human services,no,yes,,,,,,
Q12812953,human-centered computing,no,yes,,,,,,
Q207434,human–computer interaction,no,yes,963494,4125909-9,sh88003229,,,QA76.9.H85
Q16247567,humor studies,no,yes,,,,,,
Q19724861,hutníctvo,no,yes,,,,,,
Q64687910,iTaukei Language and Culture,no,yes,,,,,,
Q178659,illustration,no,yes,,4123412-1,sh99001255,741.64,300015578,
Q6024668,indigenous archaeology,no,yes,,,,,,
Q106136048,indigenous journalism,no,yes,,,,,,
Q108352346,indigenous studies,no,yes,,,,,,
Q10535277,inductive logic,no,yes,,4161594-3,,004.015113|160|161|511.3,,
Q2045692,industrial and organizational psychology,no,yes,,4135097-2,sh85108476,,,
Q742990,industrial biotechnology,no,yes,,,,,,
Q6745636,industrial chemistry,no,yes,,,,660,,
Q243606,industrial design,no,yes,,4072788-9,sh85037199,745.2,300054183,
Q64802419,industrial energy processes and sustainability,no,yes,,,,,,
Q2267418,industrial engineer,no,yes,,,,,300025082,
Q4489420,industrial engineering,no,yes,,4026775-1,sh85065864,670,300054494,
Q6314146,industrial engineering and management,no,yes,,,,,,
Q932071,industrial relations,no,yes,,,sh85065928,331,300054408,
Q4027615,informatics,no,yes,,,,,,
Q10853833,informatics,no,yes,,,,,,
Q67167509,informatics duta wacana christian university,no,yes,,,,,,
Q85906285,"informatics engineering, faculty of engineering, lampung university",no,yes,,,,,,
Q55693903,informatics: computer multimedia,no,yes,,,,,,
Q64348012,information and communication engineering,no,yes,,,,,,
Q1254373,information engineering,no,yes,,4205982-3,,,,
Q579488,information management,no,yes,,4114012-6,sh85066147,,300054624,ZA3085.5
Q55713999,information management,no,yes,,,,,,
Q6031190,information school,no,yes,,,,,,
Q67168022,information system duta wacana christian university,no,yes,,,,,,
Q64812807,information systems studies,no,yes,,,,,,
Q11661,information technology,no,yes,,4026926-7,,,300128218,
Q134656028,information technology & computer applications,no,yes,,,,,,
Q6030887,information technology architecture,no,yes,,,,,,
Q1473265,information technology management,no,yes,,,sh2008006980,,,
Q55714001,innovation and entrepreneurship,no,yes,,,,,,
Q794803,innovation management,no,yes,,4161817-8,sh2008112644,,,
Q112130247,insurance,no,yes,,,,,,
Q105898109,integrative biology,no,yes,,,,,,
Q1195695,intellectual history,no,yes,,,,,300054397,
Q1061656,interaction design,no,yes,,,,,,
Q1205196,intercultural communication,no,yes,,4033569-0,sh85067222,303.482,,HM1211
Q104863444,interdisciplinary arts,no,yes,,,,,,
Q105310982,interdisciplinary humanities,no,yes,,,,,,
Q69975710,interdisciplinary studies,no,yes,,,,,,
Q179232,interior design,no,yes,,,,747,300054184,
Q856574,interlinguistics,no,yes,,,,,,
Q3681519,international business,no,yes,,,,,,
Q6054533,international communication,no,yes,,,sh85029042,,,
Q108348669,international diplomacy,no,yes,,,,,,
Q3247219,international health,no,yes,,,,,,
Q130427619,international health,no,yes,,,,,,
Q1147615,international human rights law,no,yes,,,,,,
Q4394526,international law,no,yes,,4063693-8,sh85067417,341,300054418,KZ
Q1762091,international politics,no,yes,,4072885-7,,,,
Q166542,international relations,no,yes,977053,,sh85067435,327,300054441,
Q3312693,international security,no,yes,,,sh85119471,327.116,,JZ5586-JZ6009
Q5654877,international studies,no,yes,,,,,,
Q55584926,international studies in education,no,yes,,,,,,
Q178803,international trade,no,yes,977128,4003832-4,sh87004890,382,,
Q12746906,internet services technology,no,yes,,,,,,
Q210439,interpretation,no,yes,,4150394-6,,418.02,,
Q6060491,invertebrate paleontology,no,yes,,,,,,
Q8341,jazz,no,yes,,4028532-7,sh85069833,781.65,300266367,
Q18822510,jazz singing,no,yes,,,n2004079564,,,
Q326358,joiner,no,yes,983848,4125471-5|4288284-9,sh85070643,684.104023|684.104092,300025378|300025376|300025370,
Q11030,journalism,no,yes,984032,4028779-8,sh85070736,070|070.4023,300054354,
Q1709909,journalism studies,no,yes,,4337135-8,,,,
Q1930187,journalist,no,yes,984188,4028781-6|4028786-5,sh85070788,070.4023|070.92|070.4082,300025501,
Q471855,jurisdiction,no,yes,,,sh85071077,,,
Q185351,jurist,no,yes,,4029050-5|4130076-2,,340.092,300236907,
Q115160929,keyboard instrument performance,no,yes,,,,,,
Q1540472,knowledge engineering,no,yes,,,,,,
Q59029,labor history,no,yes,,,,,,
Q608190,labor relations,no,yes,,,,,,
Q629350,labor studies,no,yes,,4002808-2,,,,
Q47844,landscape architecture,no,yes,991814,7700528-4,sh85074398,712,300054157,
Q738011,landscape ecology,no,yes,,4034352-2,sh90002545,577|333.72,,
Q246107,landscape planning,no,yes,,4034354-6,,,,
Q315,language,no,yes,,4056449-6,sh85074518,400,300055193,
Q2313213,language education,no,yes,,4056505-1,,,,
Q1976109,language technology,no,yes,,,,,,
Q6495391,late modern period,no,yes,,,,909.8,,
Q2325210,law of state (as polity),no,yes,,,,,,
Q40348,lawyer,no,yes,994346,4048755-6|4177191-6,sh85075351|sh00006383,340.092,300025627,
Q484275,leadership,no,yes,,4018776-7,sh85075480,658.4,,
Q55070421,legal metrology,no,yes,,,,,,
Q4180175,legal practice,no,yes,,,,,,
Q382995,legal science,no,yes,,,,,,
Q178433,lexicology,no,yes,,4114409-0,sh85076359,413,,
Q284290,lexicostatistics,no,yes,,,,,,
Q189329,liberal arts education,no,yes,,4143124-8,,,,LC1001-LC1024
Q85884626,liberal studies,no,yes,,,,,,
Q13420675,library and information science,no,yes,,,,,,Z664.2-Z718.85
Q856600,library history,no,yes,,4306765-7,,,,
Q691532,licentiate degree in law,no,yes,,,,,,
Q1972954,linguistic taxonomy,no,yes,,,,,,
Q6556376,lipidomics,no,yes,,,,,,
Q6647565,literae humaniores,no,yes,,,,,,
Q58854,literary criticism,no,yes,883735,4036020-9,sh85034149,800,300174160,PN80-PN99
Q64800615,literature and language,no,yes,,,,,,
Q55586009,"literature, culture and media",no,yes,,,,,,
Q172331,liturgy,no,yes,,4036050-7,sh85077734,203.8,300055983,BV169-BV199
Q105858118,"logic, computation and methodology",no,yes,,,,,,
Q177777,logistics,no,yes,,4036210-3,sh85078128,,,
Q209928,madhhab,no,yes,,,,,,
Q2549249,magnetohydrodynamics,no,yes,,4130803-7,sh85079784,538.6,,
Q899279,management control system,no,yes,,4070102-5,,,,
Q2414942,management science,no,yes,1007306,,sh85080363,658,,
Q22811962,management studies,no,yes,,,,,,
Q11049265,manufacturing engineering,no,yes,,1072438291,,,,
Q882463,marine biotechnology,no,yes,,,,,,
Q50840417,marital compatibility,no,yes,,,,,,
Q39809,marketing,no,yes,,4037589-4,sh85081333,658.8,300054673,
Q1143466,marketing management,no,yes,,,sh85081339,,,
Q853710,mass communication,no,yes,,4037875-5,,,,
Q6005485,mass communication research,no,yes,,,,,,
Q11033,mass media,no,yes,1011219,4037877-9,sh85081863,302.23,300055812,
Q183816,master's degree,no,yes,,4706762-7,,,300312342,
Q2143054,material culture,no,yes,,4051157-1,,,300054239|300263553,
Q1710723,materials engineering,no,yes,,,,,,
Q55659941,materials science and nanoengineering,no,yes,,,,,,
Q751611,mathematical biology,no,yes,,,sh85014235,570.151,,
Q135427453,mathematical engineering,no,yes,,,,,,
Q745328,mathematical statistics,no,yes,,,,,,
Q18420401,"mathematical, physical and natural sciences",no,yes,,,,,,
Q3299046,mathématiques-informatique,no,yes,,,,,,
Q15824073,means of communication,no,yes,,4169187-8,,,,
Q1906857,mechanical engineer,no,yes,,4168997-5|7627826-8,,,,
Q2358766,mechanical engineering studies,no,yes,,,,,,
Q118744998,media art,no,yes,,,,,,
Q96583169,media culture studies,no,yes,,,,,,
Q1916458,media economy,no,yes,,,,,,
Q50636,media history,no,yes,,4114544-6,,,,
Q1212747,media informatics,no,yes,,4875411-0,,,,
Q1507246,media literacy,no,yes,,4680767-6,sh96010160,,,
Q1916399,media management,no,yes,,,,,,
Q1421211,media psychology,no,yes,,,,,,
Q165650,media studies,no,yes,,4169194-5,,,,
Q1916441,media technology,no,yes,,,,,,
