qid,P214,P213,P244,P2163,P227,P268,P349,P648,P1711,P245,P4212,P9106,P11252,P7041,P535,P1149
Q129358872,,,,,,,,,177165,,,,,,,
Q129359298,,,,,,,,,176889,,,,,,,
Q129359616,,,,,,,,,177186,,,,,,,
Q129419600,,,,,,,,,177225,,,,,,,
Q129420034,,,,,,,,,176741,,,,,,,
Q129435760,,,,,,,,,177106,,,,,,,
Q129448325,,,,,,,,,177223,,,,,,,
Q129458834,,,,,,,,,94506,,,,,,,
Q129459901,,,,,,,,,177593,,,,,,,
Q15830016,52052058,0000000055267352,n91031512,,,,,,,,,,,,,
Q16731401,83704245,0000000057845638,,,,,,,,,,,,,,
Q16733767,100209181,0000000110317296,,,14274364X,,,OL2124088A,,,,,,,,
Q16735336,83956116,0000000056740666,,,1166462374,,,,,,,,,,,
Q16735344,41682905,0000000055661288,nr88005778,,106338592X,,,,,,,,,,,
Q16735345,83688357,,,,,,,,,,,,,,,
Q16744058,45325541,0000000120249653,n2018052745,,1020470550,106053336,,,,,,,,,,
Q15830009,83675226,,,,,,,,,,,,,,,
Q15829985,83726103,0000000056334270,,,,,,,,,,,,,,
Q15829995,83867157,0000000056604138,,,,,,,,,,,,,,
Q15830006,16800117,0000000055641738,no94002122,,,,,,,,,,,,,
Q15830008,83667140,0000000057010446,,,,,,,,,,,,,,
Q15829915,306138674,0000000106780085,,,,,,,,,,,,,,
Q15829927,83930681,0000000056133436,,,117286532,,,,,,,,,,,
Q15829946,83818417,0000000055912403,,,1020846658,,,,,,,,,,,
Q15829955,306139006,,,,,,,,,,,,,,,
Q15829963,83917045,0000000057920765,,,,,,,,,,,,,,
Q15829971,83815868,0000000058628184,,,,,,,,,,,,,,
Q15829978,61036694,0000000081401316,nb98029331,415487,1038040868,,,OL1993107A,,,,,,,,
Q15830021,83705040,0000000118717307,,,144006219,,,,,,,,,,,
Q15830025,83726119,,,,,,,,,,,,,,,
Q15830029,83741946,0000000056805183,,,,,,,,,,,,,,
Q15830030,83745371,0000000057215935,no96027600,,1076245269,,,,,,,,,,,
Q15830032,83754632,,,,,,,,,,,,,,,
Q15830043,83787484,,,,,,,,,,,,,,,
Q15830053,53109341,0000000055620275,n85029194,,,,,,,,,,,,,
Q15830057,83857648,0000000058345248,,,1250043115,,,,,,,,,,,
Q15830062,83897304,,,,,,,,,,,,,,,
Q15830071,306139213,0000000057360390,n2017070520,,1206896701,,,,,,,,,,,
Q15830075,83871536,000000005607179X,,,,,,,,,,,,,,
Q15830078,57532501,0000000109049490,no2001029786,461755,123902568,11166338p,,,,,,,,,,
Q15830081,83920721,,,,,,,,,,,,,,,
Q15830084,83931740,0000000057086635,,,,,,,,,,,,,,
Q15830108,40141885,0000000055345752,,,116901926,,,,,,,,,,,
Q15830109,57612405,0000000055420695,,,,,,,,,,,,,,
Q15830110,57634005,0000000014474937,,,,,,,,,,,,,,
Q15830114,83919665,0000000061447157,,,,,,,,,,,,,,
Q15830115,122143341,0000000117023231,,,12921762X,,,,,,,,,,,
Q15830118,24511038,0000000055648366,nr97044912,409907,,,,OL5430497A,,,,,,,,
Q15830136,40491268,0000000061282292,,,130832952,10217219c,,,,,,,,,,
Q15830138,65479230,0000000063674214,n86003653,,1081690429,,,,,,,,,,,
Q15830143,83752957,0000000120295983,,,1012672034,,,,,,,,,,,
Q15830152,83816996,,,,,,,,,,,,,,,
Q15830163,83905076,,,,,,,,,,,,,,,
Q15830177,45666481,0000000055617359,n82260191,,,,,,,,,,,,,
Q15830183,83957649,0000000109933796,,,1084144441,,,OL5901325A,,,,,,,,
Q15830196,83918822,,,,,,,,,,,,,,,
Q15830200,312925427,,,,,,,,,,,,,,,
Q15830201,83937609,0000000058488927,,,,,,,,,,,,,,
Q15830213,83671685,0000000058128665,,,,,,,,,,,,,,
Q15830233,83777595,0000000121416089,,,1013793269,,,,,,,,,,,
Q15830251,83870471,0000000058629371,,,,,,,,,,,,,,
Q15830260,83864479,,,,,,,,,,,,,,,
Q15830263,83878764,0000000057848804,,,1027719716,,,,,,,,,,,
Q15830266,83898460,,,,,,,,,,,,,,,
Q15830274,236772066,0000000385494750,,,,,,,,,,,,,,
Q15830278,83687515,,,,,,,,,,,,,,,
Q15830285,64430707,0000000055289535,n97874665,,,,,,,,,,,,,
Q15830293,83685695,,,,,,,,,,,,,,,
Q15830294,83687438,0000000056196728,,,,,,,,,,,,,,
Q15830311,83670282,0000000058272931,,,,,,,,,,,,,,
Q15830324,83694847,0000000055803944,,,,,,,,,,,,,,
Q15830342,83812025,,,,,,,,,,,,,,,
Q15830344,20863513,000000005546476X,,,133075257,,,,,,,,,,,
Q15830348,70206970,000000006324592X,n79077038,38998,127884289,,,,,,,,,,,
Q15830372,83676113,0000000110302342,,,1081270160,,,,,,,,,,,
Q15830374,83694028,0000000055911021,,,1019851961,,,OL2271198A,,,,,,,,
Q15830375,83701196,,,,,,,,,,,,,,,
Q15830399,83691613,0000000056196859,,,,,,,,,,,,,,
Q15831246,83932934,0000000058488812,,,1180073487,,,,,,,,,,,
Q15831247,30570409,0000000061361871,no2016080804,,127819339,,,OL6639812A,,,,,,,,
Q15831251,61356937,0000000110278290,no2008086573,1994362,1036574318,,,OL5908747A,,,,,,,,
Q15831258,83894686,0000000056337172,,,1032964421,,,,,,,,,,,
Q15831279,48129312,0000000108975994,n82260190,,,,,,,,,,,,,
Q15831295,83843202,0000000110302385,,,117068144,,,,,,,,,,,
Q15831307,83898487,0000000057778244,,,1034798731,,,,,,,,,,,
Q15831319,83831335,0000000057287963,,,,,,,,,,,,,,
Q15831337,83855618,,,,,,,,,,,,,,,
Q15831356,83787216,,,,,,,,,,,,,,,
Q15831372,83896333,0000000057501552,no2017113926,,,,,,,,,,,,,
Q15831375,83906792,0000000057639498,,,1035824914,,,,,,,,,,,
Q15831376,83914056,,,,,,,,,,,,,,,
Q15831377,83941727,,,,,,,,,,,,,,,
Q15831383,83918036,000000005620074X,,,,,,,,,,,,,,
Q15831384,83920525,0000000057015503,,,,,,,,,,,,,,
Q15831400,31488215,0000000121265065,nb97082050,,1013584929,,,,,,,,,,,
Q15960610,83906553,,,,,,,,,,,,,,,
Q16115762,89563541,0000000083992746,n2018044782,,1025697081,104612942,,OL2125364A,,,,,,,,
Q16548645,77155832936033490000,,,,118641703X,,,,174768,,,,,,,
Q1541,370158790731438852347,0000000139322910,n79032166,32861,118520814,11885977m,00436023,OL28743A,57619,500242756,pcrtM3pdttUYMa,7137,187,364,,PA6278-PA6370
Q153832,32011324,0000000108846922,n80028141,51265,118524305,120304841,01208695,OL151082A,,,,,,,14071697,
Q156778,3407155345596206430000,0000000079959986,n91011284,1816430,119241811,146418210,,,157695,,pcrtt1Is6NG7gd,1622,,,,
Q159227,59215890,0000000110648044,n86829732,176932,122305116,12957289v,,OL795100A,,,,,,,29579797,
Q161368,34469656,0000000110528480,n81013308,67405,118557548,120236247,01235777,OL777389A,,,,,,,187126101,
Q161775,196955513,0000000357335517,n82233888,1849192,118617826,12251678n,,,,,pcrtz1VnhxbRa6,,,,,
Q164212,5639158070723908780001,,,,1203817002,,,,,,,,,,,
Q165170,43147663085660552198,,nb2016018029,,118531409,,,,58139,,pcrtxWo04sM6MJ,,,,,
Q168691,95301792,0000000107747711,n80056898,54635,119172011,12788244d,,OL2124373A,116997,,,,,,7031916,
Q1531698,101389313,000000010267447X,n2009064566,1791460,118602616,,,,,,,5613,,,,
Q1538734,296816032,,,,1031540156,,,,,,,,,,,
Q1539267,47515423,0000000081265203,n87902964,,116518138,105672862,,OL2526737A,,,,,,,,
Q1555519,2541366,0000000108629100,n86023571,,117460192,12322107j,,OL1995217A,,,,,,,,
Q1556107,72512496,0000000115368543,no95009286,,143627767,,,OL1937235A,,,,,,,,
Q1599008,13083067,0000000083582392,no2001068590,,117357383,,,,,,,,,,,
Q1638585,101036993,,nr95031188,,100597211,,,,,,,6516,5081,1422,,
Q1680048,,,,,,,,,,,,1863,,,,
Q15290723,72392611,0000000116703702,nr91043554,,1037773055,,,,,,,,,,,
Q15358993,83964434,0000000109933884,no2016084975,,13803267X,,,,,,,,,,,
Q15457700,,,,,,,,,174504,,,,,,,
Q15651962,67939141,0000000109116104,n86003652,,1052564941,102566506,,OL1030132A,,,,,,,,
Q15656565,83718680,0000000057636553,,,,,,,,,,,,,,
Q15701306,83937548,,,,,,,,,,,,,,,
Q15710269,1461155832939233490003,,,,1186421541,,,,175232,,,,,,,
Q15711147,2207155919073539730003,,,,118700328X,,,,177557,,,,,,,
Q15712137,5163156317463802350001,,,,,,,,,,,,,,,
Q15712632,83855349,0000000056336436,nb2018003268,,1025683234,,,,,,,,,,,
Q15712667,83892747,0000000058417512,,,1029630992,170540302,,,,,,,,,,
Q15829864,83734631,,,,116961287,,,,,,,,,,,
Q15829880,83875450,0000000057152364,,,,,,,,,,,,,,
Q15829886,83758567,,,,,,,,,,,,,,,
Q17395655,83894617,,,,,,,,,,,,,,,
Q17442002,83914664,0000000056405163,,,,,,,,,,,,,,
Q17516547,83858470,0000000056943316,,,1075460085,,,,,,,,,,,
Q17516556,83863975,0000000057288536,,,,,,,,,,,,,,
Q17516565,23588341,000000005560972X,n85254530,,1157673791,,,,,,,,,,,
Q20005550,71281788,0000000049994115,nr95023938,,,,,,,,,,4969,,,
Q17186993,305219409,0000000418486184,,,,,,,,,,,,,,
Q17297637,83691856,,,,,,,,,,,,,,,
Q17546877,10624004,0000000108697349,n88001861,,1125407395,,,OL2903924A,,,,,,,,
Q17573825,83794149,0000000122131405,no2008175443,,1017831858,,,,,,,,,,,
Q18010713,83750345,0000000058698705,,,,,,,,,,,,,,
Q18042711,83727610,0000000057846067,,,1226120709,,,,,,,,,,,
Q18104831,83807948,0000000056871922,no2012157880,,,,,,,,,,,,,
Q18104843,83707410,0000000057916782,,,,,,,,,,,,,,
Q18201571,83735678,,,,,,,,,,,,,,,
Q18327103,10627215,0000000109540650,n99016739,,11758505X,,,OL6553194A,,,,,,,,
Q18327876,43016503,0000000077364612,no2010035151,,133065936,,,,,,,,,,,
Q18340533,83708234,,,,,,,,,,,,,,,
Q18340534,83722456,,,,,,,,,,,,,,,
Q18340536,85524733,,,,,,,,,,,,,,,
Q18341652,83898635,0000000058061536,,,1034798782,,,,,,,,,,,
Q18434263,,,,,,,,,174646,,,,,,,
Q18438074,70380041,0000000078212215,n85263559,201632,1055281088,,,,,,,,,,,
Q18507592,96926159,0000000070165776,,,,,,,,,,,,,,
Q18564510,83958459,,,,,,,,,,,,,,,
Q18882246,83889779,,,,,,,,,,,,,,,
Q18915410,7145376322783720242,0000000058056921,n2019068723,,,,,,,,,,,,,
Q18915412,83827751,0000000055912534,,,,,,,,,,,,,,
Q19193477,12387329,0000000110212435,no2004016083,505262,117226548,12370848m,,OL1792159A,,,,,,,,
Q19284526,260977301,,,,1024676870,,,,,,,,,,,
Q19592108,,,,,,,,,177757,,,,,,,
Q19635464,3723155708697722580008,,,,1185090010,,,,175410,,,,,,,
Q20002198,9055155919351639730002,,,,1186999446,,,,176241,,,,,,,
Q20002235,8077155708726422580007,,,,1185190554,,,,175698,,,,,,,
Q20002340,4087155832965633490001,,,,1186421630,,,,177760,,,,,,,
Q20002674,,,,,,,,,177541,,,,,,,
Q20003125,2935155832963233490004,,,,1186422467,,,,177310,,,,,,,
Q20005181,41730791,0000000053123136,nr95022623,,,,,,,,,,,,,
Q171083,45108113,0000000099890031,no2002027617,1812603,119285045,14577807b,,,,,pcrtjbQxQUsAuH,1838,,,,
Q171834,73876435,0000000110294469,n78096123,29247,118584219,120721866,00621167,OL282929A,,,,,,,20912937,
Q172048,8886163877697746060009,0000000121371407,n79066715,37785,118621335,118876898,00458485,OL160695A,155906,,pcrtAvRQ8rylsS,6284,906,1362,87163099,
Q172248,,0000000121362762,n80056883,1810097,118516361,125362018,,OL4701669A,57296,,pcrtOeBmrQwWAl,3440,4885,290,,
Q175042,154167803140717771693,0000000081422360,nr91016345,1838104,118786229,12406787d,,OL1213445A,,,,4424,3238,1944,,
Q175121,8111163464591005680009,000000011932453X,no2013102952,196292,118670476,12441809h,,,142657,,pcrtPMQc8bTvMr,3694,,,,
Q175285,54185097,0000000110630944,n84140550,143174,118645579,12145962p,,OL270485A,,,,,,,221736220,
Q176122,39151776775018011114,0000000063153902,nr95022474,1804902,102380325,,,,,,,546,2948,,,
Q177975,24151776766318010761,0000000105351908,n50068306,1832963,118577956,125455012,,,147413,500355378,pcrt0kYeEidSUR,3967,,,,
Q180081,99921050,0000000121450009,n50047791,1811809,118519697,11885944n,,OL1090108A,22243,,pcrti515SEtSsH,5252,4908,335,,
Q180281,34347546,000000005296729X,nr95024509,1811808,102384274,,,,,,,,4909,,,
Q182190,,,,,,,,,,,,2683,,,,
Q182243,98270151,000000011578896X,nr95030634,1955393,100666906,12515513f,,OL2227700A,,,,6608,5087,1439,,
Q185519,,,,,,,,,,,,5478,,,,
Q187149,41859462,0000000110255101,n79038457,1716940,119442922,12053378z,,,,,,,,,7030039,
Q193506,5870150032999711180008,000000006301059X,n82155077,1811810,118519700,120217570,,OL4471678A,57598,,pcrt01yHjQVDyD,5253,4910,,,
Q1729162,13087939,0000000120857878,nb99173533,,1012937569,,,OL2340228A,,,,,,,,
Q1733666,8139092,0000000108680256,nr98022845,,116420081,10644970n,,OL4956869A,,,,,,,,
Q1782516,24666772,0000000110228007,no92013402,305075,118772805,12299083b,,OL1945880A,,,,,,,179623717,
Q1782723,1290152636062220050108,0000000109509442,n85264167,202105,131482394,,,OL735216A,,,,,,,,
Q1798142,64769607,0000000121368961,,,116896116,,,,,,,,,,,
Q1839914,,,,,,,,,,,,3762,,,,
Q1872296,,,,,,,,,,,,3954,,,,
Q1873556,,,,,,,,,,,,1705,,,,
Q1873583,5161028686023740517,,,,,,,,,,,,,,,
Q1873595,,,,,,,,,,,,3399,,,,
Q1873643,,,,,,,,,177845,,,6056,,,,
Q1891525,,,,,,,,,,,,6690,,,,
Q2116505,,,,,,,,,174696,,,,,,,
Q2051731,,,,,,,,,,,,4572,,,,
Q2038474,64747275,0000000122810176,n91007051,280708,116020539,10235773g,,OL6738684A,,,,,,,,
Q2039945,72174341,0000000061388687,,,117554685,,,,,,,,,,,
Q21555686,,,,,,,,,177191,,,,,,,
Q23766020,7652147270389835700006,,,,1242486402,,,,,,,,,,,
Q25338418,,,,,,,,,,,,926,,,,
Q25932529,74596743,000000008266058X,no2006128113,,11618485X,,,OL2517793A,,,,,,,,
Q26997543,79452669,0000000117721937,no99026080,,121484459,,00515300,,,,,,,,,
Q2123334,2361719,000000005435733X,nr95038408,,102408793,,,,,,,107,5085,23,,
Q2123402,4821001,0000000054425283,nr95026833,,1185776532,,,,177524,,,,,,,
Q2236673,9882155708729922580008,,,,1185085432,,,,60735,,,,,,,
Q2407537,88656246,0000000062996182,no2012116474,,116038705,153549496,,OL5373577A,,,,,,,,
Q2472899,22528140,0000000050582716,nr95026787,1834321,10239900X,,,,,,,4080,4996,917,,
Q2507070,,,,,,,,,,,,1039,,,,
Q2566388,,,,,,,,,78399,,,,,,,
Q2603991,26486415,0000000040519801,n2006011202,1814073,,,,,,,,,,,,
Q2655602,1532155919219939730009,,,,1186998636,,,,176215,,,,,,,
Q2657157,12693318,,,,102378584,,,,,,,250,,,,
Q2701125,159929461,,,,142685119,,,,,,,,,,,
Q20005583,,,,,,,,,165498,,,,,,,
Q20101505,6763155708723822580002,,,,1185227369,,,,177283,,,,,,,
Q20101568,6125155708722622580004,,,,1185089314,,,,177756,,,,,,,
Q20101573,9188155919134039730007,,,,1186997567,,,,176873,,,,,,,
Q2186,6504160667672903560000,0000000077560146,n83206699,120472,118749617,,,,60209,,pcrtK36mPtgoKQ,,,,,
Q2253,9830149068474565730002,0000000436552990,n50005015,1846469,118612336,12651580m,,OL4808558A,78244,500354654,pcrtHJ8yrakWu8,1867,4693,1255,,
Q2259,316751293,0000000453082265,no97056383,398014,118714058,13546169z,,,,,,,,,,
Q2307,9342167807450818130008,0000000081128946,nr95027382,1846468,118612344,,,,45691,500354934,pcrtr8KOhokiVA,1866,5056,1712,,
Q2494,240954869,0000000121458385,n79106175,1427451,118598546,11921205s,01054289,OL2678311A,170404,,,,,,247918631,
Q2604,63987052,0000000083374067,n79046190,34590,118594753,11887285s,00542984,OL129088A,83753,500356468,,,,,8420,
Q23873,308698722,0000000434336979,n79018752,31381,118557920,118866322,00444720,OL24887A,83754,500356830,,,,,2380,
Q25138,13644315,0000000108715762,n81145779,83892,1024637786,12144015f,,OL976433A,,,,,,,,
Q26925,60516589,0000000082449936,n85138635,190087,118711601,,,,138108,,,,,,,
Q201102,43312394,0000000091929544,n86002525,177911,102382913,,,,,,,,5891,259,,
Q202209,59149166,0000000081380228,n79079772,39421,119295539,123009144,,,,,,,,,,
Q206119,378158790728538852192,0000000121452047,n79060808,36731,118626183,119277168,,OL88514A,100228,,pcrtmPlmaALVeg,6699,953,1455,,
Q207370,83159518069732770962,,nr2007003009,1912382,118746200,,,,88126,,,1419,7765,,,
Q208100,75895067,0000000042236231,no94038228,346951,119442175,,,,,,,,,,,
Q211789,15562412,0000000078210324,nb2007020856,1849188,118617753,,,,140818,,,,,,,
Q212109,5103150325585010090009,0000000080232354,n50037049,12630,118541161,,,,143443,,pcrtSH9IRsWXq3,,,,,
Q213539,8180179,0000000108680774,n50045912,15773,118600877,12170561n,00525548,OL18637A,,,,,,,,
Q214765,292648339,000000002615560X,n87940674,205952,118767321,169389713,,,140869,,pcrtXxWQqsww1f,5476,,,,
Q220978,2987155566457813380003,,,,1183433352,,,,175439,,,,,,,
Q223440,293782561,0000000448915955,n83206586,120450,1032033371,,,,74052,,,,,,,
Q229483,31016078,0000000078625140,n86065927,1838852,121421287,13511294m,,,,,pcrtrM8XB3BsEL,,,,,
Q231696,,,,,,,,,,,,925,,,,
Q232229,393155769081827880007,,,,1185652779,,,,,,,,,,,
Q232725,,,,,,,,,,,,982,,,,
Q233077,12211765,0000000099253163,,,118703595,,,,,,,2741,,,,
Q233444,,,,,,,,,,,,5754,,,,
Q234533,26957386,0000000103952558,nr95039337,364279,102385661,,,,159694,,,,1297,405,,
Q234825,,,,,,,,,76747,,,5199,,,,
Q235087,2118171732601209080007,,,,1330445384,,,,,,,,,,,
Q235627,40305158,,,,124166342,,,,,,,1294,,,,
Q235863,37715406,0000000392125849,,,118927574,11944730h,,,,,pcrtJ15NKULmJ6,,,,3239,BR1720.G37
Q242819,1835155345592206430001,000000011762669X,n90628575,1831761,118780697,12486076g,,,152812,,pcrt0P8BrHuKcr,,4561,1989,,
Q251964,4095155708698622580001,,,,1185215646,,,,177488,,,3952,,,,
Q252527,56719280,0000000081357431,n85822291,161148,116915633,125228879,00522636,OL1636011A,,,,,,,218103955,
Q255465,,,,,,,,,,,,4814,,,,
Q255870,,,,,,,,,,,,3367,,,,
Q256316,266214219,0000000382717525,n2003046249,1582676,124647073,14507942p,,,,,,6594,,,,
Q261441,24990839,000000002379190X,n81152221,84702,11888848X,,,,,,,,,,,
Q267534,,,,,,,,,,,,6673,,,,
Q270384,,,,,,,,,,,,1830,,,,
Q273228,108174450,0000000114547304,n50011105,3290,121048624,120391026,00439197,OL2207367A,,,,,,,158411377,
Q274545,31151776775918011242,0000000010636572,no2013102370,1957338,118531697,,,,69287,,,2617,,,,
Q319547,9925621,000000011037790X,n78017120,22928,119404796,123596929,,OL192215A,,,,,,,,
Q319561,104151776767318010921,,,,,,,,177450,,,113,,,,
Q320199,91108043,,no2009100458,1986777,119484447,,,,,,,,,,,
Q319273,408149294315180521782,0000000116831237,n82153080,102076,118646117,179116103,,,140972,,pcrtIS7pIFsSk9,865,5027,1149,,
Q3622586,,,,,,,,,,,,898,,,,
Q318726,28151776729918010127,0000000057221008,no2014136794,1486049,1147243387,,,,158085,,,,,,,
Q318803,101146937709613830612,,,,1185119523,,,,,,,556,,,,
Q318879,47159234085203370562,0000000079762091,nr94023064,1818651,118683853,12436644g,,,,,,2674,,,,
Q318718,448159474320627662667,0000000034722221,n82102907,1843548,118788159,125578336,,,141480,500354130,,930,,,,
Q3622544,,,,,,,,,,,,1391,,,,
Q3624545,,,,,,,,,177192,,,,,,,
Q3646534,2737848,0000000117373768,no2002033736,,1020419741,148413031,,,,,,,,,,
Q3655278,,,,,,,,,,,,623,,,,
Q3655476,3357155832964133490006,,,,1186418583,,,,175470,,,,,,,
Q3655774,2949155708716422580005,,,,1185099972,,,,177540,,,,,,,
Q3655836,,,,,,,,,132516,,,,,,,
Q3655947,,,,,,,,,38224,,,,,,,
Q3655959,39766484,,,,102383987,,,,178058,,,1298,5442,315,,
Q3656047,299925246,,,,1033875368,,,,,,,,,,,
Q3656094,370159474293827662146,,,,,,,,,,,,,,,
Q3656287,3167155566458213380003,,,,1183431791,,,,,,,,,,,
Q3656324,1707155566429913380002,,,,1183430132,,,,175177,,,,,,,
Q28858330,,,,,,,,,167155,,,,,,,
Q30058998,,,,,,,,,177758,,,,,,,
Q31201175,799155832937733490002,,,,1186418230,,,,176196,,,,,,,
Q302,141145970137232251241,0000000120370699,n79084784,40116,118557513,119392246,00565948,OL79880A,72544,500344051,pcrtHhcuUZovYG,,,,6017,
Q345,207159474183027661574,0000000427570951,n81018544,68107,118640909,11934598c,00570257,,80677,,pcrtkkazFpEFhX,,,,6018,
Q31966,264405984,0000000382148035,n50044098,15184,118578030,12544621q,,,,,,,,,,
Q281025,76706381,0000000054763725,nr95026791,1834515,102399468,,,,,,,1228,5001,,,
Q285148,,,,,,,,,,,,934,,,,
Q285755,7282122,000000005476383X,nr95027235,1846470,1362756679,,,,,,,1873,5057,,,
Q289392,,,,,,,,,,,,1423,,,,
Q292282,130931422,,,,119089734,,,,,,,,,,,
Q294460,4991994,0000000083523050,n79048482,,128635509,12279130m,,OL1417187A,,,,,,,,
Q294846,12693394,,,,102383375,,,,177590,,,3441,7742,,,
Q294862,89035392,0000000357014924,n80089831,1811091,118668110,14451157x,,,142670,,,2758,,,,
Q295228,191928419,0000000357739896,nr94014650,1841848,118595652,,,,94599,,pcrtR17tSwvA4x,5209,,,,
Q296238,19151776797818011287,0000000078585812,n82225889,1846829,118796275,12074835q,,,,,pcrt78BuvOYWba,,,,,
Q297183,70151776768418011957,000000011673674X,n81098243,1821217,102394229,12009355q,,,183630,,pcrtU6zBHOMezM,5812,4959,676,,
Q297783,294159474047927661042,,nr95020971,357131,11942598X,15059315x,,OL4704081A,,500356675,pcrtuq8US4AAfg,,4861,373,,
Q298168,226293535,0000000385379250,n87939019,1840514,11864713X,,,,134931,,pcrtLc37EGBXPv,123,,1917,,
Q298729,89131128,0000000121429576,n50079083,1831751,118574779,11913597c,,OL1795281A,,,pcrtHXjWgTSJx3,3780,4980,850,,
Q309637,488159477611427990003,0000000038295829,n2002039502,1812599,124874576,148824517,,,22868,,,5479,,,,
Q311265,22151776730018010294,000000007859273X,n95013616,1829657,118869337,15115745b,,,,,,,4970,,,
Q311287,185900455,0000000108642532,n80125819,61521,118500368,118855676,,OL486971A,74050,,pcrtGvbbbsTNmE,14,4844,5,,
Q311733,7124159521669233070005,0000000356098695,n85143752,168032,118504940,12390277z,,OL4275884A,,,pcrt8TS1hehRiZ,,4327,233,,
Q312058,118028207,0000000110858279,n83049460,1897817,140601457,12208820j,,,,,,,,,207448374,
Q312306,9507159477884827990003,0000000063171510,nr99024574,1832824,118781766,,,,177549,,,,,,,
Q313419,250676705,0000000500123235,no2019034867,,119143364,179091422,,,92392,,,,,,,
Q313664,37151776814718012853,0000000116836388,n83045219,1812941,118822187,11954295x,,,,,pcrttOXSgusYwa,1686,4918,,,
Q313680,54537220,,,,102399476,,,,177088,,,1229,,,,
Q314677,251796915,0000000061355084,n94119889,349216,118738976,12197922z,,OL4798670A,,,pcrtL4QiWLI4rf,4641,5019,1023,,
Q315274,,,,,,,,,205208,,,6289,,,,
Q315456,30331705,,,,118716034,,,,,,pcrtQBTGbv1z2s,,,,,
Q315492,100460394,0000000077825095,no2009097620,,102398267,,,,181035,,,1632,,,,
Q315913,16865838,,no99087533,,,162970586,,,,,pcrtdK88rLrjHr,,,,,
Q316054,66444467,0000000123209315,n81090754,77493,100442854,12389111q,031623750,OL340989A,,,,,4913,365,,
Q316475,20159761531907882168,,no2020095429,,,,,,,,,1870,,,,
Q316775,420144647695234910481,,,,,,,,,,,1299,,,,
Q316825,9252155919134339730003,,,,1187003654,,,,97146,,,1230,,,,
Q316915,230714698,000000036563172X,nb2012001897,,1323771042,,,,86278,,,,,,,
Q320902,32386508,0000000005127175,nr95016310,357003,102395888,,,,,,pcrtjxhH2B8N9p,3160,4964,749,,
Q327322,49991979,0000000061286517,n80159776,65172,117012955,12139277j,,OL5589063A,,,,,,,,
Q328206,26957047,0000000052752416,nr95037292,1804977,,,,,,,,640,4864,,,
Q329274,89682313,0000000061977086,,,,,,,,,,,,,,
Q336259,34736018,0000000035562258,n2006059717,,170037509,150262635,,OL5678625A,,,,,,,,
Q336538,251716614,0000000375122654,,,118792784,,,,177278,,,5214,,,,
Q342512,,,,,,,,,,,,1636,,,,
Q344349,29582830,0000000108833400,n83001060,107210,119421305,122086320,,OL4503957A,,,,,,,,
Q347310,9327155919135439730004,,,,1186999357,,,,177796,,,,,,,
Q347471,2510555,0000000121179394,nr88002447,227718,118983083,121581523,,OL271235A,,,,,,,7655796,
Q349222,852159234869603372977,0000000095188560,n2003038903,1818650,118683837,15043706d,,,178053,,pcrtfRpMed5M53,5481,,,,
Q349959,76706086,0000000371466628,,,102389977,,,,,,,2077,4364,447,,
Q350781,69160307510557742555,0000000360955602,nr95031173,361301,118675206,129264824,,OL5513335A,,,pcrtc6BHazJaQY,1231,166,293,,
Q351495,305805857,,,,,,,,,,,2277,,,,
Q352035,61896709,0000000374156502,nr95016314,1951551,100454372,,,,,,,,4982,854,,
Q353188,,,,,,,,,142867,,,,,,,
Q354990,145149106295168492626,0000000122834274,n84134395,144330,118705237,121909797,,OL6011113A,177672,,,,4798,744,,
Q355544,136669178,,nr2001000041,457692,121308146,,,,176023,,,624,,,,
Q355768,68164295174608411664,0000000050582724,nr95026790,,102399441,,,,175100,,,1226,5000,1912,,
Q357585,4855155832946233490008,,,,1186325291,,,,,,,550,,,,
Q359810,,,,,,,,,,,,1219,,,,
Q360920,3612155919083539730003,,,,1187003867,,,,177891,,,2275,,,,
Q361377,,,,,,,,,,,pcrtTb5UF2qZ3F,1868,,,,
Q362154,3270592,000000008194381X,n85357696,171106,118961837,,,OL733284A,,,,,,,,
Q363084,,,,,,,,,181037,,,4504,,,,
Q365148,21227956,,n88092242,233633,119212315,,,,,,,128,5053,1253,,
Q2900872,,,,,,,,,177731,,,,,,,
Q2933380,9734389,0000000373159381,nr95016313,357057,102393400,,,,,,,,,625,,
Q2980800,2633155919076439730000,,,,1186998504,,,,,,,1306,,,,
Q3265895,15675618,0000000015710102,,,123326060,,,,,,,,,,,
Q3265904,3285155832943033490004,,,,1186421711,,,,177527,,,,,,,
Q3293507,10641601,,no2020095424,,118760246,,,,,500354655,,1864,,,,
Q3414665,1299155708713122580006,,,,1185226745,,,,,,,,,,,
Q3480956,,,,,,,,,177474,,,,,,,
Q3490610,35250246,000000011053678X,n88065516,227846,118657410,106136719,,OL160119A,,,,,,,,
Q3509896,305219499,0000000055393156,nr91043547,296797,119377047,,,,,,,,,,,
Q3565895,59460012,0000000082432755,n84804836,1462587,1084345889,,,OL5082709A,,,,,,,,
Q444151,15565991,0000000416184529,,,118804081,,,,,,,1426,,,,
Q445455,384159474186827661727,,,,102399921,,,,,,,4277,,,,
Q445752,7104155708704422580006,0000000049993892,nr95022472,1816132,1185122710,,,,175639,,,2274,4845,,,
Q442449,51581927,0000000049390741,nr95029631,1845150,100554512,,,,,,,5638,4692,1234,,
