qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc
Q4390239,counseling,Q11588306|Q11024|Q9353606|Q5710255|Q183257,social services|communication|health service|helping behavior|psychotherapy,Q107432112|Q113192683|Q4382888,"guidance and counseling|counselling, wellbeing and community services|mental health care",,,,,sh85033421,,,,,,
Q11398090,creation,Q104637332,planned process,,,,,,,,,,,,,
Q17537576,creative work,Q15621286,intellectual work,,,,,,,,,,,CreativeWork,,
Q3624786,criminal anthropology,Q6656244,anthropometry,,,,,,,sh85034032,364.2,,,,,
Q43504,criminalistics,Q7991,natural science,,,Q495304,forensic science,,4033177-5,,,,,,,
Q161733,criminology,Q34749,social science,,,Q110965311|Q60761185|Q4915287,rural criminology|public criminology|biosocial criminology,,4033197-0,sh89002994,364,300054356,,Criminology,,
Q110252479,crop and pasture production,Q110231626,"agricultural, veterinary and food sciences",,,Q1283714,crop production,,,,,,,,,
Q672832,cryobiology,Q420,biology,,,,,,,,,,,Cryobiology,,
Q132583791,cryoenzymology,Q2880775|Q672832,enzymology|cryobiology,,,,,,,,,,,,,
Q160398,crystallography,Q2346|Q83353|Q228736,analytical chemistry|mineralogy|materials science,,,,,884652,4033217-2,sh85034498,548,300251565,,Crystallography,,
Q28598,cultural anthropology,Q23404,anthropology,Q21505779,social and cultural anthropology,,,,4133903-4,,305.8,,,CulturalAnthropology,,
Q29585976,cultural education,Q29584851,other education,Q112122609,class in NACE rev.2 classification of productive activities,Q27908|Q1757598|Q5215234|Q6031015|Q14517056,music education|visual art education|dance education|theater arts education|photography school,,,,,,,CulturalEducation,,
Q1711347,cultural policy,Q828395,social policy,Q7163,politics,,,,4033581-1,sh85034748,,,03794045n,,,
Q1143546,cultural studies,Q23010558|Q80083|Q23404,"area, ethnic, cultural, gender, and group studies|humanities|anthropology",Q113128675,"language, communication, and cultural studies",Q1662673|Q3621186,gender studies|Arabic studies,,4033597-5,sh93005685,306,,03422672n,CulturalStudies,,HM623|GN345.7
Q1791868,cultural technique,Q18087981|Q2695280|Q11023|Q1695384|Q205961,cultivation|technique|engineering|socioculture|skill,,,,,,,,,,,,,
Q1418771,culturology,Q34749,social science,,,,,,,,,,,,,
Q81456601,cyber-entispheral system,Q81457224,Interspheral System,,,,,,,,,,,,,
Q1120057,cyber-physical system,Q81456601|Q81457224|Q1639361|Q994895,cyber-entispheral system|Interspheral System|sociotechnical system|technical system,,,,,,,,,,,,,
Q120910067,cyber-physical systems,,,,,,,,,,,,,,,
Q2905785,cyberpsychology,Q9418,psychology,,,,,,,,,,02029528n,,,
Q104774297,cypress swamp ecology,Q104200524|Q7150,swamp ecology|ecology,,,,,886131,,sh85035170,,,,,,QH541.5.C95
Q115254236,cytobacteriology,Q3009579|Q243748,cytology|bacteriology,,,,,,,,,,,,,
Q3009579,cytology,Q420,biology,Q7141,cell biology,Q115254236,cytobacteriology,,,sh85035240,,,,,,
Q113884152,cytomorphology,Q3009579|Q183252,cytology|morphology,,,,,,,,,,,,,
Q122705444,dairy science,Q168091|Q3606845,animal science|agricultural science,,,,,,4169930-0,,,,,,,
Q5215234,dance education,Q7922,pedagogy,,,,,,,,,,,,,
Q42848,data,Q11028,information,Q59138835,data base,,,,4135391-2,,1--028557|001.422|005.7|001.4226,300312038,,Data,,
Q494756,data,Q42848|Q286583|Q3523102,data|manifestation|source of information,,,,,,,,005,,01535843n,ComputerData,,
Q16773055,data aggregation,Q390066,object composition,Q1662581,information model,,,,,,,,,,,
Q1988917,data analysis,Q217602,analysis,Q485396|Q3353185,analytics|business intelligence,,,,4123037-1,,519.53,,,,,
Q59138835,data base,,,Q8513,database,Q42848|Q1172389,data|data element,,,,,,,,,
Q1147639,data dictionary,Q2352616|Q1172480,catalogue|data model,Q8513,database,,,,4225722-0,sh85035852,,300060244,,,,
Q42417149,data exploration,,,,,,,,,,,,,,,
Q120910074,data interlinking,,,,,,,,,,,,,,,
Q2330408,data mapping,Q6723621,machine-readable data,,,,,,,,,,,,,
Q172491,data mining,Q12772819|Q70708084,discovery|text and data mining,,,,,887946,4428654-5,sh97002073,006.312,,00025325n,DataMining,,QA76.9.D343
Q48797981,data preservation,Q10418049|Q1479406,archiving|preservation,,,,,,,,,,,,,
Q23647168,data protection,Q189900,information security,Q113208079,data security and protection,,,887958,,sh85035859,,,,,,
Q4368942,data retrieval,Q816826,information retrieval,,,,,,,,,,,,,
Q2374463,data science,Q336,science,,,,,,,,,,,,,
Q1172284,data set,Q15621286|Q2668072|Q286583|Q11826511,intellectual work|collection|manifestation|scientific work,,,Q42848,data,2003345,,sh2018002256,,,03731507n,Dataset,,
Q15141646,data storage medium,Q9158768|Q104450446,storage|data carrier,,,,,,,,,,,,,
Q80428,data store,Q9158768,storage,,,,,,,,,,,,,
Q175263,data structure,Q494756|Q6671777|Q17176533,data|structure|software component,Q21198|Q748349|Q494823,computer science|mathematical structure|data format,,,,4011146-5,sh85035862,005.73,,00025330n,ComputerDataStructure,,
Q8513,database,Q1172284|Q386724|Q59138870|Q494756,data set|work|digital object|data,Q1630548,host,Q42848|Q2470517|Q632285|Q1054115|Q278425|Q1147639|Q59138835|Q176165,data|record|database schema|integrity constraints|database table|data dictionary|data base|database management system,888065,4011119-2|4113276-2,sh86007767|sh99003001|sh99001528,005.74,300028543,00025333n,,,QA76.9.D32
Q632285,database schema,Q1662581|Q1397073,information model|data schema,,,,,,,,,,02817362n,,,
Q278425,database table,Q496946|Q110832792,table|database object,Q176165,database management system,,,,,,,,00941661n,,,
Q108509507,deaconess studies,Q107508911,theological studies,,,,,,,,,,,,,
Q188961,decentralization,Q3249551,process,,,,,,4012005-3,,,300055495,,Decentralization,,
Q111381712,decentralized social network,Q3220391,social networking service,,,,,,,,,,,,,
Q330268,decision support system,Q11660|Q1391080|Q121182|Q8366,artificial intelligence|business software|information system|algorithm,,,,,889080,4191815-0,sh86006549,006.33,,03238389n,,,HD30.213|T58.62
Q474328,declarative sentence,Q41796,sentence,,,Q108163,proposition,,,,,,,,,
Q221989,deep web,Q3948731,web content,Q466,World Wide Web,,,,7664173-9,sh2008009697,006.7|004.678,,,DeepWeb,,ZA4237
Q73941450,demographic anthropology,Q23404|Q37732,anthropology|demography,,,,,,,,,,,,,
Q37732,demography,Q34749|Q1071,social science|geography,Q1071,geography,,,,4011412-0,sh85036659,304.6,300054357,00026161n,Demography,,
Q125994057,dendropathology,Q188956,plant pathology,,,,,,,,,,,,,
Q5700493,dental anthropology,Q12128|Q23404,dentistry|anthropology,,,,,,,,,,,,,
Q12128,dentistry,Q11190|Q31207,medicine|health care,,,Q121493590,clinical dentistry,,4079454-4,sh85036953,617.6|617,300054517,00026275n,Dentistry,,
Q387196,description logic,Q192161,formal language,Q8078,logic,,,,,,,,01076164n,,,
Q120969809,description logic reasoning systems,,,,,,,,,,,,,,,
Q380344,descriptive statistics,Q12483,statistics,Q12483|Q730675,statistics|quantitative research,,,,4070313-7,,519.53,,,,,
Q119175782,desert science,Q8008,Earth science,,,,,,,,,,,,,
Q1519454,design,Q1914636,activity,Q735|Q8148,art|industrial sector,Q104642147,cartographic design,,4157139-3,sh87005579,,,,,,
Q82604,design,Q1914636|Q104637332|Q1519454,activity|planned process|design,Q113129241,built environment and design studies,,,,4011510-0,sh85037197,729|745.4,300054171,00026535n,Design,,
Q131344606,desmidiology,Q441,botany,,,,,,,,,,,,,
Q7562091,development,Q3249551|Q1914636,process|activity,,,,,,,,,,,,,
Q1345628,development anthropology,Q23404|Q651571,anthropology|development studies,,,,,,,,,,,,,
Q1127188,development economics,Q8134,economics,Q8134,economics,,,,,,,,,DevelopmentEconomics,,
Q651571,development studies,Q34749,social science,,,,,,4014937-7,,,,,,,
Q213713,developmental biology,Q420,biology,,,Q815547,morphogenesis,,4152440-8,sh85037352,571.8|612.6,,,DevelopmentalBiology,,
Q175002,developmental psychology,Q9418,psychology,Q9418|Q113043917,psychology|applied and developmental psychology,,,,4014963-8,sh85037359,155,,00018358n,ChildPsychology,,
Q146893,dialectology,Q8162,linguistics,,,,,,4040728-7,sh85037526,417.2|417,,,Dialectology,,
Q1224394,differential psychology,Q9418,psychology,,,,,893410,4012259-1,sh85037878,155,,,,,
Q130261998,digestive physiology,Q2432331,zoophysiology,,,,,,,,,,,,,
Q601854,digital anthropology,Q23404,anthropology,,,,,,,,,,,,,
Q123819225,digital capturing,Q1914636,activity,,,,,,,,,,,,,
Q119788585,digital data storage,Q57515336|Q1724915,data storage|use,,,,,,,,,,,,,
Q1076968,digital media,Q1209283,electronic media,,,,,,,sh98006600,,300404198,,,,
Q59138870,digital object,Q16686448|Q82753,artificial object|computer file,Q60474998,digitized collection,,,,,,,,,,,
Q632897,digital preservation,Q48797981|Q123751128|Q123819222,data preservation|gathering|storing,,,,,893721,,sh95004496,025.84,300379431,00610635n,,,
Q11900327,disability policy,Q828395|Q1519812,social policy|health policy,,,,,,4144335-4,,,,,,,
Q12773591,discipline of pedagogy,Q7922,pedagogy,,,,,,,,,,,,,
Q12772819,discovery,Q451967|Q37112258,intentional human activity|finding,Q77468620,psychological terminology,,,,4014841-5,sh93003312,509,,,,,
Q3770855,discovery and exploration of the Solar System,Q180046,space exploration,Q50056,history of astronomy,Q104499|Q37547|Q1516939,planetary science|astrophysics|history of spaceflight,,,,,,,DiscoveryAndExplorationOfTheSolarSystem,,
Q120910072,disjointness learning,,,,,,,,,,,,,,,
Q180634,distributed computing,Q179310|Q232661|Q11862829|Q21198,computing|parallel computing|academic discipline|computer science,,,,,906987,7545389-7,sh85042293,004.36,,,,,
Q339678,distributed data storage,Q80428,data store,,,,,,,,,,03757053n,DistributedDatabaseSystem,,
Q25110971,distributed ledger,Q339678|Q2732056|Q85914626,distributed data storage|ledger|consensus algorithm,,,,,,1229475885,,,,,,,
Q120910068,distributed reasoning,,,,,,,,,,,,,,,
Q5283178,distributed social network,Q180634|Q111381712,distributed computing|decentralized social network,,,,,,,,,,,,,
Q5283209,distributional semantics,Q182557|Q39645,computational linguistics|semantics,,,,,,,,,,16010764n,,,
Q1235196,documentation science,Q336,science,,,,,,4128313-2,,,,,,,
Q1573035,domestic policy,Q546113,public policy,,,Q828395|Q582577|Q1519812|Q452348|Q1711347,social policy|economic policy|health policy|education policy|cultural policy,,4027058-0,,,,03865940n,,,
Q1595873,domestic studies,Q336|Q42240|Q928786,science|research|area studies,,,,,,4073972-7,,,,,,,
Q105237946,double bass performance,Q6942562,musical performance,,,,,,,,,,,,,
Q3630257,dynamic geology,Q128894857|Q46255,physical geology|geophysics,,,,,940406,,sh85053976,,,,,,
Q130217834,dynamic meteorology,Q25261,meteorology,,,,,,,sh85040311,,,,,,
Q3174497,dynamical systems theory,,,,,,,,,,,,,,,
Q116845132,early performance,Q6942562,musical performance,,,,,,,,,,,,,
Q107287417,earth and planetary science,Q14632398,physical science,,,,,,,,,,,,,
Q909789,earthquake engineering,,,,,,,,,sh85040490,,,,EarthquakeEngineering,,
Q606654,earthquake prediction,Q748250,prediction,Q83371,seismology,,,,4124846-6,,,,,,,
Q130111976,eccrinology,Q521,physiology,,,,,,,,,,,,,
Q127420314,echinology,Q12744095,invertebrate zoology,,,,,,,,,,,,,
Q2984315,ecological anthropology,Q23404,anthropology,,,,,,,,,,,,,
Q113114755,ecological applications,Q188847,environmental science,,,,,,,,,,,,,
Q130304428,ecological climatology,Q52139,climatology,,,,,,,,,,,,,
Q7150,ecology,Q5333289,ecology and evolutionary biology,,,Q720858|Q1387972|Q48997455|Q10900987,human ecology|plant ecology|genetic ecology|animal ecology,,4043207-5,sh85040752|sh99005735,577,300054468,00010564n,Ecology,,
Q5333289,ecology and evolutionary biology,Q420,biology,,,Q7150|Q840400,ecology|evolutionary biology,,,,,,,,,
Q160039,econometrics,Q1193625,social science methodology,Q8134|Q12483|Q112955551,economics|statistics|econometric and statistical methods,,,,4132280-0,sh85040763,330.015195,,00029659n,Econometrics,,
Q8187769,economic activity,Q451967|Q125506646,intentional human activity|transfer,,,,,,,,,,,EconomicAction,,
Q27841,economic anthropology,Q23404,anthropology,,,,,,4321994-9,sh85040766,306.3,,,EconomicAnthropology,,GN448-GN450.8
Q5333460,economic entomology,Q39286,entomology,,,,,,,,,,,,,
Q853915,economic geology,Q1069,geology,,,,,940720,4140085-9,sh85054085,553,,00029669n,,,
Q47398,economic history,Q5076869,history of the social sciences,Q8134|Q309,economics|history,,,901974,7504419-5,sh85040817,,,,EconomicHistory,,
Q739302,economic production,Q3249551|Q8187769|Q11398090,process|economic activity|creation,,,,,,4047347-8,sh85107209,338,300054713,00064594n,Production-Generic,,
Q610859,economic sociology,Q21201|Q8134,sociology|economics,,,,,,4066514-8,,,,,,,
Q8134,economics,Q34749,social science,Q3475802|Q34749,economic and social sciences|social science,Q39072|Q39680|Q160039|Q2248246|Q861689|Q28161|Q1127188|Q47417|Q753291|Q1118654|Q1411783|Q31218|Q47398|Q3578710|Q660564|Q385256|Q3578760|Q396340|Q3578749|Q56557294,microeconomics|macroeconomics|econometrics|public economics|education economics|labour economics|development economics|international economics|environmental economics|institutional economics|industrial organization|health economics|economic history|organizational economics|transport economics|urban economics|geographical economy|agricultural economics|Q3578749|resource economics,902116,4066528-8,sh85040850,330,300054359,00029676n,Economics,,HB1-HB130
Q159810,economy,Q1639378,social system,,,Q3958441,economic sector,,4066399-1,sh85040802,330,300389790,00029678n,EconomicSector-Localized,,
Q295425,ecophysiology,Q521|Q7150,physiology|ecology,,,,,,4143684-2,sh91006274,,,,,,
Q15088481,ecopsychology,Q9418,psychology,,,,,,,,,,,,,
Q5333882,ecosystem management,Q20113959|Q2920921,nature conservation|management,Q219416,sustainability,,,1432037,,sh93001294,,,,,,
Q1412144,ecotoxicology,Q3995923|Q7150,environmental toxicology|ecology,Q113114761,bioavailability and ecotoxicology,,,,4121813-9,,,,,Ecotoxicology,,
Q8434,education,Q7406919|Q6423395|Q2305441,service|knowledge sharing|social process,,,Q61788126|Q133500|Q352842|Q2267590,educational activity|learning|teaching|self-education,902499,4112628-2,sh85040989,370,300054360,00026980n,Education,,
Q117460485,education and research,Q8187769,economic activity,,,,,,,,,,,,,
Q861689,education economics,Q3296256,applied economics,Q8134,economics,,,,4006664-2,sh85041004,,,,EducationEconomics,,
Q61788126,educational activity,Q451967|Q133500|Q5710255,intentional human activity|learning|helping behavior,,,,,,,,,,,,,
Q5341272,educational anthropology,Q23404,anthropology,,,,,,4044308-5,sh85041108,,,,AnthropologyOfEducation,,
Q120969820,egocentric reference system,,,,,,,,,,,,,,,
Q43035,electrical engineering,Q11023,engineering,,,,,,4014390-9,sh85041666,621.3,300054490,00029856n,ElectricalEngineeringField,,
Q2474620,electrochemical engineering,Q83588|Q43035,chemical engineering|electrical engineering,,,,,,,,,,02368252n,ElectrochemicalEngineering,,
Q12176496,electromechanical engineering,Q11023,engineering,,,,,,,,,,,,,
Q11650,electronics,Q2695280,technique,,,Q1815901,electronic circuit,907538,4014346-6,sh85042383,537,300253971,00030270n,Electronics,,
Q124326537,electropathology,Q7208,pathology,,,,,,,,,,,,,
Q113884103,electrorheology,Q271707,rheology,,,,,,,,,,,,,
Q36808958,element of set,Q379825,element,,,,,,,,,,,,,
Q131683,embryology,Q420,biology,Q420|Q11190,biology|medicine,,,,4014562-1,,571.86,,,Embryology,,
Q120208,emerging technology,Q11016,technology,,,,,,,,,,,,,
Q5374252,empirical psychology,Q9418,psychology,,,,,,,,,,,,,
Q1805337,energy policy,Q546113,public policy,,,Q12705|Q12748,renewable energy|fossil fuel,,4014715-0,sh85043147,333.79,,,EnergyPolicy,,
Q1341277,energy research,Q42240,research,,,,,,,,,,,,,
Q81096,engineer,Q327055,worker,,,,,910639,4026955-3|4192847-7,sh85043249,620.0092,300025063,03098987n,Engineer,,
Q11023,engineering,Q28797,applied science,Q1881523,"science, technology, engineering, and mathematics",,,,4137304-2,sh85043176,620,300054474,00005105n,EngineeringField,,
Q490354,engineering psychology,Q9418,psychology,,,,,,4240884-2,,,,,,,
Q173799,entertainment,Q1914636|Q26256810,activity|topic,,,,,,,,,,00003693n,EntertainmentService,,
Q35120,entity,,,,,,,,4629260-3,,,,,,,
Q17012245,entity linking,Q1649725,name resolution,,,,,,,,,,,,,
Q120969779,entity matching,,,,,,,,,,,,,,,
Q39286,entomology,Q3520855,arthropodology,Q3520855,arthropodology,,,,4152382-9,sh85044125,595.7,300251856,,Entomology,,
Q5381194,environmental anthropology,Q23404,anthropology,,,,,,,,,,,,,
Q321355,environmental chemistry,Q2329,chemistry,,,,,,4135167-8,sh85044168,577.14,,,EnvironmentalChemistry,,
Q753291,environmental economics,Q8134,economics,,,,,,4061638-1,sh93004763,338.927|333.7,,03250444n,EnvironmentalEconomics,,
Q948732,environmental education,Q2353731|Q7922,upbringing|pedagogy,,,,,,4061627-7,sh85044169,333.7071,,,,,
Q146326,environmental engineering,Q11023|Q136580777,engineering|civil and environmental engineering,,,,,912934,4061650-2,sh85044170,628,300054483,,EnvironmentalEngineering,,
Q5381223,environmental epidemiology,Q5381367|Q133805,environmental studies|epidemiology,,,,,,,,,,,,,
Q18235183,environmental fluid mechanics,Q172145,fluid mechanics,,,,,,,,,,,,,
Q932068,environmental health,Q189603,public health,,,,,,,,,,,EnvironmentalHealth,,
Q113827235,environmental health sciences,Q843601,health sciences,,,,,,,,,,,,,
Q5333239,environmental humanities,Q80083,humanities,,,,,,,,,,,EnvironmentalHumanities,,
Q919526,environmental policy,Q546113|Q110590221,public policy|environmental regulation by humans,Q7163,politics,,,913250,4078523-3,sh85044197,333.72,300055508,,EnvironmentalPolicy,,
Q188847,environmental science,Q8008,Earth science,,,Q5381194|Q321355|Q618752|Q3631109|Q10418548,environmental anthropology|environmental chemistry|environmental psychology|environmental biotechnology|environmental biology,,4137364-9,sh92004048,333.7|500,300054510,00010564n,,,
Q2167019,environmental sociology,Q21201|Q5381367,sociology|environmental studies,,,,,,,,,,,,,
Q5381367,environmental studies,Q1071,geography,,,,,,,,,,,EnvironmentalStudies,,
Q3995923,environmental toxicology,Q7218,toxicology,,,,,,,sh96003462,,,,EnvironmentalToxicology,,
Q2880775,enzymology,Q7094,biochemistry,Q7202,molecular biology,,,913635,4152482-2,sh96010093,616.0756|572.7,,,,,
Q133805,epidemiology,Q843601,health sciences,,,,,,4015016-1,sh85044373,614.4|636.08944,300379975,,Epidemiology,,
Q133798571,epistemological values,Q194112,value,,,,,,,,,,,,,
Q9471,epistemology,Q2166096|Q5891,theoretical philosophy|philosophy,,,,,988194,4070914-0,sh85072732,121,300054288,00031237n,Epistemology,,BD143-BD237
Q5498822,ergodic theory,,,,,,,,4015246-7,sh85044600,,,,ErgodicTheory,,
Q105604957,ethical artificial intelligence,Q12727779,ethics of artificial intelligence,,,,,,,,,,,,,
Q9465,ethics,Q5891,philosophy,,,,,,4015602-3,sh85045096,170,300054290|300055939,00031712n,Ethics-PhilosophySubField,,BJ1-BJ1725
Q132151,ethnography,Q34749,social science,,,,,,,,,300054319,00026505n,Ethnography,,
Q43455,ethnology,Q28598|Q1143546,cultural anthropology|cultural studies,,,Q26237583|Q208365,ethnopolitics|etnomusicology,916106,4078931-7,sh85045198,305.8,300054316,00031731n,Ethnology,,
Q26237583,ethnopolitics,,,Q15831440|Q36442|Q43455,political studies|political science|ethnology,,,,,,,,,,,
Q12572036,ethnopsychology,Q9418,psychology,,,,,,4188478-4,sh85045425,155.82,,,,,GN502-GN519
Q208365,etnomusicology,Q164204|Q132151,musicology|ethnography,Q164204|Q132151,musicology|ethnography,,,,4127833-1,sh85045421,780.89|780|305.8,300025564|300054241,03680054n,Ethnomusicology,,
Q1371704,etruscology,Q23498|Q8162,archaeology|linguistics,,,,,,4219655-3,sh85045469,937.501,,,,,
Q1379672,evaluation,Q1799072|Q3249551|Q123304503,method|process|assessment,,,,,,4071034-8,sh85045926,,300054621,,Evaluation,,
Q58898636,evaluation study,Q1379672|Q47461344,evaluation|written work,,,,,,,,,,,,,
Q1656682,event,Q1190554|Q7406919,occurrence|service,,,,,,4125453-3,,,,14035017n,Event-Organized,,
Q5418608,evolution,Q1150070,change,,,Q247792,progress (history),,,,,,02881928n,Evolution,,
Q1063,evolution,Q2996394|Q5418608|Q3455898|Q17524420,biological process|evolution|pattern in nature|aspect of history,,,,,,4071050-6,sh85046029,576,,00032060n,BiologicalEvolution,,
Q840400,evolutionary biology,Q5333289,ecology and evolutionary biology,,,,,,4153283-1,sh90004042,,,,EvolutionaryBiology,,QH359-QH425
Q1382557,evolutionary ecology,Q7150|Q840400,ecology|evolutionary biology,,,,,,4395809-6,,,,,,,
Q135995350,evolutionary geography,Q1071,geography,Q1071|Q8134,geography|economics,,,,,,,,,,,
Q475023,exact science,Q336,science,,,,,,4015943-7,,,,,,,
Q113207671,excited state chemistry,Q11372,physical chemistry,,,,,917720,,sh85046244,,,,,,QD461.5
Q1146011,exclusive right,Q780687,rights,,,,,,,,,,,,,
Q25346349,execution model,,,Q9143,programming language,,,,,,,,,,,
Q472094,exercise physiology,Q2892439,human physiology,,,,,,4116573-1,sh85126898,,,,ExercisePhysiology,,
Q556014,existential therapy,Q183257,psychotherapy,,,,,,,sh85046374,150.192,,,,,
Q3809431,exoplanetology,Q104499|Q125975922,planetary science|ology,,,,,,,,,,,Exoplanetology,,
Q115255855,exotic animal medicine,Q170201,veterinary medicine,,,,,,,,,,,,,
Q164359,experience,Q9081|Q937228,knowledge|property,,,,,,4015217-0,sh85046433,121|128.4,,,ExperiencingSomething,,
Q130262075,experimental meteorology,Q25261,meteorology,,,,,,,,,,,,,
Q475042,experimental psychology,Q9418|Q5769081,psychology|experimental science,Q9418,psychology,,,,4016005-1,sh85108474,150.724,,,,,
Q5769081,experimental science,Q336,science,,,,,,,,,,,,,
Q40890078,explainable AI,Q11660,artificial intelligence,,,,,,1263068472,,,,,,,
Q7958,explanation,Q628523|Q151885,message|concept,,,Q474328,declarative sentence,,4015293-5,sh85046453,,,,Explanation,,BD237
Q838202,expressive therapy,Q183257,psychotherapy,,,Q928865,art therapy,,,,,,,,,
Q502038,extragalactic astronomy,Q333,astronomy,,,,,,,,,,,,,
Q970687,eye tracking,Q106518118,tracking,,,,,,,,,,,,,
Q1519370,faceted search,Q816826,information retrieval,,,,,,,,,,,,,
Q83405,factory,Q13226383|Q1497364|Q811979|Q1662011|Q134496677|Q43229,facility|building complex|architectural structure|industrial building|industrial facility|organization,Q4830453,business,,,,4250288-3,sh85046823,,300006232,00032675n,ManufacturingFacility,,
Q11606393,faculty of business administration,Q180958,faculty,Q2043282,business administration,Q11381334,department of accounting,,,,,,,,,
Q3505712,family medicine,Q3259956|Q11190,primary care|medicine,,,,,,4135788-7,sh85047057,616,,,,,
Q870449,family therapy,Q183257|Q3505712,psychotherapy|family medicine,,,,,,4016421-4,sh85047061,618.9289156|616.89156,,,,,
Q105160122,federated SPARQL query,Q105159989|Q62522500,federated query|SPARQL query file format,,,,,,,,,,,,,
Q105159989,federated query,Q3428776,query,,,,,,,,,,,,,
Q5442878,feminist anthropology,Q23404,anthropology,,,,,,,sh93006951,,,,,,
Q5442885,feminist psychology,Q9418|Q4810748|Q7252,psychology|feminist theory|feminism,,,Q1404521,feminist therapy,,,,,,,,,
Q1404521,feminist therapy,Q183257|Q5442885,psychotherapy|feminist psychology,,,,,,4153985-0,sh85047760,,,,,,
Q132241,festival,Q15275719|Q19711353|Q137399408,recurring event|public event|fest,,,,,923329,4154198-4,sh85047932,394.26,300073472,00034151n,Festival,,
Q1047113,field of study,Q105948247|Q110403031|Q9081|Q26256810,knowledge system|knowledge type|knowledge|topic,,,,,,,,,,,,,
Q1402508,field research,Q185698|Q42240|Q118563234,methodology|research|research work,,,,,,4016674-0,,001.433|301.072,,,FieldResearch,,
Q116845672,film composition,Q105107008,music composition,,,,,,,,,,,,,
Q43015,finance,Q18564125|Q113141571,"business management|banking, finance and investment studies",,,,,,,sh85048256,332,300055715,00034524n,Finance,,
Q1409472,fire ecology,Q7150|Q113114755,ecology|ecological applications,,,,,925297,4638558-7,sh85048479,,,,,,
Q109276098,fish genetics,Q110310405|Q60242,animal genetics|ichthyology,,,,,926487,,sh85048766,,,,,,
Q122935277,fish pathology,Q7208,pathology,,,,,,,,,,,,,
Q5454658,fish physiology,Q2432331|Q60242,zoophysiology|ichthyology,,,,,926577,,sh85048793,,,,FishPhysiology,,QL639.1
Q110297482,fish physiology and genetics,Q60242|Q2432331|Q110310405,ichthyology|zoophysiology|animal genetics,,,Q5454658|Q109276098,fish physiology|fish genetics,,,,,,,,,
Q17013672,fish reproduction,Q3427333|Q5454658,animal reproduction|fish physiology,,,,,926594,,sh85048800,,,,FishReproduction,,
Q8248157,fisheries biology,Q420|Q1772875|Q1420050,biology|wildlife biology|fisheries science,,,,,,,,,,,,,
Q1420050,fisheries science,Q105575840|Q110231626,"natural resources|agricultural, veterinary and food sciences",,,,,,4401603-7,sh2005020061,,,,,,
Q30594891,floral biology,Q441,botany,,,,,,,,,,,,,
Q107708708,flower morphology,Q655362,plant morphology,,,,,927888,,sh85049342,,,,,,
Q172145,fluid mechanics,Q193463,continuum mechanics,Q193463|Q113210559,continuum mechanics|fluid mechanics and thermal engineering,Q6593690|Q31191973,aeromechanics|hydromechanics,927999,4077970-1,sh85049383,532,,00035430n,FluidMechanics,,
Q106148879,flute performance,Q6942562,musical performance,,,,,,,,,,,,,
Q132116,folkloristics,Q28598,cultural anthropology,,,,,,4329183-1,sh85050150,398.092,300055920,,,,
Q910172,food chemistry,Q2329|Q1637030,chemistry|food science,,,,,,4034873-8,sh85050191,664.07,,,FoodChemistry,,
Q1637030,food science,Q336|Q83588|Q123518019,science|chemical engineering|food and nutritional science,Q420|Q2329|Q21201|Q123518019,biology|chemistry|sociology|food and nutritional science,,,,4167048-6,sh2018000786,,,15882239n,,,
Q181648,foreign policy,Q546113|Q1914636,public policy|activity,Q7163|Q610018,politics|foreign relations,Q572564|Q2827815|Q1667082|Q1456887|Q1456907,commercial policy|international aid|military policy|policy of peace|Q1456907,1907412,4003846-4,sh85050519,,,,,,
Q28065,forensic anthropology,Q495304|Q23404,forensic science|anthropology,,,,,,,sh85050537,614.17,,,ForensicAnthropology,,
Q108570409,forensic forestry,Q495304|Q38112,forensic science|forestry,,,,,,,sh2021003625,,,,,,
Q495304,forensic science,Q336,science,,,Q456443|Q454812,forensic technique|medical jurisprudence,932011,1199322490,sh90001487,363.25|614.1,300263373,,ForensicScience,,
Q456443,forensic technique,Q2695280,technique,Q495304|Q43504,forensic science|criminalistics,,,,4134284-7,,,,,,,
Q15629466,forest conservation,Q20113959,nature conservation,,,,,932069,,sh85050567,,,,,,
Q2249329,forest ecology,Q7150|Q19924411,ecology|forestry science,,,,,932104,4017951-5,sh85050575,577.3,,,ForestEcology,,
Q105552831,forest hydrology,Q42250|Q19924411,hydrology|forestry science,,,,,1715752|965190,4393598-9,sh85063461,,,,,,GB842
Q372561,forest management,Q720362|Q3743137|Q29017603,silviculture|natural resource management|control,Q38112,forestry,,,,,,,300379283,,ForestManagement,,
Q3333928,forest meteorology,,,,,,,,,,,,,,,
Q1895303,forester,Q12335817,forestry worker,,,,,,4329718-3|4874351-3|4423814-9|4874352-5,,,300025609,,Forester,,
Q38112,forestry,Q1801887|Q11023,agriculture and forestry|engineering,Q55640|Q1801887,primary sector of the economy|agriculture and forestry,Q720362,silviculture,,4017966-7,sh85050707,634.9,300054511,00035877n,Forestry,,SD1-SD669.5
Q16021386,forestry engineer,Q81096|Q1895303,engineer|forester,,,,,,1119377994,,,,,,,
