qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q279438,philosophy of technology,Q5891,philosophy,,,,,,,sh85133166,,,,,,T14,
Q64816565,"philosophy, arts and society",,,,,,,,,,,,,,,,
Q5862364,phitotechnia,,,,,,,,,,,,,,,,
Q8961945,phonemics,,,Q40998,phonology,,,,,,,,,,,,
Q35395,phonetics,Q8162|Q110761784,linguistics|phonetics and speech science,Q8162|Q82811|Q207011,linguistics|acoustics|neuroscience,,,,4045830-1,sh85101053,414.8,300054262,00062039n,Phonetics,,,
Q110761784,phonetics and speech science,Q336,science,,,Q2313389|Q35395,speech science|phonetics,,,,,,,,,,
Q40998,phonology,Q8162,linguistics,Q8162,linguistics,,,,4045836-2,sh99005585,414,300054263,,Phonology,,,
Q128893816,photogeology,Q1069,geology,,,,,798096,4045886-6,sh85001264,,,,,,QE33.2.A3,
Q190149,photogrammetry,Q199687,remote sensing,Q131089|Q199687,geodesy|remote sensing,,,,4045892-1,sh85101174,526.982,300053580,,Photogrammetry,,,
Q110745442,photogrammetry and remote sensing,,,,,Q190149|Q199687,photogrammetry|remote sensing,,,,,,,,,,
Q135926127,photographic heritage,Q210272,cultural heritage,,,,,,,,,,,,,,
Q111248583,photographic science and instrumentation,,,,,,,,,,,,,,,,
Q11633,photography,Q1914636,activity,Q113147222,lens-based visual arts,,,1061714,4045895-7,sh85101206|sh00006943,770,300054225,00062084n,Photography,,TR,
Q111143966,photography studies,,,Q55336315,art,,,,,,,,,,,,
Q625648,photometry,Q12453|Q14620,measurement|optics,,,,,,4174524-3,sh85101383,535.220287,300379446,,,,,
Q1073340,photometry,Q625648,photometry,Q333,astronomy,,,,4143255-1,sh85101384,522.62,,,,,,
Q75135426,photon science,,,,,,,,,,,,,,,,
Q113112790,"photonic and electro-optical devices, sensors and systems",Q11650,electronics,Q113041614,"photonics, optoelectronics and optical communications",Q467054|Q193091,photonics|optoelectronics,,,,,,,,,,
Q467054,photonics,Q413,physics,Q113112790,"photonic and electro-optical devices, sensors and systems",,,1062073,4243979-6,sh85101397,621.381045|621.3827,,01094140n,Photonics,,,
Q113041614,"photonics, optoelectronics and optical communications",Q1151533,"Atomic, molecular, and optical physics",,,Q113112790|Q1469765,"photonic and electro-optical devices, sensors and systems|optical communication",,,,,,,,,,
Q1126894,phraseology,Q8162,linguistics,,,,,,4076108-3,sh85101436,418,,00018663n,,,,
Q2624918,phthisiology,,,Q203337,pulmonology,,,,,,,,,,,,
Q188391,phycology,Q441,botany,,,,,,4141873-6,sh85003477,,,,Phycology,,,
Q171184,phylogenetics,Q3516404|Q840400,systematics|evolutionary biology,,,,,,4076110-1,sh85101498,576.88,,,Phylogenetics,,QH367.5,
Q377756,phylogeography,Q1071,geography,Q112969963,Biogeography and phylogeography,,,,7753111-5,sh99000800,,,,,,,
Q113406449,phylomemetics,Q23399|Q171184,memetics|phylogenetics,,,,,,,,,,,,,,
Q137650197,phylomythology,,,Q640280,comparative mythology,,,,,,,,,,,,
Q7189583,physical acoustics,Q82811|Q413,acoustics|physics,,,,,,,,,,,,,,
Q11372,physical chemistry,Q2329,chemistry,,,,,853521,4045959-7,sh85023027,541,300224431,00062161n,PhysicalChemistry,,,
Q113135537,physical chemistry of materials,Q113135490,macromolecular and materials chemistry,,,,,,,,,,,,,,
Q18346,physical cosmology,Q338|Q333,cosmology|astronomy,,,,,,,,,,00022982n,,,,
Q243253,physical education,Q1217379,parenting,,,,,,4077704-2,sh85101517,613.7,,,,,,
Q113101947,physical education and development curriculum and pedagogy,Q110542446,curriculum and pedagogy,,,,,,,,,,,,,,
Q64689346,physical education with biology,Q243253,physical education,,,,,,,,,,,,,,
Q64689407,physical education with mathematics,,,,,,,,,,,,,,,,
Q12568274,physical electronics,Q11650,electronics,,,,,,,,,,,,,,
Q835153,physical examination,Q5690807|Q4287917|Q2671652,health assessment|medical examination|medical test,Q2284929,health risk assessment,,,,4164443-8,sh85101514,,,00018021n,PhysicalExamination,,RC76-RC76.5,
Q52107,physical geography,Q1071|Q7991,geography|natural science,Q113098245,physical geography and environmental geoscience,,,,4174629-6,sh85101552,910.02,300054389,00062165n,,,,
Q113098245,physical geography and environmental geoscience,Q8008,Earth science,,,Q52107|Q64822409,physical geography|environmental geoscience,,,,,,,,,,
Q128894857,physical geology,Q1069,geology,,,Q3630257|Q334823,dynamic geology|structural geology,1062672,,sh85101560,,,,,,,
Q7189612,physical knot theory,Q413,physics,,,,,,,,,,,,,,
Q134891370,physical limnology,Q165838,limnology,,,,,,,,,,,,,,
Q2678675,physical medicine and rehabilitation,Q11190,medicine,,,,,,,sh91000759,617.03,,,,,,
Q5750455,physical metallurgy,Q11467,metallurgy,,,,,,,,,,,,,,
Q130304842,physical meteorology,Q25261,meteorology,,,,,,,,,,,,,,
Q1337681,physical oceanography,Q43518|Q413,oceanography|physics,,,,,2027046,,sh2021001476,,,,PhysicalOceanography,,,
Q4373292,physical property,Q38885242,physico-chemical property,,,,,,,sh85082249,,,00062168n,PhysicalProperty,,,
Q14632398,physical science,Q7991,natural science,,,Q413|Q333|Q2329|Q8008|Q1195766|Q228736|Q160398|Q11650|Q394,physics|astronomy|chemistry|Earth science|space sciences|materials science|crystallography|electronics|metrology,,,sh89005705,,300054532,,,,,
Q851598,physical security,Q2526135,security,,,,,,4334960-2,,,,,,,,
Q115250190,physical-chemical mechanics,,,Q909495,interface and colloid science,,,,,,,,,,,,
Q413,physics,Q7991|Q14632398,natural science|physical science,,,,,,4045956-1,sh85101653,530,300054559,00056996n,Physics,,,
Q104211852,physics historiography,Q1066186|Q413,study of history|physics,Q1066186,study of history,,,,,,,,,,,,
Q130798463,physics of high temperatures,Q413,physics,,,,,,,,,,,,,,
Q130798470,physics of thin films,Q413,physics,,,,,,,,,,,,,,
Q130798467,physics of thin layers,Q413,physics,,,,,,,,,,,,,,
Q64688755,physics with astronomy,Q413|Q333,physics|astronomy,,,,,,,,,,,,,,
Q131085450,physics with astrophysics,Q413|Q37547,physics|astrophysics,,,,,,,,,,,,,,
Q64689646,physics with biomedical sciences,,,,,,,,,,,,,,,,
Q134912903,physiographic geology,Q1069,geology,,,,,,,,,,,,,,
Q7189713,physiological condition,Q3505845|Q813912,state|condition,,,,,,,,,,,PhysiologicalCondition,,,
Q521,physiology,Q420,biology,,,,,1063177,4045981-0,sh85101679|sh99005103,571,300054471,00062182n,Physiology,,,
Q815040,physiology of clothing,,,,,,,,,,,,,,,,
Q3382023,physiology of reproduction,Q521,physiology,,,,,,,,,,,,,,
Q65193474,physiometry,Q12453,measurement,,,,,,,,,,,,,,
Q186005,physiotherapy,Q179661,medical treatment,,,,,1062771,4045960-3,sh85101568,615.82,300156146,,PhysicalTherapy,,,
Q134891445,phytobacteriology,Q243748,bacteriology,,,,,,,,,,,,,,
Q640068,phytochemistry,Q11351,organic chemistry,,,,,836819,4174632-6,sh85015961,,,,Phytochemistry,,,
Q130217803,phytoclimatology,Q1898366,bioclimatology,,,,,,,,,,,,,,
Q771220,phytogeography,Q52106,biogeography,Q52106|Q1456948,biogeography|geobotany,,,,4045561-0,sh85101689,581.9,,,Phytogeography,,,
Q133501250,phytology,Q441,botany,,,,,,,,,,,,,,
Q7189811,phytopharmacology,Q128406,pharmacology,,,,,,,,,,,,,,
Q130253639,phytophenology,Q272737|Q441,phenology|botany,,,,,,,,,,,,,,
Q130253346,phytoserology,Q502159|Q441,serology|botany,,,,,,,,,,,,,,
Q1138244,phytosociology,Q1387972|Q900651,plant ecology|coenology,Q441,botany,,,,4174073-7,,581.7,,02139522n,,,,
Q130253279,phytoteratology,Q631521|Q441,teratology|botany,,,,,,,,,,,,,,
Q104998020,piano performance,Q115160929,keyboard instrument performance,,,,,1063372,,sh85101747,,,,,,,
Q134892049,pistology,Q34178,theology,,,,,,,,,,,,,,
Q130253736,placentology,Q431|Q11190,zoology|medicine,,,,,,,,,,,,,,
Q7201242,planetary cartography,Q42515,cartography,,,,,,,,,,,,,,
Q751439,planetary geology,Q1069|Q104499,geology|planetary science,,,,,,,sh88000316,,,00230952n,,,,
Q107966944,planetary health ethics,Q9465,ethics,,,,,,,,,,,,,,
Q130798466,planetary physics,Q413,physics,,,,,,,,,,,,,,
Q104499,planetary science,Q1195766,space sciences,Q37547|Q180046,astrophysics|space exploration,Q3770855|Q156312,discovery and exploration of the Solar System|history of Earth,1065123,4233970-4,sh85102652,523.4,,,,,,
Q104637332,planned process,Q3249551|Q451967,process|intentional human activity,,,,,,,,,,,,,,
Q36492844,planned production,Q104637332,planned process,,,,,,,,,,,,,,
Q309100,planning,Q3249551|Q1914636,process|activity,,,Q2498490,corporate planning,,4046235-3,sh85102696,320.6,300054425,00062795n,Planning,,,
Q4021,plant anatomy,Q514,anatomy,Q441|Q514|Q2911239,botany|anatomy|glossary of plant morphology,,,,,sh85015978,,,,,,,
Q97182622,plant biochemistry,Q7094,biochemistry,Q441,botany,,,,,,,,,,,,
Q113133333,plant cell and molecular biology,Q7141|Q7202|Q441,cell biology|molecular biology|botany,,,Q107616960|Q100985929,plant cell biology|plant molecular biology,,,,,,,,,,
Q107616960,plant cell biology,Q7141|Q441,cell biology|botany,Q113133333,plant cell and molecular biology,,,,,,,,,,,,
Q84861608,plant conservation,Q20113959,nature conservation,,,,,1065351,,sh85102720,,,,,,,
Q1387972,plant ecology,Q7150|Q441,ecology|botany,,,,,1065415,4045575-0,sh85015985,581.7,,,,,,
Q100913396,plant ecophysiology,Q185973|Q1387972|Q295425,plant physiology|plant ecology|ecophysiology,,,,,1065426,,sh88005635,,,,,,,
Q106604818,plant evolutionary biology,Q441|Q840400,botany|evolutionary biology,,,,,,,,,,,,,,
Q55630097,plant genetic resources,,,Q7162,genetics,,,,,,,,,,,,
Q7201518,plant genetics,,,Q441|Q7162,botany|genetics,,,,,sh85102745,631.5233,,,PlantGenetics,,,
Q3138337,plant histology,Q441|Q7168,botany|histology,,,,,,,,,,,,,,
Q116251723,plant microbiology,Q7193|Q441,microbiology|botany,,,,,1066055,,sh85102865,,,,,,QR351,
Q100985929,plant molecular biology,Q7202|Q441,molecular biology|botany,,,,,1065557,,sh86001899,,,,,,QK728,
Q655362,plant morphology,Q183252|Q441,morphology|botany,,,,,,,sh85015992,,,,PlantMorphology,,,
Q131624421,plant neurobiology,Q441,botany,,,,,,,,,,,,,,
Q8328350,plant nutrition,Q397334|Q185973|Q17652193,agricultural chemistry|plant physiology|nutritional science,,,,,,4133962-9,sh85102868,,,,,,,
Q188956,plant pathology,Q441,botany,Q7208|Q173113|Q441,pathology|agronomy|botany,,,,4130197-3,sh85102732,571.92|632,,,Phytopathology,,,
Q185973,plant physiology,Q521|Q441,physiology|botany,,,,,,4045580-4,sh85102796,575,,,PlantPhysiology,,,
Q11870294,plant production,Q56299222,agricultural production,,,,,,,,,,,,,,
Q2725616,plant reproduction,Q11990,reproduction,Q441,botany,Q464666|Q1608538|Q134624,vegetative reproduction|plant reproductive morphology|pollination,,,,,,03509830n,PlantReproduction,,,
Q1795341,plant stress physiology,Q123414|Q185973|Q295425|Q1387972,stress|plant physiology|ecophysiology|plant ecology,,,,,,,,,,,,,,
Q1138178,plant taxonomy,Q3516404|Q11398,systematics|biological classification,,,,,,,,,,,PlantTaxonomy,,,
Q104825414,plant-fungus relationships,Q1387972|Q104825374,plant ecology|fungal ecology,,,,,1065751,,sh91003722,,,,,,,
Q2098469,plasma medicine,Q5615097|Q864928|Q4388032|Q1120908,plasma physics|life sciences|clinical medicine|medical physics,,,,,,,,,,,,,,
Q5615097,plasma physics,,,Q413,physics,,,,,,530.44,,,,,,
Q1078913,plastic arts,Q36649,visual arts,,,Q11634|Q11629,art of sculpture|art of painting,,4046277-8,,,300311925,00062857n,,,,
Q1558058,plasticity theory,Q9357058|Q271707,physical theory|rheology,Q1080293,solid mechanics,,,,4123953-2,,,,,,,,
Q7950,plate tectonics,Q1863355,geotectonics,Q83296,lithosphere,,,,4046317-5,,551.136,,,PlateTectonics,,,
Q4364900,plethysmography,Q177719,medical diagnosis,,,,,,,,,,,,,,
Q835023,poetics,Q459381,literary theory,,,Q11820960,descriptive poetics,,4046449-0,sh85103703,801.93|808.1,300069325,,Poetics,,,
Q482,poetry,Q7725634,literary work,,,,,1067691,,sh85103704,808.81,300055931,00063195n,Poetry,,PN1010-PN1551,
Q137914578,poetry therapy,,,,,,,,,,,,,,,,
Q1640995,polar exploration,Q6502154|Q1071,exploration|geography,,,,,,4200347-7,,,,,PolarExploration,,,
Q37445,police science,Q161733|Q4932206|Q847034|Q1195662,criminology|jurisprudence|sociology of law|legal anthropology,,,,,,,,,,,,,,
Q1156854,policy,Q386724|Q1151067,work|rule,,,,,,,,,,,Policy,,,
Q2101508,policy analysis,Q217602,analysis,,,,,,,sh2010106864,,,,,,,
Q113125740,policy and administration studies,Q8425,society,,,Q3179130|Q2736989,policy studies|science of public administration,,,,,,,,,,
Q136481337,policy management,,,,,,,,,,,,,,,,
Q3179130,policy studies,Q36442|Q34749,political science|social science,Q113125740,policy and administration studies,,,,,sh85104264,,,,,,,
Q27778,political anthropology,Q29051,social anthropology,,,,,,4293325-0,sh85104345,320.11,,,,,,
Q137053180,political arithmetic,Q8134|Q37732,economics|demography,,,,,,,,,,,,,,
Q1660049,political communication,Q11024|Q7163,communication|politics,,,,,,4134262-8,sh85029088,320.014,,,PoliticalCommunication,,,
Q47555,political economics,Q15831440,political studies,Q113115885,political economy and social change,,,,4115586-5,,330,,,PoliticalEconomics,,,
Q113115885,political economy and social change,Q651571,development studies,,,Q47555|Q1510761,political economics|social change,,,,,,,,,,
Q2101492,political ethics,Q538733|Q179805,applied ethics|political philosophy,,,,,,4129503-1,sh85104354,,,,,,,
Q1147507,political history,Q1066186,study of history,,,Q266994,XYZ Affair,,,,,,,,,,
Q855726,political journalism,Q1391316|Q1262864,specialised journalism|special interest journalism,,,,,,,,,,,,,,
Q2270062,political law,Q207892,public law,,,Q1810004,election law,,,,,,,,,,
Q21654591,political linguistics,,,Q36442|Q8162,political science|linguistics,,,,,,,,,,,,
Q1773577,political management,Q2920921,management,,,,,,,,,,02829162n,,,,
Q7210346,political methodology,Q36442,political science,,,,,,,,,,,,,,
Q179805,political philosophy,Q5891,philosophy,Q15831440|Q112981240|Q113001585,political studies|political theory and political philosophy|social and political philosophy,,,,4076226-9,sh88004669,320.01,,18058583n,,,B65,
Q1596387,political psychology,Q9418|Q36442,psychology|political science,,,,,,4175034-2,sh85104425,320.019,,,,,JA74.5,
Q2145286,political representation,Q116856839,agency,,,,,,,,324.63,,,,,,
Q36442,political science,Q15831440,political studies,Q15831440|Q34749,political studies|social science,Q26237583,ethnopolitics,1069781,4076229-4,sh85104440,320,300054438,00041192n,,,,
Q55659900,political science and international relations,Q36442,political science,,,Q166542,international relations,,,,,,,,,,
Q1526011,political science of religion,Q36442,political science,,,,,,,,,,,,,,
Q745692,political sociology,Q21201|Q36442,sociology|political science,Q15831440,political studies,Q3487526,sociology of voting,,4046558-5,sh85104457,306.2,,,,,,
Q15831440,political studies,Q34749,social science,,,Q36442|Q207892|Q47555|Q179805|Q26237583|Q745692,political science|public law|political economics|political philosophy|ethnopolitics|political sociology,,,,,,,,,,
Q9357091,political theory,Q3239681|Q1990987,scientific theory|social theory,Q112981240,political theory and political philosophy,,,,4046563-9,,,,,,,,
Q112981240,political theory and political philosophy,Q36442,political science,,,Q9357091|Q179805,political theory|political philosophy,,,,,,,,,,
Q7163,politics,Q3482410|Q4686698|Q1914636,group behaviour|adversarial process|activity,,,Q546113,public policy,1919741,4046514-7,sh2002011436,320|324,300055537,00063351n,Politics,,,
Q64819398,politics and communication,,,,,,,,,,,,,,,,
Q118929282,politics in Northern Cyprus,,,,,,,,,,,,,,,,
Q276861,politics of Canada,,,,,,,,,sh85019334,,,,,,,
Q4811702,politics of outer space,Q7163,politics,,,Q7572584,space geostrategy,,,,,,,,,,
Q330963,politics of the United States,,,,,,,,,sh85140410,,,02557322n,,,,
Q64816572,"polit­ical, so­ci­etal and re­gional change",,,,,,,,,,,,,,,,
Q113043256,pollution and contamination,Q188847,environmental science,,,,,,,,,,,,,,
Q2739133,polyculture,Q11451|Q706937,agriculture|species diversity,,,,,,,,,,,,,,
Q750446,polymer chemistry,Q11351|Q908684,organic chemistry|solid-state chemistry,,,,,,4168684-6,,,,,PolymerChemistry,,,
Q3456979,polymer science,Q228736,materials science,,,,,,,,,300054500,01698072n,,,,
Q64943186,polymer technology,,,,,,,,,,,,,,,,
Q35911,pomology,Q48803|Q441,horticulture|botany,,,,,,4175352-5,,,,00063496n,,,,
Q104923005,pond ecology,Q20417087|Q7150,freshwater ecology|ecology,,,,,1070925,,sh85104781,,,,,,QH541.5.P63,
Q17304666,ponerology,,,,,,,,,,,,,,,,
Q113128855,popular and genre literature studies,Q208217,literary studies,,,,,,,,,,,,,,
Q7229751,popular culture studies,,,,,,,,,,,,,PopularCultureStudies,,,
Q31151,population genetics,Q7162,genetics,,,Q112073441,human population genetics,,4046804-5,sh85104920,576.58,,,PopulationGenetics,,,
Q7229807,population genomics,,,,,,,,,,,,,,,,
Q3291156,population health,Q189603|Q3958441,public health|economic sector,,,,,,,,,,,,,,
Q97360329,porn studies,,,,,,,,,,,,,,,,
Q131626776,poseidology,Q104499,planetary science,Q104499,planetary science,,,,,,,,,,,,
Q1061357,positioning,Q1363963,marketing strategy,,,,,,,sh85105385,,,,,,,
Q107286734,positive computing,,,,,,,,,,,,,,,,
Q26110,positive economics,Q8134,economics,,,,,,,,,,,,,,
Q26196475,positron astronomy,Q818557,observational astronomy,,,,,,,,,,,,,,
Q113132901,post-harvest horticultural technologies,Q112914409,Horticultural production,,,,,,,,,,,,,,
Q7233576,post-quantum cryptography,Q8789,cryptography,,,,,,,,,,,PostQuantumCryptography,,,
Q265425,postcolonialism,Q1999851,normative science,Q267932,Post-structuralism,,,,4566658-1,sh97007835,,300263176,,Postcolonialism,,,
Q119203271,postcolonialism application in Africa,Q265425,postcolonialism,,,,,,,,,,,,,,
Q23015928,postgraduate degree,Q189533,academic degree,,,,,,,,,,,GraduateDegree,,,
Q7234359,postmarketing surveillance,Q334401,surveillance,Q189447,risk management,,,,,,,,,,,,
Q7234391,postmodernist anthropology,Q23404,anthropology,,,,,,,,,,,,,,
Q86008805,postsocialism,,,,,,,,,,,,,,,,
Q45098068,poultry science,Q168091,animal science,,,,,,,,,,,,,,
Q135437159,powder technology,Q11016,technology,,,,,,,,,,,,,,
Q593143,power electronics,Q11650,electronics,,,,,,,sh85105978,,,,PowerElectronics,,,
Q1803786,power engineering,Q2695280|Q43035|Q2151621,technique|electrical engineering|energy industry,,,,,,4113411-4,,621.31,,03456297n,PowerEngineering,,,
Q3242194,power transmission,Q1341477,energy supply,,,,,,,,,,,,,,
Q114062450,practical ethics,,,,,,,,,,,,,,,,
Q65088213,practical music,,,,,,,,,,,,,,,,
Q1888684,practical philosophy,Q5891,philosophy,,,,,,4047055-6,,340.1|170|320.101|320.01,,03463707n,,,,
Q4376413,practical psychology,Q9418,psychology,,,,,,,,,,,,,,
Q1383443,practical theology,Q216545,Christian theology,,,,,,4047056-8,sh85134705,260,,,,,BV1-BV5099,
Q115673998,practice,Q1799072|Q20920559|Q451967,method|procedure|intentional human activity,,,,,,,,,,,,,,
Q181839,pragmatics,Q8162,linguistics,Q8162,linguistics,,,,4076315-8,sh85106058,401.41|401.45|306.44,300054264,,Pragmatics,,,
Q104825199,prairie ecology,Q104800105|Q7150,grassland ecology|ecology,,,,,1074601,,sh85106067,,,,,,QH541.5.P7,
Q7239245,pre-medical,Q8434,education,,,,,,,,,,,,,,
Q7239187,pre-service teacher education,Q1374230,teacher education,,,,,,,,,,,,,,
Q110930459,precariousness research,,,Q21201,sociology,,,,,,,,,,,,
Q113066630,predictive and prognostic markers,Q113066539,oncology and carcinogenesis,,,,,,,,,,,,,,
Q114000009,predictive microbiology,Q7193,microbiology,,,,,,,,,,,,,,
Q133897036,predictive science,Q336,science,,,,,,,,,,,,,,
Q1416170,preference,Q908656,preference,,,,,,,,,,,,,,
Q2415966,prehistoric archaeology,Q23498,archaeology,,,,,,,,,,,,,,
Q2310752,prehistory and early history,Q23498|Q1066186,archaeology|study of history,Q23498|Q1066186|Q112800417,archaeology|study of history|Ancient Cultures,,,,4121886-3,,,,,,,,
Q17634913,premilitary instruction,Q34749|Q192386,social science|military science,,,,,,,,,,,,,,
Q118720234,presidential studies,Q36442,political science,,,,,,,,,,,,,,
Q2108944,press statistics,,,Q165650|Q12483,media studies|statistics,,,,,,,,,,,,
Q1717246,prevention,Q1914636,activity,Q10566551|Q189447,safety|risk management,,,,4076308-0,sh99002416,,,,,,,
Q24960185,prevention of gender violence,Q1717246,prevention,,,,,,,,,,,,,,
Q1773974,preventive medicine,Q31207|Q11190,health care|medicine,Q18357734|Q189603,operational risk management|public health,,,,4047033-7,sh85083162,613,,00064298n,PreventiveMedicine,,RA421-RA790.95,
Q160151,price,Q1499548|Q30242023|Q39875001,monetary value|money amount|measure,,,,,1076207,4047097-0,sh85106622,338.52,300055694,00025083n,,,,
Q975085,primary education,Q8434,education,Q1151386|Q3309206,K–12|basic education,Q126807|Q9842,kindergarten|primary school,903204,4158406-5,sh85041077|sh99005768,372,300054366,,,,,
Q65007594,primary teaching,,,,,,,,,,,,,,,,
Q219488,primatology,Q183904,mammalogy,Q183904,mammalogy,,,,,,,,,Primatology,,,
Q18619,priming,,,Q77468620,psychological terminology,,,,,,,,,,,,
Q188728,privacy,Q780687|Q1503443,rights|secrecy,,,,,,4123980-5,,323.448,300056387,,PrivacyLevel,,,
Q7246002,privacy-enhancing technologies,Q21198,computer science,,,,,,,,,,,,,,
Q1733207,private international law,Q19934321,Conflict of laws,Q4394526,international law,,,,4027446-9,sh85030965,340.9,,,,,,
Q4122235,private law,Q4932206,jurisprudence,Q159810|Q7748,economy|law,Q1149275|Q1752579|Q176006|Q2609670|Q661518,property law|economic law|law of obligations|corporate law|contract law,,4047304-1,,346,,,,,,
Q5862903,probability theory,Q395,mathematics,Q15614122,measure theory,,,,4079013-7,,,,,ProbabilityTheory,,,
Q730920,problem solving,Q105606485|Q9420|Q114023750|Q3249551,intellectual activity|thought|mathematisation|process,Q77468620,psychological terminology,,,,4076358-4,sh85107109,153.43,,00064528n,ProblemSolving,,HD30.29,
Q936044,procedural law,Q7748|Q58142240|Q367293,law|ruleset|convention,,,Q146071|Q206937,criminal procedure|civil procedure,,4126493-9,sh85107127,347.05,,01805544n,,,,
Q20920559,procedure,Q1799072,method,,,Q110240153,step,,,,,,,,,,
Q10843872,process,Q3249551|Q1914636,process|activity,,,Q1816633,unit operation,,,,,,,ProcessType,,,
Q3249551,process,Q67518978|Q133250,occurrent|sequence,Q2377160,Systems Biology Ontology,Q1190554|Q529711|Q27956567|Q12769393,occurrence|beginning|central part|end,,,,,300053001,14481766n,Process,,,
Q1649571,process control,Q12015335|Q14167904,branch of engineering|process management,Q4917288|Q18357734|Q113161374,control engineering|operational risk management|process control and simulation,,,,,,,,,,,,
Q113161374,process control and simulation,Q83588,chemical engineering,,,Q1649571|Q838129,process control|process simulation,,,,,,,,,,
Q2144042,process engineering,Q11023,engineering,,,,,,4062781-0,sh85107212,,,03431620n,,,,
Q838129,process simulation,Q45045,simulation,Q113161374,process control and simulation,,,,,,,,,,,,
Q108855511,procurement management,,,Q2920921,management,,,,,,,,,,,,
Q2424752,product,Q488383,object,,,,,,4139399-5,sh85028954,338.02,300387427,00054416n,,,,
Q1043226,product design,Q82604|Q3249551,design|process,,,,,,,,,,,,,,
Q867147,product distribution,Q8187769,economic activity,,,Q194189,sales,,4113325-0,,381.1,300137595,00027799n,,,,
Q135495698,product technology,Q11016,technology,,,,,,,,,,,,,,
Q64808885,production design,,,,,,,,,,,,,,,,
Q1080208,production theory,Q8134,economics,,,,,,,,,,,ProductionEconomics,,,
Q702269,professional,Q327055,worker,,,,,,4498129-6,,,300025907,15746665n,Professional,,,
Q828812,professional development,Q8434,education,,,,,,4069342-9|4005871-2,sh85144178,370.113,300188826,00080176n,VocationalEducation,,,
Q3953114,professional writing,Q110484020|Q268378,writing|work,Q113209507,creative and professional writing,,,,,,,,,,,,
Q1061410,program evaluation,Q1379672|Q123304503,evaluation|assessment,,,,,,,,,,,,,,
Q9143,programming language,Q629206,computer language,Q68,computer,Q1152399|Q25346349|Q1199356|Q865760,syntax|execution model|standard library|type system,1078704,4047409-4,sh85107313,005.13,,00064652n,ProgrammingLanguage,,,natural_language
Q25312607,programming model,,,,,,,,,,,,,,,,
Q834933,progressive education,Q7922|Q8434,pedagogy|education,,,,,,,sh85107319,,,,,,,
Q179012,project management,Q2920921|Q185698,management|methodology,Q603948,program management,,,,4047441-0,sh85065919,658.404,,01740508n,ProjectManagement,,,
Q1462272,projecting,,,,,,,,,,,,,,,,
Q353163,promotion,Q185451,strategy,Q193959,marketing mix,,,,,,,,,PromotionalEvent,,,
Q852732,proof theory,Q1166618,mathematical logic,,,,,,4145177-6,sh85107437,511.36,,,ProofTheory,,QA9.54,
Q1400881,property,Q28877,goods,,,Q555911|Q702627|Q4227971|Q10494269|Q499094|Q131257|Q5393493,private property|public property|collective ownership|real property|personal property|intellectual property|title,,4013793-4,sh85107496,346.04|342.085|330.17|333.3|306.32,300055588,00064755n,,,,
Q937228,property,Q7048977,abstract entity,,,,,,4151179-7,,,300123559,00064752n,,,,
Q1618728,property management,Q873442,asset management,,,Q58081477,real estate management,,,sh85111733,,,,PropertyManagement,,,
Q135495835,propulsion technology,Q11016,technology,,,,,,,,,,,,,,
Q783287,prosopography,Q1114135,register of persons,,,Q98459187,prosopography,,4127369-2,sh86000287,920,300263750,,Prosopography,,,
Q98459187,prosopography,Q1114135,register of persons,,,,,,,,,,,,,,
Q2251595,protection,Q3505845|Q47496130,state|reduction,,,Q28553669|Q28553760,passive protection|active protection,,4180271-8,,,,,,,,
Q103928988,protein chemical synthesis,Q1153832,organic synthesis,,,,,,,,,,,,,,
Q105252429,protein chemistry,Q7094|Q731154|Q50490180,biochemistry|chemical biology|protein science,,,,,,,,,,,,,,
Q50490353,protein crystallography,Q160398|Q908902,crystallography|structural biology,,,,,,,,,,,,,,
Q410814,protein design,Q55213915|Q14777816,molecular design|rational design,,,,,,,,,,,,,,
Q17156992,protein dynamics,Q128030|Q908902,dynamics|structural biology,,,,,,,,,,,,,,
Q169525,protein engineering,Q580689,bioengineering,Q7094,biochemistry,,,1079685,4346801-9,sh86007375,,,,,,TP248.65.P76,
Q50490180,protein science,Q420|Q2329,biology|chemistry,,,,,,,,,,,,,,
Q899656,protein structure prediction,Q67577480,structure prediction,,,,,,,,,,,,,,
Q113134526,proteins and peptides in medical biochemistry,Q113129142|Q849994,medical biochemistry and metabolomics|clinical chemistry,,,,,,,,,,,,,,
Q7251534,proteogenomics,Q7202,molecular biology,,,,,,,,,,,,,,
Q471857,proteomics,Q3516872|Q4751159,molecular biology technique|analytical chemical technique,Q113132912,proteomics and metabolomics,,,,,sh2002000814,,300387453,,Proteomics,,,
Q113132912,proteomics and metabolomics,Q110231341,Bioinformatics and computational biology,,,Q471857|Q12149006,proteomics|metabolomics,,,,,,,,,,
Q2467781,protistology,Q420|Q7193,biology|microbiology,,,,,,,,,,,,,,
Q120910093,provenance,,,,,,,,,,,,,,,,
Q1678416,provenance research,Q42240,research,,,,,,7697228-8,,,,,,,,
Q7256235,psychiatric genetics,Q7162,genetics,,,,,,,,,,,,,,
Q2801621,psychiatric nursing,Q121176|Q7867|Q11974939,nursing|psychiatry|health professional,Q121176,nursing,,,,,,,,,PsychiatricNursing,,,
