qid,label,master_id,master_id_type,master_label,source,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc
Q385378,construction,840551,fast_id,construction,major,,,,,,,840551,,,624|690,300054608,,,,TH
Q833495,consumer choice,sh85031496,lcsh_id,consumer choice,major,,,,,,,876441,4132976-4,sh85031496,,,,,,
Q193463,continuum mechanics,sh85031576,lcsh_id,continuum mechanics,discipline,Q11397|Q21213340,classical mechanics|continuum physics,Q21213340|Q41217,continuum physics|mechanics,,,,4032296-8,sh85031576,531,,03415511n,,,
Q367293,convention,sh85031684,lcsh_id,convention,discipline,Q16889133,class,,,,,877170,,sh85031684,390,300055807,,Normal-Usual,,
Q380962,cooperation,sh85032203,lcsh_id,cooperation,discipline,Q52948,interaction,,,,,,4032386-9,sh85032203,158,300379396,,CooperationEvent,,
Q3674740,coordination chemistry,4133952-6,gnd_id,coordination chemistry,major,,,,,,,,4133952-6,,,,,,,
Q1297822,copyright,K1411-K1485,lcc,copyright,discipline,Q108855835,intellectual property right,Q38746,author's rights,Q29562412|Q2857297|Q12058576|Q24808942|Q1285253,translation rights|reproduction right|broadcasting rights|adaptation right|publication right,,4062127-3,,,300055598,,,,K1411-K1485
Q2609670,corporate law,sh85032912,lcsh_id,corporate law,major,,,,,,,,,sh85032912,,,,,,
Q2474068,cosmetology,sh85012726,lcsh_id,cosmetology,major,,,,,,,,,sh85012726,613.488|646.72,,,,,
Q25508843,cosmic physics,sh85033150,lcsh_id,cosmic physics,discipline,Q413|Q1195766,physics|space sciences,,,,,,,sh85033150,,,,,,
Q631942,cosmography,sh85033167,lcsh_id,cosmography,major,,,,,,,,,sh85033167,,300054287,,,,
Q338,cosmology,sh85033169,lcsh_id,cosmology,discipline,Q333|Q413|Q35277|Q37547,astronomy|physics|metaphysics|astrophysics,,,,,880600,4114294-9,sh85033169,113|523.1,300054294,00022989n,Cosmology,,
Q4390239,counseling,sh85033421,lcsh_id,counseling,discipline,Q11588306|Q11024|Q9353606|Q5710255|Q183257,social services|communication|health service|helping behavior|psychotherapy,Q107432112|Q113192683|Q4382888,"guidance and counseling|counselling, wellbeing and community services|mental health care",,,,,sh85033421,,,,,,
Q586060,creative writing,sh85033847,lcsh_id,creative writing,major,,,,,,,882489,4165550-3,sh85033847,808.02|808.3,,,,,
Q3624786,criminal anthropology,sh85034032,lcsh_id,criminal anthropology,discipline,Q6656244,anthropometry,,,,,,,sh85034032,364.2,,,,,
Q117488,criminal justice,sh85034049,lcsh_id,criminal justice,major,,,,,,,,4057789-2,sh85034049,345.01,,,,,
Q146491,criminal law,sh85034058,lcsh_id,criminal law,major,,,,,,,,4057795-8,sh85034058,345,300054415,,,,
Q43504,criminalistics,4033177-5,gnd_id,criminalistics,discipline,Q7991,natural science,,,Q495304,forensic science,,4033177-5,,,,,,,
Q161733,criminology,sh89002994,lcsh_id,criminology,discipline,Q34749,social science,,,Q110965311|Q60761185|Q4915287,rural criminology|public criminology|biosocial criminology,,4033197-0,sh89002994,364,300054356,,Criminology,,
Q1141276,crisis management,sh85034122,lcsh_id,crisis management,major,,,,,,,,4127374-6,sh85034122,658.4056,,,,,HD49-HD49.6
Q160398,crystallography,sh85034498,lcsh_id,crystallography,discipline,Q2346|Q83353|Q228736,analytical chemistry|mineralogy|materials science,,,,,884652,4033217-2,sh85034498,548,300251565,,Crystallography,,
Q28598,cultural anthropology,305.8,ddc,cultural anthropology,discipline,Q23404,anthropology,Q21505779,social and cultural anthropology,,,,4133903-4,,305.8,,,CulturalAnthropology,,
Q858517,cultural history,7503708-7,gnd_id,cultural history,major,,,,,,,,7503708-7,,,,,,,
Q997515,cultural institutions studies,4309943-9,gnd_id,cultural institutions studies,major,,,,,,,,4309943-9,,,,,,,
Q1711347,cultural policy,sh85034748,lcsh_id,cultural policy,discipline,Q828395,social policy,Q7163,politics,,,,4033581-1,sh85034748,,,03794045n,,,
Q1143546,cultural studies,sh93005685,lcsh_id,cultural studies,discipline,Q23010558|Q80083|Q23404,"area, ethnic, cultural, gender, and group studies|humanities|anthropology",Q113128675,"language, communication, and cultural studies",Q1662673|Q3621186,gender studies|Arabic studies,,4033597-5,sh93005685,306,,03422672n,CulturalStudies,,HM623|GN345.7
Q182290,customs agency,sh85034969,lcsh_id,customs agency,major,,,,,,,,4263956-6,sh85034969,382.7,,,,,
Q123637,cybernetics,sh85035046,lcsh_id,cybernetics,major,,,,,,,,4033888-5,sh85035046,003.5,300054473,,,,Q300-Q390
Q104774297,cypress swamp ecology,sh85035170,lcsh_id,cypress swamp ecology,discipline,Q104200524|Q7150,swamp ecology|ecology,,,,,886131,,sh85035170,,,,,,QH541.5.C95
Q3009579,cytology,sh85035240,lcsh_id,cytology,discipline,Q420,biology,Q7141,cell biology,Q115254236,cytobacteriology,,,sh85035240,,,,,,
Q122705444,dairy science,4169930-0,gnd_id,dairy science,discipline,Q168091|Q3606845,animal science|agricultural science,,,,,,4169930-0,,,,,,,
Q11639,dance,sh85035659,lcsh_id,dance,major,,,,,,,,4059028-8,sh85035659,792.8,300054144,,,,
Q42848,data,1--028557,ddc,data,discipline,Q11028,information,Q59138835,data base,,,,4135391-2,,1--028557|001.422|005.7|001.4226,300312038,,Data,,
Q494756,data,005,ddc,data,discipline,Q42848|Q286583|Q3523102,data|manifestation|source of information,,,,,,,,005,,01535843n,ComputerData,,
Q1988917,data analysis,519.53,ddc,data analysis,discipline,Q217602,analysis,Q485396|Q3353185,analytics|business intelligence,,,,4123037-1,,519.53,,,,,
Q380344,descriptive statistics,519.53,ddc,data analysis,discipline,Q12483,statistics,Q12483|Q730675,statistics|quantitative research,,,,4070313-7,,519.53,,,,,
Q120910099,statistical analysis,519.53,ddc,data analysis,discipline,Q7754,mathematical analysis,,,Q12718609,statistical method,,,,519.53,,,,,
Q1147639,data dictionary,sh85035852,lcsh_id,data dictionary,discipline,Q2352616|Q1172480,catalogue|data model,Q8513,database,,,,4225722-0,sh85035852,,300060244,,,,
Q172491,data mining,sh97002073,lcsh_id,data mining,discipline,Q12772819|Q70708084,discovery|text and data mining,,,,,887946,4428654-5,sh97002073,006.312,,00025325n,DataMining,,QA76.9.D343
Q23647168,data protection,sh85035859,lcsh_id,data protection,discipline,Q189900,information security,Q113208079,data security and protection,,,887958,,sh85035859,,,,,,
Q1172284,data set,sh2018002256,lcsh_id,data set,discipline,Q15621286|Q2668072|Q286583|Q11826511,intellectual work|collection|manifestation|scientific work,,,Q42848,data,2003345,,sh2018002256,,,03731507n,Dataset,,
Q175263,data structure,sh85035862,lcsh_id,data structure,discipline,Q494756|Q6671777|Q17176533,data|structure|software component,Q21198|Q748349|Q494823,computer science|mathematical structure|data format,,,,4011146-5,sh85035862,005.73,,00025330n,ComputerDataStructure,,
Q389772,data transmission,sh85037972,lcsh_id,data transmission,major,,,,,,,,4011150-7,sh85037972,,,,,,
Q8513,database,sh86007767,lcsh_id,database,discipline,Q1172284|Q386724|Q59138870|Q494756,data set|work|digital object|data,Q1630548,host,Q42848|Q2470517|Q632285|Q1054115|Q278425|Q1147639|Q59138835|Q176165,data|record|database schema|integrity constraints|database table|data dictionary|data base|database management system,888065,4011119-2|4113276-2,sh86007767|sh99003001|sh99001528,005.74,300028543,00025333n,,,QA76.9.D32
Q188961,decentralization,4012005-3,gnd_id,decentralization,discipline,Q3249551,process,,,,,,4012005-3,,,300055495,,Decentralization,,
Q330268,decision support system,sh86006549,lcsh_id,decision support system,discipline,Q11660|Q1391080|Q121182|Q8366,artificial intelligence|business software|information system|algorithm,,,,,889080,4191815-0,sh86006549,006.33,,03238389n,,,HD30.213|T58.62
Q221989,deep web,sh2008009697,lcsh_id,deep web,discipline,Q3948731,web content,Q466,World Wide Web,,,,7664173-9,sh2008009697,006.7|004.678,,,DeepWeb,,ZA4237
Q37732,demography,sh85036659,lcsh_id,demography,discipline,Q34749|Q1071,social science|geography,Q1071,geography,,,,4011412-0,sh85036659,304.6,300054357,00026161n,Demography,,
Q489933,dental assistant,sh85036862,lcsh_id,dental assistant,major,,,,,,,890382,4706766-4|4673587-2|4067294-3|4270011-5,sh85036862,,,,,,
Q302542,deontic logic,sh85037000,lcsh_id,deontic logic,major,,,,,,,,4133538-7,sh85037000,160,,,,,
Q1519454,design,sh87005579,lcsh_id,design,discipline,Q1914636,activity,Q735|Q8148,art|industrial sector,Q104642147,cartographic design,,4157139-3,sh87005579,,,,,,
Q82604,design,sh85037197,lcsh_id,design,discipline,Q1914636|Q104637332|Q1519454,activity|planned process|design,Q113129241,built environment and design studies,,,,4011510-0,sh85037197,729|745.4,300054171,00026535n,Design,,
Q120207900,development finance,4454600-2,gnd_id,development finance,major,,,,,,,,4454600-2,,,,,,,
Q651571,development studies,4014937-7,gnd_id,development studies,discipline,Q34749,social science,,,,,,4014937-7,,,,,,,
Q213713,developmental biology,sh85037352,lcsh_id,developmental biology,discipline,Q420,biology,,,Q815547,morphogenesis,,4152440-8,sh85037352,571.8|612.6,,,DevelopmentalBiology,,
Q175002,developmental psychology,sh85037359,lcsh_id,developmental psychology,discipline,Q9418,psychology,Q9418|Q113043917,psychology|applied and developmental psychology,,,,4014963-8,sh85037359,155,,00018358n,ChildPsychology,,
Q134293,dharma,4135700-0,gnd_id,dharma,major,,,,,,,,4135700-0,,,300264384,,,,
Q146893,dialectology,sh85037526,lcsh_id,dialectology,discipline,Q8162,linguistics,,,,,,4040728-7,sh85037526,417.2|417,,,Dialectology,,
Q1224394,differential psychology,sh85037878,lcsh_id,differential psychology,discipline,Q9418,psychology,,,,,893410,4012259-1,sh85037878,155,,,,,
Q860372,digital art,sh00007354,lcsh_id,digital art,major,,,,,,,,4010453-9,sh00007354,776,300386810,,,,
Q1055825,digital journalism,sh2004000803,lcsh_id,digital journalism,major,,,,,,,,,sh2004000803,,,,,,
Q1076968,digital media,sh98006600,lcsh_id,digital media,discipline,Q1209283,electronic media,,,,,,,sh98006600,,300404198,,,,
Q632897,digital preservation,sh95004496,lcsh_id,digital preservation,discipline,Q48797981|Q123751128|Q123819222,data preservation|gathering|storing,,,,,893721,,sh95004496,025.84,300379431,00610635n,,,
Q93438884,directing,sh85134542,lcsh_id,directing,major,,,,,,,1149278,,sh85134542,,,,,,
Q2137554,direction,sh85099826,lcsh_id,direction,major,,,,,,,,4177403-6,sh85099826,,,,,,
Q11900327,disability policy,4144335-4,gnd_id,disability policy,discipline,Q828395|Q1519812,social policy|health policy,,,,,,4144335-4,,,,,,,
Q12772819,discovery,sh93003312,lcsh_id,discovery,discipline,Q451967|Q37112258,intentional human activity|finding,Q77468620,psychological terminology,,,,4014841-5,sh93003312,509,,,,,
Q3153007,distributed artificial intelligence,sh88004324,lcsh_id,distributed artificial intelligence,major,,,,,,,,4281805-9,sh88004324,,,,,,
Q180634,distributed computing,sh85042293,lcsh_id,distributed computing,discipline,Q179310|Q232661|Q11862829|Q21198,computing|parallel computing|academic discipline|computer science,,,,,906987,7545389-7,sh85042293,004.36,,,,,
Q25110971,distributed ledger,1229475885,gnd_id,distributed ledger,discipline,Q339678|Q2732056|Q85914626,distributed data storage|ledger|consensus algorithm,,,,,,1229475885,,,,,,,
Q1235146,documentary filmmaker,1175958913,gnd_id,documentary filmmaker,major,,,,,,,,1175958913|1175959111,,,,,,,
Q615498,documentary photography,sh85101277,lcsh_id,documentary photography,major,,,,,,,,4142019-6,sh85101277,,300134547,,,,
Q1235196,documentation science,4128313-2,gnd_id,documentation science,discipline,Q336,science,,,,,,4128313-2,,,,,,,
Q1573035,domestic policy,4027058-0,gnd_id,domestic policy,discipline,Q546113,public policy,,,Q828395|Q582577|Q1519812|Q452348|Q1711347,social policy|economic policy|health policy|education policy|cultural policy,,4027058-0,,,,03865940n,,,
Q1595873,domestic studies,4073972-7,gnd_id,domestic studies,discipline,Q336|Q42240|Q928786,science|research|area studies,,,,,,4073972-7,,,,,,,
Q25372,drama,sh85039316,lcsh_id,drama,major,,,,,,,,,sh85039316,792.12,300417554|300054152,,,,
Q492537,dramaturgy,sh85039386,lcsh_id,dramaturgy,major,,,,,,,,4124796-6,sh85039386,792.0233|791.430233,,,,,
Q93184,drawing,sh85039408,lcsh_id,drawing,major,,,,,,,,4127900-1,sh85039408,741,300033973,,,,
Q3630257,dynamic geology,sh85053976,lcsh_id,dynamic geology,discipline,Q128894857|Q46255,physical geology|geophysics,,,,,940406,,sh85053976,,,,,,
Q130217834,dynamic meteorology,sh85040311,lcsh_id,dynamic meteorology,discipline,Q25261,meteorology,,,,,,,sh85040311,,,,,,
Q1472221,early childhood education,sh87007854,lcsh_id,early childhood education,major,,,,,,,900596,,sh87007854,,300054362,,,,
Q5308718,early modern period,909.08,ddc,early modern period,major,,,,,,,,7503866-3,,909.08,,,,,
Q606654,earthquake prediction,4124846-6,gnd_id,earthquake prediction,discipline,Q748250,prediction,Q83371,seismology,,,,4124846-6,,,,,,,
Q1577380,ecclesiastical law,sh85040680,lcsh_id,ecclesiastical law,major,,,,,,,,4056656-0,sh85040680,262.9,,,,,
Q7150,ecology,sh85040752,lcsh_id,ecology,discipline,Q5333289,ecology and evolutionary biology,,,Q720858|Q1387972|Q48997455|Q10900987,human ecology|plant ecology|genetic ecology|animal ecology,,4043207-5,sh85040752|sh99005735,577,300054468,00010564n,Ecology,,
Q160039,econometrics,sh85040763,lcsh_id,econometrics,discipline,Q1193625,social science methodology,Q8134|Q12483|Q112955551,economics|statistics|econometric and statistical methods,,,,4132280-0,sh85040763,330.015195,,00029659n,Econometrics,,
Q27841,economic anthropology,sh85040766,lcsh_id,economic anthropology,discipline,Q23404,anthropology,,,,,,4321994-9,sh85040766,306.3,,,EconomicAnthropology,,GN448-GN450.8
Q187097,economic geography,sh85054016,lcsh_id,economic geography,major,,,,,,,,4066446-6,sh85054016,330.9,,,,,
Q853915,economic geology,sh85054085,lcsh_id,economic geology,discipline,Q1069,geology,,,,,940720,4140085-9,sh85054085,553,,00029669n,,,
Q47398,economic history,sh85040817,lcsh_id,economic history,discipline,Q5076869,history of the social sciences,Q8134|Q309,economics|history,,,901974,7504419-5,sh85040817,,,,EconomicHistory,,
Q582577,economic policy,sh85040837,lcsh_id,economic policy,major,,,,,,,902025,4066493-4,sh85040837|sh99005752,338.9,,,,,HD87-HD87.55
Q739302,economic production,sh85107209,lcsh_id,economic production,discipline,Q3249551|Q8187769|Q11398090,process|economic activity|creation,,,,,,4047347-8,sh85107209,338,300054713,00064594n,Production-Generic,,
Q610859,economic sociology,4066514-8,gnd_id,economic sociology,discipline,Q21201|Q8134,sociology|economics,,,,,,4066514-8,,,,,,,
Q8134,economics,sh85040850,lcsh_id,economics,discipline,Q34749,social science,Q3475802|Q34749,economic and social sciences|social science,Q39072|Q39680|Q160039|Q2248246|Q861689|Q28161|Q1127188|Q47417|Q753291|Q1118654|Q1411783|Q31218|Q47398|Q3578710|Q660564|Q385256|Q3578760|Q396340|Q3578749|Q56557294,microeconomics|macroeconomics|econometrics|public economics|education economics|labour economics|development economics|international economics|environmental economics|institutional economics|industrial organization|health economics|economic history|organizational economics|transport economics|urban economics|geographical economy|agricultural economics|Q3578749|resource economics,902116,4066528-8,sh85040850,330,300054359,00029676n,Economics,,HB1-HB130
Q806718,economics of banking,sh85011609,lcsh_id,economics of banking,major,,,,,,,,4129045-8,sh85011609,332.1,,,,,
Q159810,economy,sh85040802,lcsh_id,economy,discipline,Q1639378,social system,,,Q3958441,economic sector,,4066399-1,sh85040802,330,300389790,00029678n,EconomicSector-Localized,,
Q295425,ecophysiology,sh91006274,lcsh_id,ecophysiology,discipline,Q521|Q7150,physiology|ecology,,,,,,4143684-2,sh91006274,,,,,,
Q5333882,ecosystem management,sh93001294,lcsh_id,ecosystem management,discipline,Q20113959|Q2920921,nature conservation|management,Q219416,sustainability,,,1432037,,sh93001294,,,,,,
Q1412144,ecotoxicology,4121813-9,gnd_id,ecotoxicology,discipline,Q3995923|Q7150,environmental toxicology|ecology,Q113114761,bioavailability and ecotoxicology,,,,4121813-9,,,,,Ecotoxicology,,
Q8434,education,sh85040989,lcsh_id,education,discipline,Q7406919|Q6423395|Q2305441,service|knowledge sharing|social process,,,Q61788126|Q133500|Q352842|Q2267590,educational activity|learning|teaching|self-education,902499,4112628-2,sh85040989,370,300054360,00026980n,Education,,
Q861689,education economics,sh85041004,lcsh_id,education economics,discipline,Q3296256,applied economics,Q8134,economics,,,,4006664-2,sh85041004,,,,EducationEconomics,,
Q5341272,educational anthropology,sh85041108,lcsh_id,educational anthropology,discipline,Q23404,anthropology,,,,,,4044308-5,sh85041108,,,,AnthropologyOfEducation,,
Q59157,educational psychology,sh85041141,lcsh_id,educational psychology,major,,,,,,,,4044321-8,sh85041141,,,,,,LB1050.9-LB1091
Q1656208,ego psychology,sh85041254,lcsh_id,ego psychology,major,,,,,,,903891,4123407-8,sh85041254,,,,,,
Q11650,electronics,sh85042383,lcsh_id,electronics,discipline,Q2695280,technique,,,Q1815901,electronic circuit,907538,4014346-6,sh85042383,537,300253971,00030270n,Electronics,,
Q131683,embryology,571.86,ddc,embryology,discipline,Q420,biology,Q420|Q11190,biology|medicine,,,,4014562-1,,571.86,,,Embryology,,
Q211830,emeritus,4152069-5,gnd_id,emeritus,major,,,,,,,,4152069-5,,,,,,,
Q380170,energy conservation,333.7916,ddc,energy conservation,major,,,,,,,,4014700-9,,333.7916,300073222,,,,
Q1805337,energy policy,sh85043147,lcsh_id,energy policy,discipline,Q546113,public policy,,,Q12705|Q12748,renewable energy|fossil fuel,,4014715-0,sh85043147,333.79,,,EnergyPolicy,,
Q35120,entity,4629260-3,gnd_id,entity,discipline,,,,,,,,4629260-3,,,,,,,
Q39286,entomology,sh85044125,lcsh_id,entomology,discipline,Q3520855,arthropodology,Q3520855,arthropodology,,,,4152382-9,sh85044125,595.7,300251856,,Entomology,,
Q3908516,entrepreneurship,338.04,ddc,entrepreneurship,major,,,,,,,,7588126-3,,338.04,,,,,HB615
Q321355,environmental chemistry,sh85044168,lcsh_id,environmental chemistry,discipline,Q2329,chemistry,,,,,,4135167-8,sh85044168,577.14,,,EnvironmentalChemistry,,
Q16000091,environmental design,300251190,aat_id,environmental design,major,,,,,,,,,,,300251190,,,,
Q753291,environmental economics,sh93004763,lcsh_id,environmental economics,discipline,Q8134,economics,,,,,,4061638-1,sh93004763,338.927|333.7,,03250444n,EnvironmentalEconomics,,
Q948732,environmental education,sh85044169,lcsh_id,environmental education,discipline,Q2353731|Q7922,upbringing|pedagogy,,,,,,4061627-7,sh85044169,333.7071,,,,,
Q919526,environmental policy,sh85044197,lcsh_id,environmental policy,discipline,Q546113|Q110590221,public policy|environmental regulation by humans,Q7163,politics,,,913250,4078523-3,sh85044197,333.72,300055508,,EnvironmentalPolicy,,
Q929380,environmental resource management,sh95010683,lcsh_id,environmental resource management,major,,,,,,,,4201709-9,sh95010683,,,,,,
Q188847,environmental science,sh92004048,lcsh_id,environmental science,discipline,Q8008,Earth science,,,Q5381194|Q321355|Q618752|Q3631109|Q10418548,environmental anthropology|environmental chemistry|environmental psychology|environmental biotechnology|environmental biology,,4137364-9,sh92004048,333.7|500,300054510,00010564n,,,
Q3995923,environmental toxicology,sh96003462,lcsh_id,environmental toxicology,discipline,Q7218,toxicology,,,,,,,sh96003462,,,,EnvironmentalToxicology,,
Q2880775,enzymology,sh96010093,lcsh_id,enzymology,discipline,Q7094,biochemistry,Q7202,molecular biology,,,913635,4152482-2,sh96010093,616.0756|572.7,,,,,
Q12765408,epidemiologist,1028597347,gnd_id,epidemiologist,major,,,,,,,,1028597347|1130736415,,,,,,,
Q133805,epidemiology,sh85044373,lcsh_id,epidemiology,discipline,Q843601,health sciences,,,,,,4015016-1,sh85044373,614.4|636.08944,300379975,,Epidemiology,,
Q9471,epistemology,sh85072732,lcsh_id,epistemology,discipline,Q2166096|Q5891,theoretical philosophy|philosophy,,,,,988194,4070914-0,sh85072732,121,300054288,00031237n,Epistemology,,BD143-BD237
Q5498822,ergodic theory,sh85044600,lcsh_id,ergodic theory,discipline,,,,,,,,4015246-7,sh85044600,,,,ErgodicTheory,,
Q9465,ethics,sh85045096,lcsh_id,ethics,discipline,Q5891,philosophy,,,,,,4015602-3,sh85045096,170,300054290|300055939,00031712n,Ethics-PhilosophySubField,,BJ1-BJ1725
Q41870,ethnic studies,300197770,aat_id,ethnic studies,major,,,,,,,,,,,300197770,,,,
Q132151,ethnography,300054319,aat_id,ethnography,discipline,Q34749,social science,,,,,,,,,300054319,00026505n,Ethnography,,
Q43455,ethnology,sh85045198,lcsh_id,ethnology,discipline,Q28598|Q1143546,cultural anthropology|cultural studies,,,Q26237583|Q208365,ethnopolitics|etnomusicology,916106,4078931-7,sh85045198,305.8,300054316,00031731n,Ethnology,,
Q12572036,ethnopsychology,sh85045425,lcsh_id,ethnopsychology,discipline,Q9418,psychology,,,,,,4188478-4,sh85045425,155.82,,,,,GN502-GN519
Q208365,etnomusicology,sh85045421,lcsh_id,etnomusicology,discipline,Q164204|Q132151,musicology|ethnography,Q164204|Q132151,musicology|ethnography,,,,4127833-1,sh85045421,780.89|780|305.8,300025564|300054241,03680054n,Ethnomusicology,,
Q1371704,etruscology,sh85045469,lcsh_id,etruscology,discipline,Q23498|Q8162,archaeology|linguistics,,,,,,4219655-3,sh85045469,937.501,,,,,
Q1379672,evaluation,sh85045926,lcsh_id,evaluation,discipline,Q1799072|Q3249551|Q123304503,method|process|assessment,,,,,,4071034-8,sh85045926,,300054621,,Evaluation,,
Q1656682,event,4125453-3,gnd_id,event,discipline,Q1190554|Q7406919,occurrence|service,,,,,,4125453-3,,,,14035017n,Event-Organized,,
Q1063,evolution,sh85046029,lcsh_id,evolution,discipline,Q2996394|Q5418608|Q3455898|Q17524420,biological process|evolution|pattern in nature|aspect of history,,,,,,4071050-6,sh85046029,576,,00032060n,BiologicalEvolution,,
Q840400,evolutionary biology,sh90004042,lcsh_id,evolutionary biology,discipline,Q5333289,ecology and evolutionary biology,,,,,,4153283-1,sh90004042,,,,EvolutionaryBiology,,QH359-QH425
Q1382557,evolutionary ecology,4395809-6,gnd_id,evolutionary ecology,discipline,Q7150|Q840400,ecology|evolutionary biology,,,,,,4395809-6,,,,,,,
Q475023,exact science,4015943-7,gnd_id,exact science,discipline,Q336,science,,,,,,4015943-7,,,,,,,
Q113207671,excited state chemistry,sh85046244,lcsh_id,excited state chemistry,discipline,Q11372,physical chemistry,,,,,917720,,sh85046244,,,,,,QD461.5
Q472094,exercise physiology,sh85126898,lcsh_id,exercise physiology,discipline,Q2892439,human physiology,,,,,,4116573-1,sh85126898,,,,ExercisePhysiology,,
Q556014,existential therapy,sh85046374,lcsh_id,existential therapy,discipline,Q183257,psychotherapy,,,,,,,sh85046374,150.192,,,,,
Q164359,experience,sh85046433,lcsh_id,experience,discipline,Q9081|Q937228,knowledge|property,,,,,,4015217-0,sh85046433,121|128.4,,,ExperiencingSomething,,
Q18366,experimental physics,530.078,ddc,experimental physics,major,,,,,,,,4132579-5,,530.078,,,,,
Q475042,experimental psychology,sh85108474,lcsh_id,experimental psychology,discipline,Q9418|Q5769081,psychology|experimental science,Q9418,psychology,,,,4016005-1,sh85108474,150.724,,,,,
Q40890078,explainable AI,1263068472,gnd_id,explainable AI,discipline,Q11660,artificial intelligence,,,,,,1263068472,,,,,,,
Q7958,explanation,sh85046453,lcsh_id,explanation,discipline,Q628523|Q151885,message|concept,,,Q474328,declarative sentence,,4015293-5,sh85046453,,,,Explanation,,BD237
Q7884093,family and consumer science,4023828-3,gnd_id,family and consumer science,major,,,,,,,,4023828-3,,,,,,,
Q623006,family economics,sh95007409,lcsh_id,family economics,major,,,,,,,,4123185-5,sh95007409,,,,,,
Q3505712,family medicine,sh85047057,lcsh_id,family medicine,discipline,Q3259956|Q11190,primary care|medicine,,,,,,4135788-7,sh85047057,616,,,,,
Q870449,family therapy,sh85047061,lcsh_id,family therapy,discipline,Q183257|Q3505712,psychotherapy|family medicine,,,,,,4016421-4,sh85047061,618.9289156|616.89156,,,,,
Q29583,fashion design,7510814-8,gnd_id,fashion design,major,,,,,,,,7510814-8,,,300138708,,,,
Q5442878,feminist anthropology,sh93006951,lcsh_id,feminist anthropology,discipline,Q23404,anthropology,,,,,,,sh93006951,,,,,,
Q1404521,feminist therapy,sh85047760,lcsh_id,feminist therapy,discipline,Q183257|Q5442885,psychotherapy|feminist psychology,,,,,,4153985-0,sh85047760,,,,,,
Q132241,festival,sh85047932,lcsh_id,festival,discipline,Q15275719|Q19711353|Q137399408,recurring event|public event|fest,,,,,923329,4154198-4,sh85047932,394.26,300073472,00034151n,Festival,,
Q8253,fiction,sh85048050,lcsh_id,fiction,major,,,,,,,,4192723-0,sh85048050,,300055918,,,,
Q1402508,field research,001.433,ddc,field research,discipline,Q185698|Q42240|Q118563234,methodology|research|research work,,,,,,4016674-0,,001.433|301.072,,,FieldResearch,,
Q12765827,film direction,4129888-3,gnd_id,film direction,major,,,,,,,,4129888-3,,,,,,,
Q932586,film production,4124971-9,gnd_id,film production,major,,,,,,,,4124971-9,,,300263841,,,,
Q1660187,film studies,4154385-3,gnd_id,film studies,major,,,,,,,,4154385-3,,,,,,,
Q28793,film theory,sh2008108033,lcsh_id,film theory,major,,,,,,,,4071216-3,sh2008108033,,,,,,
Q43015,finance,sh85048256,lcsh_id,finance,discipline,Q18564125|Q113141571,"business management|banking, finance and investment studies",,,,,,,sh85048256,332,300055715,00034524n,Finance,,
Q2294553,financial economics,332,ddc,financial economics,major,,,,,,,,,,332,,,,,
Q4738155,financial management,sh85018286,lcsh_id,financial management,major,,,,,,,,4139075-1,sh85018286,,,,,,
Q219625,fine art,300054195,aat_id,fine art,major,,,,,,,,,,,300054195,,,,
Q1066582,fine-art photography,sh85101269,lcsh_id,fine-art photography,major,,,,,,,,,sh85101269,,,,,,
Q484181,fiqh,sh85068454,lcsh_id,fiqh,major,,,,,,,979949,4409409-7,sh85068454,,,,,,
Q482752,sharia,sh85068454,lcsh_id,fiqh,major,,,,,,,979949,1151921939,sh85068454,340.59,,,,,
Q1409472,fire ecology,sh85048479,lcsh_id,fire ecology,discipline,Q7150|Q113114755,ecology|ecological applications,,,,,925297,4638558-7,sh85048479,,,,,,
Q107711,firefighter,sh2002006171,lcsh_id,firefighter,major,,,,,,,,4154284-8|7521348-5,sh2002006171,363.37023|363.37092,300025862,,,,
Q109276098,fish genetics,sh85048766,lcsh_id,fish genetics,discipline,Q110310405|Q60242,animal genetics|ichthyology,,,,,926487,,sh85048766,,,,,,
Q5454658,fish physiology,sh85048793,lcsh_id,fish physiology,discipline,Q2432331|Q60242,zoophysiology|ichthyology,,,,,926577,,sh85048793,,,,FishPhysiology,,QL639.1
Q17013672,fish reproduction,sh85048800,lcsh_id,fish reproduction,discipline,Q3427333|Q5454658,animal reproduction|fish physiology,,,,,926594,,sh85048800,,,,FishReproduction,,
Q1420050,fisheries science,sh2005020061,lcsh_id,fisheries science,discipline,Q105575840|Q110231626,"natural resources|agricultural, veterinary and food sciences",,,,,,4401603-7,sh2005020061,,,,,,
Q635139,fishing industry,sh85048666,lcsh_id,fishing industry,major,,,,,,,,4017345-8,sh85048666,,,,,,
Q107708708,flower morphology,sh85049342,lcsh_id,flower morphology,discipline,Q655362,plant morphology,,,,,927888,,sh85049342,,,,,,
Q172145,fluid mechanics,sh85049383,lcsh_id,fluid mechanics,discipline,Q193463,continuum mechanics,Q193463|Q113210559,continuum mechanics|fluid mechanics and thermal engineering,Q6593690|Q31191973,aeromechanics|hydromechanics,927999,4077970-1,sh85049383,532,,00035430n,FluidMechanics,,
Q36192,folklore,sh85050104,lcsh_id,folklore,major,,,,,,,,4063849-2,sh85050104,390|398,300055920,,,,GR1-GR950
